date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-02-20;Mon. (B);King of CIS: February 2022 - King vs. Keiron Race Show Match;Alex007;Rattata;0;2;3;B;0
2021-12-12;B-Tier;The Fourth Race Tournament - Playoffs;Alex007;Bly;3;4;5;B;0
2021-12-05;B-Tier;The Fourth Race Tournament - Playoffs;Alex007;ArT;3;2;5;B;1
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;Alex007;GeNieS;2;0;3;B;1
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;Alex007;Kas;2;1;3;B;1
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;Alex007;Bly;1;2;3;B;0
2021-11-28;Mon. (B);King of CIS: November 2021;Alex007;GeNieS;1;0;1;B;1
2021-11-28;Mon. (B);King of CIS: November 2021;Alex007;Leon;1;0;1;B;1
2021-11-28;Mon. (B);King of CIS: November 2021;Alex007;SlyCrab;0;1;1;B;0
2021-06-20;B-Tier;Free TON Legend cup - Playoffs;Alex007;Bee;0;2;3;B;0
2021-06-18;B-Tier;Free TON Legend cup - Group A;Alex007;Minatoeh;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Alex007;MilkiCow;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Alex007;Unix;2;0;3;B;1
2022-02-20;Mon. (B);King of CIS: February 2022 - King vs. Keiron Race Show Match;Rattata;Alex007;2;0;3;B;1
2021-12-12;B-Tier;The Fourth Race Tournament - Playoffs;Bly;Alex007;4;3;5;B;1
2021-12-05;B-Tier;The Fourth Race Tournament - Playoffs;ArT;Alex007;2;3;5;B;0
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;GeNieS;Alex007;0;2;3;B;0
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;Kas;Alex007;1;2;3;B;0
2021-12-04;B-Tier;The Fourth Race Tournament - Group A;Bly;Alex007;2;1;3;B;1
2021-11-28;Mon. (B);King of CIS: November 2021;GeNieS;Alex007;0;1;1;B;0
2021-11-28;Mon. (B);King of CIS: November 2021;Leon;Alex007;0;1;1;B;0
2021-11-28;Mon. (B);King of CIS: November 2021;SlyCrab;Alex007;1;0;1;B;1
2021-06-20;B-Tier;Free TON Legend cup - Playoffs;Bee;Alex007;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Minatoeh;Alex007;0;2;3;B;0
2021-06-18;B-Tier;Free TON Legend cup - Group A;MilkiCow;Alex007;0;2;3;B;0
2021-06-18;B-Tier;Free TON Legend cup - Group A;Unix;Alex007;0;2;3;B;0
