date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-02;Qual. (A);OSC Champ S13 Challenger A;BabyMarine;LetaleX;3;0;5;A;1
2026-01-02;Qual. (A);OSC Champ S13 Challenger A;BabyMarine;sebesdes;2;0;3;A;1
2026-01-02;Qual. (A);OSC Champ S13 Challenger A;BabyMarine;ART;1;0;1;A;1
2026-01-02;Qual. (A);OSC Champ S13 Challenger A;BabyMarine;sebesdes;0;2;3;A;0
2025-12-29;B-Tier;Mini Rotti Monday #1;BabyMarine;Harstem;0;1;1;B;0
2025-12-29;B-Tier;Mini Rotti Monday #1;BabyMarine;LetaleX;1;0;1;B;1
2025-12-29;B-Tier;Mini Rotti Monday #1;BabyMarine;Divinesia;1;0;1;B;1
2025-12-29;B-Tier;Mini Rotti Monday #1;BabyMarine;Fjant;1;2;3;B;0
2025-12-29;B-Tier;Mini Rotti Monday #1;BabyMarine;Azura;2;0;3;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;BabyMarine;MaxPax;0;2;3;B;0
2025-12-07;B-Tier;Masters Cup 150 - Playoffs;BabyMarine;Percival;0;2;3;B;0
2025-12-01;Week. (B);Monday Night Weeklies #32;BabyMarine;herO;0;2;3;B;0
2025-11-26;Week. (B);OSC KotH Weekly #232;BabyMarine;Solar;0;1;1;B;0
2025-11-26;Qual. (A);WardiTV 2025 Q2;BabyMarine;Cure;0;2;3;A;0
2025-11-26;Qual. (A);WardiTV 2025 Q2;BabyMarine;Mixu;2;1;3;A;1
2025-11-24;Week. (B);Monday Night Weeklies #31;BabyMarine;Clem;0;2;3;B;0
2025-11-20;Week. (B);OSC KotH Weekly #231;BabyMarine;Shameless;0;1;1;B;0
2025-11-20;Week. (B);OSC KotH Weekly #231;BabyMarine;Creature;1;0;1;B;1
2025-11-20;Week. (B);OSC KotH Weekly #231;BabyMarine;Cham;1;0;1;B;1
2025-11-17;Week. (B);Monday Night Weeklies #30;BabyMarine;KamiKaze;0;1;1;B;0
2025-11-11;B-Tier;Masters Cup 150 - Group A;BabyMarine;LetaleX;1;1;3;B;0
2025-11-11;B-Tier;Masters Cup 150 - Group A;BabyMarine;EnDerr;1;1;3;B;0
2025-11-11;B-Tier;Masters Cup 150 - Group A;BabyMarine;Solar;1;1;3;B;0
2025-11-11;B-Tier;Masters Cup 150 - Group A;BabyMarine;Demi;1;1;3;B;0
2025-11-10;Week. (B);WardiTV Mondays #60;BabyMarine;Solar;0;2;3;B;0
2025-11-07;Week. (B);OSC KotH Weekly #230;BabyMarine;uThermal;0;1;1;B;0
2025-11-03;Week. (B);Monday Night Weeklies #29;BabyMarine;Solar;0;2;3;B;0
2025-10-29;Week. (B);OSC KotH Weekly #229;BabyMarine;SHIN;0;1;1;B;0
2025-10-27;Week. (B);Monday Night Weeklies #28;BabyMarine;MaxPax;0;2;3;B;0
2025-10-23;Week. (B);OSC KotH Weekly #228;BabyMarine;Gerald;0;1;1;B;0
2025-10-20;Week. (B);Monday Night Weeklies #27;BabyMarine;Cellsidus;0;1;1;B;0
2025-10-20;Week. (B);Monday Night Weeklies #27;BabyMarine;MaxPax;0;2;3;B;0
2025-10-13;B-Tier;OSC Elite Rising Star #17;BabyMarine;MindelVK;1;2;3;B;0
2025-10-13;B-Tier;OSC Elite Rising Star #17;BabyMarine;ReBellioN;2;0;3;B;1
2025-10-13;B-Tier;OSC Elite Rising Star #17;BabyMarine;YoungYakov;1;2;3;B;0
2025-10-13;B-Tier;OSC Elite Rising Star #17;BabyMarine;Nicoract;2;1;3;B;1
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;BabyMarine;Fjant;0;1;1;B;0
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;BabyMarine;Indy;1;0;1;B;1
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;BabyMarine;boanaan;1;0;1;B;1
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;BabyMarine;GuGus;1;0;1;B;1
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;BabyMarine;Jumy;0;2;3;B;0
2025-09-23;B-Tier;WardiTV PTR 2025;BabyMarine;MaxPax;0;2;3;B;0
2025-07-30;Week. (B);OSC KotH Weekly #220;BabyMarine;MaNa;0;1;1;B;0
2025-07-25;Week. (B);OSC KotH Weekly #219;BabyMarine;GgMaChine;0;1;1;B;0
2025-07-25;Week. (B);OSC KotH Weekly #219;BabyMarine;MindelVK;1;0;1;B;1
2025-07-25;Week. (B);OSC KotH Weekly #219;BabyMarine;UedSoldier;1;0;1;B;1
2025-07-18;B-Tier;OSC Elite Rising Star #16;BabyMarine;Shameless;0;2;3;B;0
2025-07-18;B-Tier;OSC Elite Rising Star #16;BabyMarine;YoungYakov;0;2;3;B;0
2025-07-18;B-Tier;OSC Elite Rising Star #16;BabyMarine;Jumy;2;1;3;B;1
2025-07-17;B-Tier;WardiTV European League 2025 - R 4;BabyMarine;Fjant;0;2;3;B;0
