date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-05-31;Mon. (B);3D!King of the Hill #13;Bee;Shameless;0;1;1;B;0
2025-02-09;B-Tier;3D!Kyuubi's challenge;Bee;MilkiCow;0;1;1;B;0
2025-02-09;B-Tier;3D!Kyuubi's challenge;Bee;themoOsician;1;0;1;B;1
2025-02-09;B-Tier;3D!Kyuubi's challenge;Bee;LIGHTWEIGHT;0;2;3;B;0
2025-02-09;B-Tier;3D!Kyuubi's challenge;Bee;RedBaron;1;0;1;B;1
2025-02-01;Mon. (B);3D!King of the Hill #12;Bee;Nicoract;0;1;1;B;0
2024-09-03;Mon. (B);3D!King of the Hill #11;Bee;ART;0;1;1;B;0
2024-06-18;Mon. (B);3D!King of the Hill #10;Bee;LordGG;0;1;1;B;0
2024-04-24;Mon. (B);3D!King of the Hill Best of the Best;Bee;Strange;0;1;1;B;0
2024-04-24;Mon. (B);3D!King of the Hill Best of the Best;Bee;Nicoract;1;0;1;B;1
2024-02-25;Mon. (B);3D!King of the Hill #9;Bee;YoungYakov;0;1;1;B;0
2024-02-25;Mon. (B);3D!King of the Hill #9;Bee;ART;1;0;1;B;1
2024-01-30;Mon. (B);3D!King of the Hill #8;Bee;Wayne;0;1;1;B;0
2023-10-31;Mon. (B);3D!King of the Hill Offrace;Bee;Rostok;0;1;1;B;0
2023-10-31;Mon. (B);3D!King of the Hill Offrace;Bee;Matvey;1;0;1;B;1
2023-10-25;B-Tier;Culture Cup - Playoffs;Bee;YoungYakov;0;3;5;B;0
2023-10-25;B-Tier;Culture Cup - Playoffs;Bee;Nikich;3;1;5;B;1
2023-10-22;B-Tier;Culture Cup - Playoffs;Bee;themoOsician;3;0;5;B;1
2023-10-21;B-Tier;Culture Cup - Playoffs;Bee;MindelVK;0;3;5;B;0
2023-10-11;B-Tier;Culture Cup - Playoffs;Bee;Nikich;3;2;5;B;1
2023-09-27;Mon. (B);3D!King of the Hill #6;Bee;Wayne;0;1;1;B;0
2023-08-20;Mon. (B);3D!King of the Hill #5;Bee;UedSoldier;0;1;1;B;0
2023-08-20;Mon. (B);3D!King of the Hill #5;Bee;MindelVK;1;0;1;B;1
2023-07-23;Mon. (B);3D!King of the Hill #4;Bee;jimmymicro;0;1;1;B;0
2023-07-23;Mon. (B);3D!King of the Hill #4;Bee;Exostriker;1;0;1;B;1
2023-07-23;Mon. (B);3D!King of the Hill #4;Bee;MilkiCow;1;0;1;B;1
2023-05-28;Mon. (B);3D!King of the Hill #4;Bee;EnigmA;0;1;1;B;0
2023-05-28;Mon. (B);3D!King of the Hill #4;Bee;Astra;1;0;1;B;1
2023-05-28;Mon. (B);3D!King of the Hill #4;Bee;Wayne;1;0;1;B;1
2023-04-30;A-Tier;Championship of Russia 2023 - Playoffs;Bee;MindelVK;1;3;5;A;0
2023-04-22;B-Tier;AstraCup S2 Final - Group A;Bee;WannaBeByuN;0;2;3;B;0
2023-04-22;B-Tier;AstraCup S2 Final - Group A;Bee;MindelVK;1;2;3;B;0
2023-04-16;Mon. (B);3D!King of the Hill #3;Bee;YoungYakov;0;1;1;B;0
2023-02-04;B-Tier;AstraCup Final - Round 5;Bee;Nikich;1;2;3;B;0
2023-02-04;B-Tier;AstraCup Final - Round 4;Bee;Replicant;2;1;3;B;1
2023-02-04;B-Tier;AstraCup Final - Round 3;Bee;HHQuanTa;1;2;3;B;0
2023-02-04;B-Tier;AstraCup Final - Round 2;Bee;Xistl;0;2;3;B;0
2023-02-04;B-Tier;AstraCup Final - Round 1;Bee;Rattata;1;0;1;B;1
2023-01-15;Mon. (B);3D!King of the Hill #1;Bee;MilkiCow;0;1;1;B;0
2023-01-10;Week. (C);AstraCup #1;Bee;YoungYakov;2;1;3;C;1
2023-01-10;Week. (C);AstraCup #1;Bee;ART;2;0;3;C;1
2023-01-10;Week. (C);AstraCup #1;Bee;dvt;2;0;3;C;1
2022-12-30;C-Tier;ZergTV New Balance 1v1;Bee;Ashbringer;0;2;3;C;0
2022-12-24;B-Tier;3D Clan Studio Team Showmatch;Bee;Creed;1;2;3;B;0
2022-12-03;B-Tier;ZergTV Rich Resorces Cup - Playoffs;Bee;Rattata;1;2;3;B;0
2022-12-03;B-Tier;ZergTV Rich Resorces Cup - Playoffs;Bee;MindelVK;2;0;3;B;1
2022-10-19;Week. (B);The Chickenman Testa Open #24;Bee;trigger;0;2;3;B;0
2022-10-02;B-Tier;MC Season 6: Tournament #1;Bee;Nicoract;0;3;5;B;0
2022-10-02;B-Tier;MC Season 6: Tournament #1;Bee;ART;2;1;3;B;1
2022-10-02;B-Tier;MC Season 6: Tournament #1;Bee;Nicoract;0;3;5;B;0
2022-10-02;B-Tier;MC Season 6: Tournament #1;Bee;MindelVK;2;1;3;B;1
2022-10-02;B-Tier;MC Season 6: Tournament #1;Bee;YoungStar;2;0;3;B;1
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Bee;AaRaSs;1;2;3;S;0
2022-05-04;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Bee;Garitos;1;2;3;S;0
2022-05-02;A-Tier;Championship of Russia 2022 - Playoffs;Bee;MilkiCow;1;3;5;A;0
2022-05-02;A-Tier;Championship of Russia 2022 - Playoffs;Bee;KingCobra;3;2;5;A;1
2022-05-02;A-Tier;Championship of Russia 2022 - Playoffs;Bee;James;3;0;5;A;1
2022-03-03;Week. (C);Cock of the Walk #91;Bee;Nicoract;1;2;3;C;0
2022-01-30;Mon. (B);King of CIS: January 2022;Bee;KingCobra;1;0;1;B;1
