date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-06-22;B-Tier;Dragon Tiger Cup 1 - Group C;Bistork;Latte;0;1;1;B;0
2023-06-22;B-Tier;Dragon Tiger Cup 1 - Group C;Bistork;Nanami;0;1;1;B;0
2023-06-22;B-Tier;Dragon Tiger Cup 1 - Group C;Bistork;望夜的星星;0;1;1;B;0
2023-06-22;B-Tier;Dragon Tiger Cup 1 - Group C;Bistork;SCV;0;1;1;B;0
2023-06-22;B-Tier;Dragon Tiger Cup 1 - Group C;Bistork;JoliwaLoves;0;1;1;B;0
2023-05-27;Week. (C);SRC#123;Bistork;Gloriam;1;2;3;C;0
2023-05-06;Biw. (C);Grand Platypus Open #88;Bistork;Lemon;0;2;3;C;0
2023-04-15;Week. (C);SRC#120;Bistork;望夜的星星;1;2;3;C;0
2023-04-08;Qual. (A);ESL Summer: Asia Qualifiers - Bracket;Bistork;SCV;0;2;3;A;0
2023-04-08;Week. (C);SRC#119;Bistork;Cyan;0;1;1;C;0
2023-04-08;Week. (C);SRC#119;Bistork;古明地觉;2;0;3;C;1
2023-04-07;Qual. (A);ESL Summer: Asia Qualifiers - Bracket;Bistork;YoungZest;0;3;5;A;0
2023-04-07;Qual. (A);ESL Summer: Asia Qualifiers - Bracket;Bistork;yryf;2;1;3;A;1
2023-04-01;Biw. (C);Grand Platypus Open #86;Bistork;GogojOey;0;3;5;C;0
2023-04-01;Biw. (C);Grand Platypus Open #86;Bistork;Demi;2;1;3;C;1
2023-04-01;Biw. (C);Grand Platypus Open #86;Bistork;shinobu;2;0;3;C;1
2023-04-01;Week. (C);SRC#118;Bistork;YoungZest;0;2;3;C;0
2023-03-11;B-Tier;CSAL#2 - Group H;Bistork;Nanami;0;2;3;B;0
2023-03-11;B-Tier;CSAL#2 - Group H;Bistork;WinterZerg;1;1;3;B;0
2023-03-11;B-Tier;CSAL#2 - Group H;Bistork;Nanami;1;1;3;B;0
2023-03-11;B-Tier;CSAL#2 - Group H;Bistork;霜痕落雨;2;0;3;B;1
2023-03-11;B-Tier;CSAL#2 - Group H;Bistork;Latte;1;1;3;B;0
2023-03-11;Week. (C);SRC#115;Bistork;Cyan;0;2;3;C;0
2023-03-11;Week. (C);SRC#115;Bistork;望夜的星星;2;1;3;C;1
2023-03-11;Week. (C);SRC#115;Bistork;YoungZest;1;0;1;C;1
2023-03-11;Week. (C);SRC#115;Bistork;南忧;2;1;3;C;1
2022-12-24;B-Tier;SRC 2022 Grand Finals;Bistork;Silky;1;3;5;B;0
2022-12-03;Week. (C);SRC#110;Bistork;南忧;1;2;3;C;0
2022-12-03;Week. (C);SRC#110;Bistork;古明地觉;2;0;3;C;1
2022-11-24;B-Tier;Masters Cup 147 - Group C;Bistork;Gerald;0;2;3;B;0
2022-11-23;B-Tier;Masters Cup 147 - Group C;Bistork;YoungYakov;0;2;3;B;0
2022-11-23;B-Tier;Masters Cup 147 - Group C;Bistork;GogojOey;2;0;3;B;1
2022-11-23;B-Tier;Masters Cup 147 - Group C;Bistork;Demi;0;2;3;B;0
2022-11-19;Week. (B);OSC King of the Hill Weekly #114;Bistork;Rattata;0;1;1;B;0
2022-10-29;Week. (C);SRC#105;Bistork;Takanashi;0;1;1;C;0
2022-10-29;Week. (C);SRC#105;Bistork;Number;2;1;3;C;1
2022-10-29;Week. (C);SRC#105;Bistork;砂糖;1;0;1;C;1
2022-10-22;Week. (C);SRC#104;Bistork;Lemon;0;2;3;C;0
2022-10-22;Week. (C);SRC#104;Bistork;NaXin;2;1;3;C;1
2022-10-22;Week. (C);SRC#104;Bistork;yryf;1;0;1;C;1
2022-10-17;Week. (B);OSC King of the Hill Weekly #110;Bistork;YoungYakov;0;1;1;B;0
2022-10-17;Week. (B);OSC King of the Hill Weekly #110;Bistork;Spear;1;0;1;B;1
2022-09-28;Week. (B);OSC King of the Hill Weekly #108;Bistork;Mixu;0;1;1;B;0
