date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-02-16;B-Tier;Alpha X EU Ascension League: Code S - Playoffs;BlueCheese;Spatz;1;3;5;B;0
2022-04-02;B-Tier;Alpha X EU Ascension League: Code S - Group A;BlueCheese;ForJumy;2;0;3;B;1
2022-04-02;B-Tier;Alpha X EU Ascension League: Code S - Group A;BlueCheese;Rodzyn;2;1;3;B;1
2022-04-02;B-Tier;Alpha X EU Ascension League: Code S - Group A;BlueCheese;ForJumy;0;2;3;B;0
2022-03-19;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;BlueCheese;BabyMarine;3;0;5;B;1
2022-03-19;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;BlueCheese;HolyHit;2;1;3;B;1
2022-03-11;Showm. (B);RottiShark Fight Night #9 - Detailed Results;BlueCheese;CuKu;3;2;5;B;1
2022-01-08;B-Tier;Nokkkitv Tournament #1;BlueCheese;MilkiCow;0;2;3;B;0
2022-01-08;B-Tier;Nokkkitv Tournament #1;BlueCheese;Garitos;1;0;1;B;1
2022-01-01;B-Tier;Testa's 2022 New Year Open;BlueCheese;Gerald;1;2;3;B;0
2022-01-01;B-Tier;Testa's 2022 New Year Open;BlueCheese;Shiny;2;0;3;B;1
2022-01-01;B-Tier;Testa's 2022 New Year Open;BlueCheese;Aristori;2;0;3;B;1
2020-11-28;Week. (C);REGENERATE Open Weekly Cup #100;BlueCheese;goblin;1;3;5;C;0
2020-11-28;Week. (C);REGENERATE Open Weekly Cup #100;BlueCheese;kiyj;2;0;3;C;1
2020-11-28;Week. (C);REGENERATE Open Weekly Cup #100;BlueCheese;Bee;2;1;3;C;1
2020-11-28;Week. (C);REGENERATE Open Weekly Cup #100;BlueCheese;MaximiliaN;2;0;3;C;1
2020-11-27;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: IndyK Crew Weekly Qualifier;BlueCheese;ArT;1;2;3;B;0
2020-11-27;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: IndyK Crew Weekly Qualifier;BlueCheese;Trifax;3;0;5;B;1
2020-11-27;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: IndyK Crew Weekly Qualifier;BlueCheese;Ziomek;3;0;5;B;1
2020-11-27;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: IndyK Crew Weekly Qualifier;BlueCheese;ArT;0;2;3;B;0
2020-11-21;Week. (C);REGENERATE Open Weekly Cup #99;BlueCheese;MilkiCow;0;1;1;C;0
2020-11-20;C-Tier;maraleCup #8 - Playoffs;BlueCheese;FightingFrog;4;1;5;C;1
2020-11-20;C-Tier;maraleCup #8 - Playoffs;BlueCheese;Marsman;3;0;5;C;1
2020-11-20;C-Tier;maraleCup #8 - Playoffs;BlueCheese;FightingFrog;2;1;3;C;1
2020-11-20;Week. (C);IndyK Crew Weekly Cup #39;BlueCheese;Bee;1;2;3;C;0
2020-11-20;Week. (C);IndyK Crew Weekly Cup #39;BlueCheese;BYE;1;0;1;C;1
2020-11-17;Week. (C);IndyK Trovo Weekly #8;BlueCheese;Krystianer;1;4;5;C;0
2020-11-17;Week. (C);IndyK Trovo Weekly #8;BlueCheese;starkiller;3;0;5;C;1
2020-11-12;C-Tier;maraleCup #8 - Group B;BlueCheese;Garitos;2;0;3;C;1
2020-11-12;C-Tier;maraleCup #8 - Group B;BlueCheese;PappiJoe;2;1;3;C;1
2020-11-07;Week. (C);REGENERATE Open Weekly Cup #97;BlueCheese;Bly;1;2;3;C;0
2020-11-05;C-Tier;maraleCup #8 - Group A;BlueCheese;Marsman;2;0;3;C;1
2020-11-05;C-Tier;maraleCup #8 - Group A;BlueCheese;Argon;2;0;3;C;1
2020-11-03;Week. (C);OSC Matiz Open #8;BlueCheese;Cham;0;2;3;C;0
2020-11-03;Week. (C);OSC Matiz Open #8;BlueCheese;Ziomek;2;0;3;C;1
2020-11-03;Week. (C);OSC Matiz Open #8;BlueCheese;TheKyoJin;2;0;3;C;1
2020-10-31;Week. (C);REGENERATE Open Weekly Cup #96;BlueCheese;EastToss;3;0;5;C;1
2020-10-31;Week. (C);REGENERATE Open Weekly Cup #96;BlueCheese;Bly;2;1;3;C;1
2020-10-31;Week. (C);REGENERATE Open Weekly Cup #96;BlueCheese;ART;2;0;3;C;1
2020-10-31;Week. (C);REGENERATE Open Weekly Cup #96;BlueCheese;YoungYakov;1;0;1;C;1
2020-10-30;C-Tier;maraleCup #8 - Group D;BlueCheese;Aelith;2;1;3;C;1
2020-10-30;C-Tier;maraleCup #8 - Group D;BlueCheese;Robar;2;0;3;C;1
2020-10-30;Week. (C);IndyK Crew Weekly Cup #36;BlueCheese;Marsman;2;0;3;C;1
2020-10-30;Week. (C);IndyK Crew Weekly Cup #36;BlueCheese;PAPI;2;1;3;C;1
2020-10-30;Week. (C);IndyK Crew Weekly Cup #36;BlueCheese;Krystianer;2;0;3;C;1
2020-10-30;Week. (C);IndyK Crew Weekly Cup #36;BlueCheese;Brat_OK;2;1;3;C;1
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;BlueCheese;YoungYakov;3;2;5;C;1
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;BlueCheese;MasterVasya;2;0;3;C;1
2020-10-24;B-Tier;BeAsT RTG Edition #5;BlueCheese;kiyj;0;1;1;B;0
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;BlueCheese;BlackStar;2;0;3;C;1
2020-10-24;B-Tier;BeAsT RTG Edition #5;BlueCheese;Terxel;1;0;1;B;1
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;BlueCheese;MysticMuse;2;1;3;C;1
2020-10-24;B-Tier;BeAsT RTG Edition #5;BlueCheese;Bly;1;2;3;B;0
2020-10-16;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;BlueCheese;ShaDoWn;0;2;3;S;0
2020-10-16;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;BlueCheese;PAPI;2;0;3;S;1
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;BlueCheese;souL;0;2;3;S;0
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;BlueCheese;Basset;2;1;3;S;1
2020-06-21;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;BlueCheese;Brat_OK;1;3;5;S;0
2020-06-21;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;BlueCheese;HateMe;2;0;3;S;1
2020-06-21;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;BlueCheese;RazerBlader;2;0;3;S;1
