date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-05-29;Qual. (S);EWC 2025 Europe Quali - Bracket;Bly;YoungYakov;0;3;5;S;0
2025-05-29;Qual. (S);EWC 2025 Europe Quali - Bracket;Bly;Ashbringer;2;0;3;S;1
2025-05-28;Qual. (S);EWC 2025 Europe Quali - Bracket;Bly;Shameless;1;2;3;S;0
2024-07-04;Qual. (S);EWC 2024 EU Qualifier;Bly;ShoWTimE;0;2;3;S;0
2024-07-04;Qual. (S);EWC 2024 EU Qualifier;Bly;GunGFuBanDa;2;1;3;S;1
2024-04-27;S-Tier;ESL Spring: Europe - Playoffs;Bly;Wayne;1;3;5;S;0
2024-04-25;S-Tier;ESL Spring: Europe - Playoffs;Bly;Clem;0;3;5;S;0
2024-04-21;S-Tier;ESL Spring: Europe - Gr B R 5;Bly;YoungYakov;2;1;3;S;1
2024-04-19;S-Tier;ESL Spring: Europe - Gr B R 4;Bly;Nicoract;2;1;3;S;1
2024-04-16;S-Tier;ESL Spring: Europe - Gr B R 3;Bly;GunGFuBanDa;1;2;3;S;0
2024-04-12;S-Tier;ESL Spring: Europe - Gr B R 2;Bly;MaxPax;0;2;3;S;0
2024-04-11;S-Tier;ESL Spring: Europe - Gr B R 1;Bly;AqueroN;2;1;3;S;1
2024-03-22;Showm. (B);Basilisk Big Brain Bouts #54 - Main Event;Bly;CuKu;0;3;5;B;0
2023-12-23;A-Tier;WardiTV TLMC #11 - Playoffs;Bly;Clem;0;3;5;A;0
2023-12-19;Qual. (A);WardiTV TLMC #11 Open;Bly;Nice;3;2;5;A;1
2023-12-19;Qual. (A);WardiTV TLMC #11 Open;Bly;Strange;2;0;3;A;1
2023-12-07;Qual. (S);IEM Katowice 2024: EU Qualifier - Bracket;Bly;GuMiho;1;3;5;S;0
2023-12-07;Qual. (S);IEM Katowice 2024: EU Qualifier - Bracket;Bly;MaNa;2;1;3;S;1
