date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-08-23;B-Tier;Road to Moscow 3;Brat_OK;Fallenger;0;1;1;B;0
2025-08-23;B-Tier;Road to Moscow 3;Brat_OK;Wayne;1;2;3;B;0
2025-08-16;A-Tier;SEL Season 2 Championship - Group A;Brat_OK;MagicTurtle;1;2;3;A;0
2025-08-16;A-Tier;SEL Season 2 Championship - Group A;Brat_OK;threepoint;1;2;3;A;0
2025-08-09;Biw. (B);StarCraft Evolution League #15;Brat_OK;TaeJa;0;2;3;B;0
2025-08-09;Biw. (B);StarCraft Evolution League #15;Brat_OK;HonMonO;2;0;3;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Brat_OK;EastToss;2;0;3;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Brat_OK;Astra;1;0;1;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Brat_OK;bogdanios;1;0;1;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Brat_OK;Wayne;1;2;3;B;0
2025-06-21;Biw. (B);StarCraft Evolution League #14;Brat_OK;threepoint;2;3;5;B;0
2025-06-21;Biw. (B);StarCraft Evolution League #14;Brat_OK;prome;3;2;5;B;1
2025-06-21;Biw. (B);StarCraft Evolution League #14;Brat_OK;LunaSea;2;0;3;B;1
2025-06-21;Biw. (B);StarCraft Evolution League #14;Brat_OK;MANGRUSL;2;1;3;B;1
2025-06-07;Biw. (B);StarCraft Evolution League #13;Brat_OK;threepoint;0;2;3;B;0
2025-06-07;Biw. (B);StarCraft Evolution League #13;Brat_OK;ZaRDieNT;2;0;3;B;1
2025-05-24;Biw. (B);StarCraft Evolution League #12;Brat_OK;MANGRUSL;2;0;3;B;1
2025-04-26;Biw. (B);StarCraft Evolution League #10;Brat_OK;TOP;0;2;3;B;0
2025-04-26;Biw. (B);StarCraft Evolution League #10;Brat_OK;Shameless;1;0;1;B;1
2025-04-23;Week. (B);Kung Fu Cup 2025 Weekly #9: SC:EVO;Brat_OK;Firefly;0;2;3;B;0
2025-04-09;B-Tier;Kung Fu Cup 2025 Weekly #7: SC:EVO;Brat_OK;threepoint;1;2;3;B;0
2025-04-09;B-Tier;Kung Fu Cup 2025 Weekly #7: SC:EVO;Brat_OK;YoungYakov;2;0;3;B;1
2025-04-05;Biw. (B);StarCraft Evolution League #9;Brat_OK;SHIN;0;2;3;B;0
2025-04-05;Biw. (B);StarCraft Evolution League #9;Brat_OK;HonMonO;2;0;3;B;1
2025-03-26;B-Tier;Kung Fu Cup 2025 Weekly #5: SC:EVO;Brat_OK;Dark;0;2;3;B;0
2025-03-19;B-Tier;Kung Fu Cup 2025 Weekly #4: SC:EVO;Brat_OK;Spirit;0;2;3;B;0
2025-03-19;B-Tier;Kung Fu Cup 2025 Weekly #4: SC:EVO;Brat_OK;ByuN;2;0;3;B;1
2025-03-01;Mon. (B);StarCraft Evolution League #8;Brat_OK;SKillous;1;2;3;B;0
2025-03-01;Mon. (B);StarCraft Evolution League #8;Brat_OK;QuanTa;2;1;3;B;1
2025-03-01;Mon. (B);StarCraft Evolution League #8;Brat_OK;Wayne;0;2;3;B;0
2025-03-01;Mon. (B);StarCraft Evolution League #8;Brat_OK;threepoint;2;0;3;B;1
2025-03-01;Mon. (B);StarCraft Evolution League #8;Brat_OK;Michnek;2;0;3;B;1
2025-01-20;Week. (B);Monday Night Weeklies #1;Brat_OK;Fjant;0;1;1;B;0
2025-01-20;Week. (B);Monday Night Weeklies #1;Brat_OK;Gerald;0;2;3;B;0
2024-12-31;B-Tier;New Year Cup 2025;Brat_OK;Gerald;0;2;3;B;0
2024-12-31;B-Tier;New Year Cup 2025;Brat_OK;UltraMarine;2;1;3;B;1
2023-04-10;Week. (B);ESL Open Cup #170 Europe;Brat_OK;SKillous;0;2;3;B;0
2023-04-06;Week. (C);PassionCraft Thursday Showdown #33;Brat_OK;DIMAGA;0;2;3;C;0
2023-04-03;Week. (B);ESL Open Cup #169 Europe;Brat_OK;Harstem;0;2;3;B;0
2023-03-27;Week. (B);ESL Open Cup #168 Europe;Brat_OK;trigger;0;2;3;B;0
2023-03-23;Week. (C);PassionCraft Thursday Showdown #31;Brat_OK;Ziomek;0;2;3;C;0
2023-03-16;Week. (C);PassionCraft Thursday Showdown #30;Brat_OK;Nikich;1;2;3;C;0
2023-03-13;Week. (B);ESL Open Cup #166 Europe;Brat_OK;trigger;0;2;3;B;0
2023-03-11;A-Tier;#PassionCraft Knockout - GS Group B;Brat_OK;Kas;1;2;3;A;0
2023-03-11;A-Tier;#PassionCraft Knockout - GS Group B;Brat_OK;Nice;0;2;3;A;0
2023-03-06;Week. (B);ESL Open Cup #165 Europe;Brat_OK;Spirit;0;2;3;B;0
2023-03-05;Mon. (B);3D!King of the Hill #2;Brat_OK;PPower;0;1;1;B;0
2023-03-02;Week. (C);PassionCraft Thursday Showdown #28;Brat_OK;MindelVK;0;2;3;C;0
2023-03-02;Week. (C);PassionCraft Thursday Showdown #28;Brat_OK;NightPhoenix;2;1;3;C;1
2023-03-02;Week. (C);PassionCraft Thursday Showdown #28;Brat_OK;Bioice;2;0;3;C;1
2023-02-27;Week. (B);ESL Open Cup #164 Europe;Brat_OK;Clem;0;2;3;B;0
2023-02-27;Week. (B);ESL Open Cup #164 Europe;Brat_OK;Order;2;0;3;B;1
2023-02-27;Week. (B);ESL Open Cup #164 Europe;Brat_OK;ShaDoWn;2;1;3;B;1
2023-02-23;Week. (C);PassionCraft Thursday Showdown #27;Brat_OK;Gerald;2;1;3;C;1
2023-02-23;Week. (C);PassionCraft Thursday Showdown #27;Brat_OK;YoungYakov;2;1;3;C;1
2023-02-23;Week. (C);PassionCraft Thursday Showdown #27;Brat_OK;Krystianer;2;1;3;C;1
