date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-05-04;B-Tier;GG Cup #3;ButAlways;Lemon;0;2;3;B;0
2024-04-07;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;ButAlways;KingSlayeR;0;2;3;A;0
2024-04-07;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;ButAlways;SCV;1;2;3;A;0
2024-04-06;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;ButAlways;LeoRusher;3;0;5;A;1
2024-04-06;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;ButAlways;JoliwaLoves;2;1;3;A;1
2024-04-05;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;ButAlways;Jim;1;3;5;A;0
2023-10-15;Qual. (A);ESL Winter: Asia Qualifiers - Bracket;ButAlways;MacSed;0;2;3;A;0
2023-10-15;Qual. (A);ESL Winter: Asia Qualifiers - Bracket;ButAlways;SCV;1;2;3;A;0
2023-10-14;Qual. (A);ESL Winter: Asia Qualifiers - Bracket;ButAlways;Ranger;3;1;5;A;1
2023-10-14;Qual. (A);ESL Winter: Asia Qualifiers - Bracket;ButAlways;抱头;2;1;3;A;1
2022-10-01;A-Tier;DHM Atlanta: TW - Playoffs;ButAlways;Rex;1;3;5;A;0
2022-09-30;A-Tier;DHM Atlanta: TW - Playoffs;ButAlways;Has;1;3;5;A;0
2022-09-29;A-Tier;DHM Atlanta: TW - Group A;ButAlways;GogojOey;2;0;3;A;1
2022-09-28;A-Tier;DHM Atlanta: TW - Group A;ButAlways;Nice;0;2;3;A;0
2022-09-28;A-Tier;DHM Atlanta: TW - Group A;ButAlways;GogojOey;2;0;3;A;1
2022-06-20;Qual. (S);HSC XXI: TW/HK Qualifier;ButAlways;GogojOey;1;2;3;S;0
2022-06-20;Qual. (S);HSC XXI: TW/HK Qualifier;ButAlways;Has;1;0;1;S;1
2022-06-20;Qual. (S);HSC XXI: TW/HK Qualifier;ButAlways;NaXin;2;1;3;S;1
2022-06-20;Qual. (S);HSC XXI: TW/HK Qualifier;ButAlways;GogojOey;0;2;3;S;0
2022-06-08;B-Tier;PiG's Random Race;ButAlways;SpeCial;0;2;3;B;0
2022-05-21;A-Tier;DHM Valencia: TW - Playoffs;ButAlways;Rex;0;3;5;A;0
2022-05-20;A-Tier;DHM Valencia: TW - Playoffs;ButAlways;Nice;0;3;5;A;0
2022-05-19;A-Tier;DHM Valencia: TW - Group B;ButAlways;ExpecT;2;0;3;A;1
2022-05-19;A-Tier;DHM Valencia: TW - Group B;ButAlways;Has;0;2;3;A;0
2022-05-18;A-Tier;DHM Valencia: TW - Group B;ButAlways;ExpecT;2;1;3;A;1
2021-09-30;A-Tier;DHM Winter: TW/HK - Group B;ButAlways;GogojOey;1;2;3;A;0
2021-09-29;A-Tier;DHM Winter: TW/HK - Group B;ButAlways;MysteryMan;0;2;3;A;0
2021-07-31;A-Tier;DHM Fall: TW/HK - Playoffs;ButAlways;ExpecT;2;3;5;A;0
2021-07-30;A-Tier;DHM Fall: TW/HK - Playoffs;ButAlways;Nice;2;3;5;A;0
2021-07-29;A-Tier;DHM Fall: TW/HK - Group B;ButAlways;GogojOey;2;0;3;A;1
2021-07-29;A-Tier;DHM Fall: TW/HK - Group B;ButAlways;Lemon;2;1;3;A;1
2021-07-28;A-Tier;DHM Fall: TW/HK - Group B;ButAlways;GogojOey;1;2;3;A;0
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;ButAlways;Eternity;1;2;3;B;0
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;ButAlways;Cell;2;0;3;B;1
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;ButAlways;Has;0;2;3;B;0
2021-06-27;Week. (B);ESL Open Cup #77 Korea;ButAlways;ArT;0;2;3;B;0
2021-06-27;Week. (B);ESL Open Cup #77 Korea;ButAlways;Daydreamer;2;1;3;B;1
2021-06-22;Week. (B);ESL Open Cup #76 Americas;ButAlways;Rex;0;2;3;B;0
2021-06-20;Week. (B);ESL Open Cup #76 Korea;ButAlways;PartinG;0;2;3;B;0
2021-06-20;Week. (B);ESL Open Cup #76 Korea;ButAlways;WhiteIdra;2;0;3;B;1
2021-06-14;Week. (B);ESL Open Cup #75 Americas;ButAlways;Bly;0;2;3;B;0
2021-05-23;A-Tier;DHM Summer: TW/HK - Playoffs;ButAlways;Has;1;3;5;A;0
2021-05-22;A-Tier;DHM Summer: TW/HK - Playoffs;ButAlways;Rex;3;1;5;A;1
2021-05-21;A-Tier;DHM Summer: TW/HK - Playoffs;ButAlways;Has;2;3;5;A;0
2021-05-20;A-Tier;DHM Summer: TW/HK - Group A;ButAlways;GogojOey;2;1;3;A;1
2021-05-19;A-Tier;DHM Summer: TW/HK - Group A;ButAlways;Bistork;2;0;3;A;1
2021-05-19;A-Tier;DHM Summer: TW/HK - Group A;ButAlways;GogojOey;0;2;3;A;0
2021-01-22;Qual. (B);BlazingSeries:Reality S5 Promotion Day 2;ButAlways;Rex;0;2;3;B;0
2021-01-22;Qual. (B);BlazingSeries:Reality S5 Promotion Day 2;ButAlways;GogojOey;0;2;3;B;0
2021-01-22;Qual. (B);BlazingSeries:Reality S5 Promotion Day 2;ButAlways;生猛海鮮;0;2;3;B;0
2020-12-31;B-Tier;Path of Star Dec 2020 - Playoffs;ButAlways;Nice;0;3;5;B;0
2020-12-31;B-Tier;Path of Star Dec 2020 - Playoffs;ButAlways;Has;3;0;5;B;1
2020-12-18;B-Tier;BlazingSeries: Reality S4 - Round 2;ButAlways;Nice;0;2;3;B;0
2020-12-16;B-Tier;Path of Star Dec 2020 - Group A;ButAlways;MysteryMan;1;0;1;B;1
2020-12-16;B-Tier;Path of Star Dec 2020 - Group A;ButAlways;Nice;2;0;3;B;1
2020-12-04;B-Tier;BlazingSeries: Reality S4 - Round 2;ButAlways;Has;0;2;3;B;0
2020-12-04;B-Tier;BlazingSeries: Reality S4 - Round 2;ButAlways;MacSed;0;2;3;B;0
2020-12-04;B-Tier;BlazingSeries: Reality S4 - Round 2;ButAlways;MeomaikA;2;1;3;B;1
2020-12-04;B-Tier;BlazingSeries: Reality S4 - Round 2;ButAlways;GogojOey;2;0;3;B;1
2020-11-27;B-Tier;BlazingSeries: Reality S4 - Round 1;ButAlways;Has;0;2;3;B;0
2020-11-06;B-Tier;BlazingSeries: Reality S4 - Round 1;ButAlways;Nice;0;2;3;B;0
2020-11-06;B-Tier;BlazingSeries: Reality S4 - Round 1;ButAlways;GogojOey;2;0;3;B;1
2020-11-06;B-Tier;BlazingSeries: Reality S4 - Round 1;ButAlways;MeomaikA;0;2;3;B;0
2020-11-06;B-Tier;BlazingSeries: Reality S4 - Round 1;ButAlways;MacSed;0;2;3;B;0
2020-10-30;Qual. (B);BlazingSeries:Reality S4 Promotion Day 2;ButAlways;MeomaikA;1;2;3;B;0
