date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;ByuN;herO;0;2;3;B;0
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;ByuN;MaNa;2;0;3;B;1
2026-01-06;Week. (B);PiGosaur Cup #63;ByuN;Solar;1;2;3;B;0
2026-01-06;Week. (B);PiGosaur Cup #63;ByuN;FoxeR;2;0;3;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;ByuN;HeRoMaRinE;2;0;3;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;ByuN;Percival;2;0;3;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;ByuN;Krystianer;2;1;3;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;ByuN;YoungYakov;2;0;3;B;1
2026-01-05;Week. (B);WardiTV Mondays #68;ByuN;Classic;1;2;3;B;0
2026-01-05;B-Tier;Mini Rotti Monday #2;ByuN;Gref;2;0;3;B;1
2026-01-03;Mon. (B);Korean Starcraft League #84;ByuN;Creator;1;2;3;B;0
2025-12-30;B-Tier;OSC 2025 MSP #2;ByuN;MaxPax;1;3;5;B;0
2025-12-30;B-Tier;OSC 2025 MSP #2;ByuN;Spirit;3;2;5;B;1
2025-12-30;B-Tier;OSC 2025 MSP #2;ByuN;Krystianer;3;2;5;B;1
2025-12-29;Week. (B);WardiTV Mondays #67;ByuN;GuMiho;1;2;3;B;0
2025-12-28;Mon. (B);Sparkling Tuna Cup December;ByuN;Percival;2;3;5;B;0
2025-12-28;Mon. (B);Sparkling Tuna Cup December;ByuN;Nicoract;2;0;3;B;1
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;ByuN;Solar;2;3;5;B;0
2025-12-22;Week. (B);WardiTV Mondays #66;ByuN;Classic;1;2;3;B;0
2025-12-22;Week. (B);Monday Night Weeklies #35;ByuN;HeRoMaRinE;0;1;1;B;0
2025-12-22;Week. (B);Monday Night Weeklies #35;ByuN;Percival;1;0;1;B;1
2025-12-22;Week. (B);Monday Night Weeklies #35;ByuN;trigger;1;2;3;B;0
2025-12-22;Week. (B);Monday Night Weeklies #35;ByuN;Nicoract;2;0;3;B;1
2025-12-22;Week. (B);WardiTV Mondays #66;ByuN;Ryung;2;0;3;B;1
2025-12-22;Week. (B);WardiTV Mondays #66;ByuN;Shameless;2;0;3;B;1
