date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-03-19;B-Tier;BlazingSeries: Origin S3 - Group A;Cell;GogojOey;0;2;3;B;0
2022-03-19;B-Tier;BlazingSeries: Origin S3 - Group A;Cell;Nice;0;2;3;B;0
2022-03-05;B-Tier;BlazingSeries: Origin S3 - Group A;Cell;MysteryMan;0;2;3;B;0
2022-03-05;B-Tier;BlazingSeries: Origin S3 - Group A;Cell;Eternity;2;1;3;B;1
2022-03-05;B-Tier;BlazingSeries: Origin S3 - Group A;Cell;KnockKnock;1;0;1;B;1
2022-02-12;Qual. (B);BlazingSeries:Origin S3 Qualifier 2;Cell;Anemos;1;2;3;B;0
2022-02-12;Qual. (B);BlazingSeries:Origin S3 Qualifier 2;Cell;Eternity;0;2;3;B;0
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 2;Cell;Bistork;1;2;3;B;0
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 2;Cell;KnockKnock;2;0;3;B;1
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 2;Cell;Drima;1;2;3;B;0
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 1;Cell;Eternity;0;2;3;B;0
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 1;Cell;Anemos;2;1;3;B;1
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 1;Cell;Rex;0;2;3;B;0
2021-10-09;Qual. (B);BlazingSeries:Origin S1 Qualifier 1;Cell;SmallGoe;2;0;3;B;1
2021-09-23;Qual. (A);DHM Winter: TW/HK Qualifiers - Bracket;Cell;LittleWolf;1;2;3;A;0
2021-09-21;Qual. (A);DHM Winter: TW/HK Qualifiers - Bracket;Cell;Bistork;1;2;3;A;0
2021-07-22;Qual. (A);DHM Fall: TW/HK Qualifiers - Bracket;Cell;NaXin;0;3;5;A;0
2021-07-22;Qual. (A);DHM Fall: TW/HK Qualifiers - Bracket;Cell;Drima;2;1;3;A;1
2021-07-20;Qual. (A);DHM Fall: TW/HK Qualifiers - Bracket;Cell;NaXin;1;2;3;A;0
2021-07-11;Week. (B);ESL Open Cup #79 Korea;Cell;Dream;0;2;3;B;0
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;Cell;ButAlways;0;2;3;B;0
2021-05-13;Qual. (A);DHM Summer: Asia Qualifiers - Bracket;Cell;MysteryMan;0;3;5;A;0
2021-05-13;Qual. (A);DHM Summer: Asia Qualifiers - Bracket;Cell;Lemon;2;1;3;A;1
2020-10-17;Qual. (A);DH SC2 Master 2020: Winter TW / HK / MO / JP Qualifiers - Bracket;Cell;Bistork;1;2;3;A;0
2020-10-16;Qual. (B);BlazingSeries:Reality S4 Promotion Day 1;Cell;Rex;0;2;3;B;0
2020-10-16;Qual. (B);BlazingSeries:Reality S4 Promotion Day 1;Cell;MeomaikA;0;2;3;B;0
2020-10-16;Qual. (B);BlazingSeries:Reality S4 Promotion Day 1;Cell;Nux;2;0;3;B;1
2020-08-22;Qual. (A);DH SC2 Master 2020: Fall TW / HK / MO / JP Qualifiers - Bracket;Cell;Lemon;0;2;3;A;0
