date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Chase;Sepheron;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Chase;NiceR;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Chase;Chappy;1;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Chase;Barwu;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;Barwu;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;Br0B0B0;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;NiceR;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;Sepheron;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;Probe;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Chase;You;2;0;3;B;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;RunaMoK;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;MightyKiwi;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;Seither;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;Chappy;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;Oreo;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;Frustration;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chase;Azure;0;2;3;A;0
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Chase;Vivid;3;0;5;A;1
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Chase;Ice;2;0;3;A;1
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Chase;RunaMoK;2;3;5;A;0
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Chase;PurpleDino;2;0;3;A;1
2021-08-12;Week. (C);Grand Platypus Open #72;Chase;RunaMoK;1;0;1;C;1
2021-08-12;Week. (C);Grand Platypus Open #72;Chase;MeomaikA;0;2;3;C;0
2021-08-12;Week. (C);Grand Platypus Open #72;Chase;Vivid;2;0;3;C;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;Seither;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;Chappy;2;1;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;Crimson;0;2;3;A;0
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;aconcises;2;1;3;A;1
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;MightyKiwi;0;2;3;A;0
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;Oreo;2;1;3;A;1
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chase;Azure;0;2;3;A;0
2021-05-08;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Chase;Quirky;3;0;5;A;1
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Chase;Rize;2;0;3;A;1
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Chase;Crimson;0;3;5;A;0
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Chase;Chappy;0;2;3;A;0
2020-08-09;Qual. (B);ESL ANZ Champs Fall: Qualifiers - Bracket;Chase;RazerBlader;0;2;3;B;0
2020-08-04;Week. (C);ESL Open Cup #19 OCE;Chase;Azure;0;2;3;C;0
2020-06-14;Qual. (B);ESL ANZ Champs Summer: Qualifiers - Bracket;Chase;Demi;0;2;3;B;0
2020-05-26;Week. (C);ESL Open Cup #9 OCE;Chase;MightyKiwi;0;2;3;C;0
2020-05-26;Week. (C);ESL Open Cup #9 OCE;Chase;Oreo;2;1;3;C;1
2020-05-26;Week. (C);ESL Open Cup #9 OCE;Chase;Shadow;1;0;1;C;1
2020-05-12;Week. (C);ESL Open Cup #7 OCE;Chase;Vivid;1;2;3;C;0
2020-04-18;Week. (C);Ao Dai Weekly #30;Chase;ThuocLao;1;2;3;C;0
2020-04-18;Week. (C);Ao Dai Weekly #30;Chase;Chappy;2;0;3;C;1
2020-04-14;Week. (C);ESL Open Cup #3 OCE;Chase;Probe;1;2;3;C;0
2020-04-14;Week. (C);ESL Open Cup #3 OCE;Chase;Azure;2;1;3;C;1
2020-04-11;Week. (C);Grand Platypus Open #25;Chase;Uply;0;2;3;C;0
2020-04-07;Week. (C);ESL Open Cup #2 OCE;Chase;MightyKiwi;1;2;3;C;0
2020-04-07;Week. (C);ESL Open Cup #2 OCE;Chase;Saxy;2;0;3;C;1
2020-02-15;Week. (C);Grand Platypus Open #18;Chase;Vivid;0;1;1;C;0
2020-02-15;Week. (C);Grand Platypus Open #18;Chase;JusticeSimon;1;0;1;C;1
2020-02-15;Week. (C);Grand Platypus Open #18;Chase;Demi;0;2;3;C;0
2020-02-15;Week. (C);Grand Platypus Open #18;Chase;BYE;1;0;1;C;1
2020-02-15;Week. (C);Grand Platypus Open #18;Chase;BYE;1;0;1;C;1
2020-01-10;B-Tier;AusCraft -;Chase;Pezz;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Chase;nOtoRioUsPiG;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Chase;Vindicta;1;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Chase;Probe;0;2;3;B;0
2020-01-10;B-Tier;AusCraft -;Chase;Blysk;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Sepheron;Chase;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;NiceR;Chase;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Chappy;Chase;2;1;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - Playoffs;Barwu;Chase;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Barwu;Chase;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Br0B0B0;Chase;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;NiceR;Chase;0;2;3;B;0
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Sepheron;Chase;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;Probe;Chase;2;0;3;B;1
2023-03-25;B-Tier;BrisVegas Autumn 2023 - GS Group A;You;Chase;0;2;3;B;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;RunaMoK;Chase;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;MightyKiwi;Chase;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Seither;Chase;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Chappy;Chase;0;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Oreo;Chase;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Frustration;Chase;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 S2 - Group A;Azure;Chase;2;0;3;A;1
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Vivid;Chase;0;3;5;A;0
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;Ice;Chase;0;2;3;A;0
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;RunaMoK;Chase;3;2;5;A;1
2021-08-21;Qual. (A);ESL ANZ Champs 2021 - Season 2: Qualifiers - Bracket;PurpleDino;Chase;0;2;3;A;0
2021-08-12;Week. (C);Grand Platypus Open #72;RunaMoK;Chase;0;1;1;C;0
2021-08-12;Week. (C);Grand Platypus Open #72;MeomaikA;Chase;2;0;3;C;1
2021-08-12;Week. (C);Grand Platypus Open #72;Vivid;Chase;0;2;3;C;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Seither;Chase;2;0;3;A;1
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Chappy;Chase;1;2;3;A;0
2100-01-01;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Crimson;Chase;2;0;3;A;1
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;aconcises;Chase;1;2;3;A;0
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;MightyKiwi;Chase;2;0;3;A;1
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Oreo;Chase;1;2;3;A;0
2021-06-12;A-Tier;ESL ANZ Champs 2021 - Season 1 - Group B;Azure;Chase;2;0;3;A;1
2021-05-08;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Quirky;Chase;0;3;5;A;0
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Rize;Chase;0;2;3;A;0
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Crimson;Chase;3;0;5;A;1
2021-05-01;Qual. (A);ESL ANZ Champs 2021 - Season 1: Qualifiers - Bracket;Chappy;Chase;2;0;3;A;1
2020-08-09;Qual. (B);ESL ANZ Champs Fall: Qualifiers - Bracket;RazerBlader;Chase;2;0;3;B;1
2020-08-04;Week. (C);ESL Open Cup #19 OCE;Azure;Chase;2;0;3;C;1
2020-06-14;Qual. (B);ESL ANZ Champs Summer: Qualifiers - Bracket;Demi;Chase;2;0;3;B;1
2020-05-26;Week. (C);ESL Open Cup #9 OCE;MightyKiwi;Chase;2;0;3;C;1
2020-05-26;Week. (C);ESL Open Cup #9 OCE;Oreo;Chase;1;2;3;C;0
2020-05-26;Week. (C);ESL Open Cup #9 OCE;Shadow;Chase;0;1;1;C;0
2020-05-12;Week. (C);ESL Open Cup #7 OCE;Vivid;Chase;2;1;3;C;1
2020-04-18;Week. (C);Ao Dai Weekly #30;ThuocLao;Chase;2;1;3;C;1
2020-04-18;Week. (C);Ao Dai Weekly #30;Chappy;Chase;0;2;3;C;0
2020-04-14;Week. (C);ESL Open Cup #3 OCE;Probe;Chase;2;1;3;C;1
2020-04-14;Week. (C);ESL Open Cup #3 OCE;Azure;Chase;1;2;3;C;0
2020-04-11;Week. (C);Grand Platypus Open #25;Uply;Chase;2;0;3;C;1
2020-04-07;Week. (C);ESL Open Cup #2 OCE;MightyKiwi;Chase;2;1;3;C;1
