date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;CoCa;Zoun;0;2;3;S;0
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;CoCa;Closer;1;0;1;S;1
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;CoCa;Dark;1;2;3;S;0
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;CoCa;yewon;1;0;1;S;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;Rookie;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;DRGLing;2;1;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;StuN;2;1;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;Mondo;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;Rookie;0;2;3;B;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Chance;0;2;3;S;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;또치;2;1;3;S;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;DRGLing;2;0;3;S;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Chance;1;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Patience;0;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Hyeok;2;0;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Zest;1;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;CoCa;Patience;2;1;3;S;1
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;Zoun;CoCa;2;0;3;S;1
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;Closer;CoCa;0;1;1;S;0
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;Dark;CoCa;2;1;3;S;1
2020-11-22;Qual. (S);2020 AfreecaTV GSL Super Tournament 2: Qualifier;yewon;CoCa;0;1;1;S;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;CoCa;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;DRGLing;CoCa;1;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;StuN;CoCa;1;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Mondo;CoCa;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;CoCa;2;0;3;B;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Chance;CoCa;2;0;3;S;1
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;또치;CoCa;1;2;3;S;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;DRGLing;CoCa;0;2;3;S;0
2020-08-19;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Chance;CoCa;2;1;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Patience;CoCa;2;0;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Hyeok;CoCa;0;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Zest;CoCa;2;1;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Patience;CoCa;1;2;3;S;0
