date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-03-02;Week. (C);Sparkling Tuna Cup #5;DarKVoiD;Demi;0;2;3;C;0
2022-02-16;Week. (B);Sparkling Tuna Cup #3;DarKVoiD;Bistork;0;2;3;B;0
2021-08-19;Week. (C);Grand Platypus Open #73;DarKVoiD;DaSh;0;1;1;C;0
2021-08-19;Week. (C);Grand Platypus Open #73;DarKVoiD;StarDuck;1;0;1;C;1
2021-08-19;Week. (C);Grand Platypus Open #73;DarKVoiD;Oreo;0;2;3;C;0
2021-07-08;Week. (C);Grand Platypus Open #71;DarKVoiD;RunaMoK;0;2;3;C;0
2021-07-01;Week. (C);Grand Platypus Open #70;DarKVoiD;ZeroWhite;0;1;1;C;0
2021-07-01;Week. (C);Grand Platypus Open #70;DarKVoiD;Vivid;0;2;3;C;0
2021-06-24;Week. (C);Grand Platypus Open #69;DarKVoiD;Demi;0;2;3;C;0
2021-06-24;Week. (C);Grand Platypus Open #69;DarKVoiD;GogojOey;0;2;3;C;0
2021-06-24;Week. (C);Grand Platypus Open #69;DarKVoiD;Vivid;2;1;3;C;1
2021-06-17;Week. (C);Grand Platypus Open #68;DarKVoiD;StarDuck;0;1;1;C;0
2021-06-17;Week. (C);Grand Platypus Open #68;DarKVoiD;Demi;0;2;3;C;0
2021-06-17;Week. (C);Grand Platypus Open #68;DarKVoiD;MeomaikA;2;1;3;C;1
2021-06-17;Week. (C);Grand Platypus Open #68;DarKVoiD;SevenWarrior;2;0;3;C;1
2021-06-02;Week. (C);Grand Platypus Open #66;DarKVoiD;Pezz;0;2;3;C;0
2021-03-20;Week. (C);Grand Platypus Open #59;DarKVoiD;Demi;0;2;3;C;0
2021-02-13;Week. (C);Grand Platypus Open #54;DarKVoiD;Nuks;0;2;3;C;0
2021-02-06;Week. (C);Grand Platypus Open #53;DarKVoiD;Hiro;0;1;1;C;0
2021-02-06;Week. (C);Grand Platypus Open #53;DarKVoiD;GogojOey;0;2;3;C;0
2020-10-03;Week. (C);Grand Platypus Open #43;DarKVoiD;GogojOey;0;2;3;C;0
2020-04-18;Week. (C);Grand Platypus Open #26;DarKVoiD;Azure;0;2;3;C;0
2020-03-21;Week. (C);Ao Dai Weekly #26;DarKVoiD;Solomon;0;2;3;C;0
2020-03-14;Week. (C);Ao Dai Weekly #25;DarKVoiD;Ranger;0;2;3;C;0
2020-03-14;Week. (C);Ao Dai Weekly #25;DarKVoiD;Lovegaugau;2;0;3;C;1
2020-03-14;Week. (C);Grand Platypus Open #22;DarKVoiD;JusticeSimon;0;2;3;C;0
2022-03-02;Week. (C);Sparkling Tuna Cup #5;Demi;DarKVoiD;2;0;3;C;1
2022-02-16;Week. (B);Sparkling Tuna Cup #3;Bistork;DarKVoiD;2;0;3;B;1
2021-08-19;Week. (C);Grand Platypus Open #73;DaSh;DarKVoiD;1;0;1;C;1
2021-08-19;Week. (C);Grand Platypus Open #73;StarDuck;DarKVoiD;0;1;1;C;0
2021-08-19;Week. (C);Grand Platypus Open #73;Oreo;DarKVoiD;2;0;3;C;1
2021-07-08;Week. (C);Grand Platypus Open #71;RunaMoK;DarKVoiD;2;0;3;C;1
2021-07-01;Week. (C);Grand Platypus Open #70;ZeroWhite;DarKVoiD;1;0;1;C;1
2021-07-01;Week. (C);Grand Platypus Open #70;Vivid;DarKVoiD;2;0;3;C;1
2021-06-24;Week. (C);Grand Platypus Open #69;Demi;DarKVoiD;2;0;3;C;1
2021-06-24;Week. (C);Grand Platypus Open #69;GogojOey;DarKVoiD;2;0;3;C;1
2021-06-24;Week. (C);Grand Platypus Open #69;Vivid;DarKVoiD;1;2;3;C;0
2021-06-17;Week. (C);Grand Platypus Open #68;StarDuck;DarKVoiD;1;0;1;C;1
2021-06-17;Week. (C);Grand Platypus Open #68;Demi;DarKVoiD;2;0;3;C;1
2021-06-17;Week. (C);Grand Platypus Open #68;MeomaikA;DarKVoiD;1;2;3;C;0
2021-06-17;Week. (C);Grand Platypus Open #68;SevenWarrior;DarKVoiD;0;2;3;C;0
2021-06-02;Week. (C);Grand Platypus Open #66;Pezz;DarKVoiD;2;0;3;C;1
2021-03-20;Week. (C);Grand Platypus Open #59;Demi;DarKVoiD;2;0;3;C;1
2021-02-13;Week. (C);Grand Platypus Open #54;Nuks;DarKVoiD;2;0;3;C;1
2021-02-06;Week. (C);Grand Platypus Open #53;Hiro;DarKVoiD;1;0;1;C;1
2021-02-06;Week. (C);Grand Platypus Open #53;GogojOey;DarKVoiD;2;0;3;C;1
2020-10-03;Week. (C);Grand Platypus Open #43;GogojOey;DarKVoiD;2;0;3;C;1
2020-04-18;Week. (C);Grand Platypus Open #26;Azure;DarKVoiD;2;0;3;C;1
2020-03-21;Week. (C);Ao Dai Weekly #26;Solomon;DarKVoiD;2;0;3;C;1
2020-03-14;Week. (C);Ao Dai Weekly #25;Ranger;DarKVoiD;2;0;3;C;1
2020-03-14;Week. (C);Ao Dai Weekly #25;Lovegaugau;DarKVoiD;0;2;3;C;0
2020-03-14;Week. (C);Grand Platypus Open #22;JusticeSimon;DarKVoiD;2;0;3;C;1
