date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-10-11;B-Tier;Torneo Boliviano Chukuta Gamer 5.0;DarkUnnamed;CrossStroke;3;0;5;B;1
2025-10-11;B-Tier;Torneo Boliviano Chukuta Gamer 5.0;DarkUnnamed;Haverts;3;0;5;B;1
2025-10-11;B-Tier;Torneo Boliviano Chukuta Gamer 5.0;DarkUnnamed;RyoGin;4;2;5;B;1
2025-05-19;C-Tier;LATAM StarCraft 2 League - Playoffs;DarkUnnamed;Mute;0;2;3;C;0
2025-05-19;C-Tier;LATAM StarCraft 2 League - Group B;DarkUnnamed;RyoGin;2;0;3;C;1
2025-05-19;C-Tier;LATAM StarCraft 2 League - Group B;DarkUnnamed;Tavo;0;2;3;C;0
2025-05-19;C-Tier;LATAM StarCraft 2 League - Group B;DarkUnnamed;RyoGin;2;1;3;C;1
2025-05-12;C-Tier;Torneo Nacional Bolivia;DarkUnnamed;RyoGin;0;3;5;C;0
2025-05-11;C-Tier;Torneo Nacional Bolivia;DarkUnnamed;Huach;2;0;3;C;1
2025-05-11;C-Tier;Torneo Nacional Bolivia;DarkUnnamed;EnDeaVoR;2;0;3;C;1
2022-09-16;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;DarkUnnamed;tavo;0;2;3;A;0
2022-09-14;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;DarkUnnamed;Pacomike;1;2;3;A;0
2022-09-14;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;DarkUnnamed;PassWord;2;1;3;A;1
2022-09-02;Biw. (C);Sentimiento Latino #138;DarkUnnamed;SabeRLighT;0;2;3;C;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;DarkUnnamed;kaozfate;1;2;3;A;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;DarkUnnamed;Bombilla;2;0;3;A;1
2020-10-04;B-Tier;UA Expert Tournament;DarkUnnamed;Ryu;0;2;3;B;0
2020-09-05;Week. (C);Battle of the Americas #28;DarkUnnamed;Trigger;1;2;3;C;0
2020-09-04;Biw. (C);Copa Hyperion #4;DarkUnnamed;Korelo;0;1;1;C;0
2020-08-25;B-Tier;La Espira: Desafiantes - Fall 2020;DarkUnnamed;TurkeyDano;0;2;3;B;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;DarkUnnamed;JimRising;0;2;3;A;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;DarkUnnamed;Universe;2;1;3;A;1
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;DarkUnnamed;MimeronVex;2;1;3;A;1
2020-08-17;Week. (B);ESL Open Cup #32 Americas;DarkUnnamed;PartinG;0;2;3;B;0
2020-08-10;Week. (B);ESL Open Cup #31 Americas;DarkUnnamed;Nina;0;2;3;B;0
2020-08-09;C-Tier;Torneo El Prisma;DarkUnnamed;Marea;0;2;3;C;0
2020-08-09;C-Tier;Torneo El Prisma;DarkUnnamed;Aldebaran;1;0;1;C;1
2020-07-27;Week. (B);ESL Open Cup #29 Americas;DarkUnnamed;Creature;0;2;3;B;0
2020-07-27;Week. (B);ESL Open Cup #29 Americas;DarkUnnamed;Cyllene;2;1;3;B;1
2020-07-20;Week. (B);ESL Open Cup #28 Americas;DarkUnnamed;MarineLorD;0;2;3;B;0
2020-07-14;Biw. (C);TopTierPractice Cup #5;DarkUnnamed;Dastan;1;2;3;C;0
2020-07-13;Week. (B);ESL Open Cup #27 Americas;DarkUnnamed;Solar;0;2;3;B;0
2020-07-10;Biw. (C);Copa Hyperion #1;DarkUnnamed;YanXII;0;2;3;C;0
2020-07-10;Biw. (C);Copa Hyperion #1;DarkUnnamed;dahaka;2;0;3;C;1
2020-07-06;Week. (B);ESL Open Cup #26 Americas;DarkUnnamed;Future;0;2;3;B;0
2020-07-03;Biw. (C);Sentimiento Latino #88;DarkUnnamed;Sagan;0;2;3;C;0
2020-07-03;Biw. (C);Sentimiento Latino #88;DarkUnnamed;NewEra;1;0;1;C;1
2020-06-21;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;DarkUnnamed;nanO;0;2;3;A;0
2020-06-17;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;DarkUnnamed;EGG;1;2;3;A;0
2020-06-05;Biw. (C);Sentimiento Latino #86;DarkUnnamed;JimRising;1;3;5;C;0
2020-06-05;Biw. (C);Sentimiento Latino #86;DarkUnnamed;eGGz;2;0;3;C;1
2020-06-05;Biw. (C);Sentimiento Latino #86;DarkUnnamed;NeosShaggy;2;0;3;C;1
2020-06-05;Biw. (C);Sentimiento Latino #86;DarkUnnamed;iNsAnE;1;0;1;C;1
2020-05-23;Week. (C);Battle of the Americas #16;DarkUnnamed;Vindicta;0;2;3;C;0
