date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-03-20;B-Tier;La SuperClave de Latam #1;Dastan;Crown;0;2;3;B;0
2021-04-30;Biw. (C);Sentimiento Latino #108;Dastan;eGGz;0;2;3;C;0
2021-04-30;Biw. (C);Sentimiento Latino #108;Dastan;chorocarlo;2;0;3;C;1
2020-10-20;B-Tier;La Espira: Desafiantes - Winter 2020;Dastan;Shellbee;1;2;3;B;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;Darkness;0;2;3;A;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;Zura;2;0;3;A;1
2020-10-16;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;Darkness;1;2;3;A;0
2020-10-16;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;NeO;2;0;3;A;1
2020-10-14;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;Erik;0;2;3;A;0
2020-10-14;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Dastan;YanXII;2;1;3;A;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;Dastan;HalfBreed;2;3;5;C;0
2020-08-16;C-Tier;Rebirth of StarCraft v2;Dastan;Soul;2;0;3;C;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;Dastan;BomerKabomer;2;0;3;C;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;Dastan;Charlie;2;0;3;C;1
2020-08-10;Week. (B);ESL Open Cup #31 Americas;Dastan;Future;0;2;3;B;0
2020-08-08;Week. (C);Battle of the Americas #26;Dastan;Cham;0;2;3;C;0
2020-08-08;Week. (C);Battle of the Americas #26;Dastan;DTWB;2;0;3;C;1
2020-08-07;Biw. (C);Copa Hyperion #3;Dastan;JimRising;1;2;3;C;0
2020-08-07;Biw. (C);Copa Hyperion #3;Dastan;BrayanReynor;1;0;1;C;1
2020-08-01;Week. (C);Battle of the Americas #25;Dastan;Darkness;0;2;3;C;0
