date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-11-09;B-Tier;Moscow Championship 2025;EnigmA;Strange;1;3;5;B;0
2025-11-09;B-Tier;Moscow Championship 2025;EnigmA;LordGG;3;1;5;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;EnigmA;WannaBeByuN;0;1;1;B;0
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;EnigmA;LORDGG;1;0;1;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;EnigmA;Fallenger;0;2;3;B;0
2025-07-25;C-Tier;PORT July 2nd league #5;EnigmA;DefMars;0;1;1;C;0
2025-07-25;C-Tier;PORT July 2nd league #5;EnigmA;Matvey;0;2;3;C;0
2025-07-04;C-Tier;PORT July 2nd league #1;EnigmA;DefMars;0;3;5;C;0
2025-07-04;C-Tier;PORT July 2nd league #1;EnigmA;Erbest;2;0;3;C;1
2025-07-04;C-Tier;PORT July 2nd league #1;EnigmA;DefMars;2;1;3;C;1
2025-04-13;C-Tier;HotTeaTournament #9;EnigmA;Wefuxaas;0;1;1;C;0
2025-04-13;C-Tier;HotTeaTournament #9;EnigmA;ErkobraxX;0;1;1;C;0
2024-11-10;B-Tier;Moscow Championship 2024;EnigmA;PPower;2;3;5;B;0
2024-01-19;B-Tier;Christmas Cup - Group A;EnigmA;MindelVK;0;1;1;B;0
2024-01-19;B-Tier;Christmas Cup - Group A;EnigmA;SKillous;0;1;1;B;0
2023-11-15;Week. (C);VK Play #32;EnigmA;Strange;0;1;1;C;0
2023-11-15;Week. (C);VK Play #32;EnigmA;MindelVK;2;0;3;C;1
2023-11-15;Week. (C);VK Play #32;EnigmA;Kerrich;2;0;3;C;1
2023-10-25;Week. (C);VK Play #26;EnigmA;Wayne;0;2;3;C;0
2023-10-22;B-Tier;Culture Cup - Playoffs;EnigmA;WannaBeByuN;1;3;5;B;0
2023-10-21;B-Tier;Culture Cup - Playoffs;EnigmA;ART;2;3;5;B;0
2023-10-14;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;EnigmA;Trifax;0;2;3;S;0
2023-10-08;B-Tier;Culture Cup - Playoffs;EnigmA;UedSoldier;3;1;5;B;1
2023-10-04;B-Tier;Culture Cup - Playoffs;EnigmA;themoOsician;3;0;5;B;1
2023-09-27;Mon. (B);3D!King of the Hill #6;EnigmA;Wayne;0;1;1;B;0
2023-05-28;Mon. (B);3D!King of the Hill #4;EnigmA;MilkiCow;0;1;1;B;0
2023-05-28;Mon. (B);3D!King of the Hill #4;EnigmA;Bee;1;0;1;B;1
2023-05-21;A-Tier;Championship of Russia 2023 - Playoffs;EnigmA;Couguar;2;3;5;A;0
2023-05-20;A-Tier;Championship of Russia 2023 - Playoffs;EnigmA;YoungYakov;1;3;5;A;0
2023-05-01;A-Tier;Championship of Russia 2023 - Playoffs;EnigmA;KingCobra;3;2;5;A;1
2023-04-30;A-Tier;Championship of Russia 2023 - Playoffs;EnigmA;MindelVK;3;2;5;A;1
2023-04-30;A-Tier;Championship of Russia 2023 - Playoffs;EnigmA;Terral;3;2;5;A;1
2023-04-22;B-Tier;AstraCup S2 Final - Group B;EnigmA;Wayne;0;2;3;B;0
2023-04-22;B-Tier;AstraCup S2 Final - Group B;EnigmA;ART;1;2;3;B;0
2023-04-04;Week. (C);AstraCup #9;EnigmA;Nikich;1;2;3;C;0
2023-03-17;Week. (C);AstraCup #6;EnigmA;Nicoract;1;0;1;C;1
2023-03-17;Week. (C);AstraCup #6;EnigmA;Nikich;1;2;3;C;0
2023-03-17;Week. (C);AstraCup #6;EnigmA;WannaBeByuN;2;1;3;C;1
2023-03-11;B-Tier;Moscow Championship 2023;EnigmA;Exostriker;2;3;5;B;0
2023-03-11;B-Tier;Moscow Championship 2023;EnigmA;YoungStar;2;0;3;B;1
