date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-09-14;Biw. (B);StarCraft Evolution League #2;Fanatig;SHIN;0;2;3;B;0
2024-09-14;Biw. (B);StarCraft Evolution League #2;Fanatig;StarAtt;2;1;3;B;1
2024-08-31;B-Tier;H.4.0.S Galactic Battle 3 - Group C;Fanatig;Daniello;1;2;3;B;0
2024-08-31;B-Tier;H.4.0.S Galactic Battle 3 - Group C;Fanatig;Gerald;0;2;3;B;0
2024-07-27;Qual. (B);H.4.0.S Galactic Battle 3: Qualifiers - Bracket;Fanatig;INno;2;0;3;B;1
2024-07-27;Qual. (B);H.4.0.S Galactic Battle 3: Qualifiers - Bracket;Fanatig;Spirit;0;2;3;B;0
2024-07-27;Qual. (B);H.4.0.S Galactic Battle 3: Qualifiers - Bracket;Fanatig;Matrixx;2;0;3;B;1
2024-07-14;Mon. (C);Infolet Monthly Cup #7;Fanatig;Squizen;0;1;1;C;0
2024-07-14;Mon. (C);Infolet Monthly Cup #7;Fanatig;Ziomek;1;0;1;C;1
2024-07-14;Mon. (C);Infolet Monthly Cup #7;Fanatig;Kosit;1;0;1;C;1
2024-07-14;Mon. (C);Infolet Monthly Cup #7;Fanatig;PAPI;1;2;3;C;0
2024-06-30;B-Tier;Infolet Random Cup - Playoffs;Fanatig;Maro;0;1;1;B;0
2024-06-29;B-Tier;Infolet Random Cup - Group B;Fanatig;Daniello;1;0;1;B;1
2024-06-29;B-Tier;Infolet Random Cup - Group B;Fanatig;PAPI;0;1;1;B;0
2024-06-29;B-Tier;Infolet Random Cup - Group B;Fanatig;Daniello;1;0;1;B;1
2024-06-27;Mon. (C);Infolet Monthly Cup #6;Fanatig;Snoxtar;1;3;5;C;0
2024-06-27;Mon. (C);Infolet Monthly Cup #6;Fanatig;Rodzyn;2;3;5;C;0
2024-06-16;Mon. (C);Bingus World #21;Fanatig;Snoxtar;1;3;5;C;0
2024-06-08;B-Tier;H.4.0.S Galactic Battle 2 - Group C;Fanatig;Trifax;1;2;3;B;0
