date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-06-17;B-Tier;HFLAN 2023;Garitos;Déca;3;1;5;B;1
2023-06-17;B-Tier;HFLAN 2023;Garitos;Déca;3;2;5;B;1
2023-06-17;B-Tier;HFLAN 2023;Garitos;YellowFox;2;0;3;B;1
2023-06-17;B-Tier;HFLAN 2023;Garitos;Boboop;2;0;3;B;1
2023-04-08;B-Tier;Gamers Assembly 2023 - Playoffs;Garitos;NoCti;1;2;3;B;0
2023-04-08;B-Tier;Gamers Assembly 2023 - Playoffs;Garitos;ShaDoWn;1;2;3;B;0
2023-02-04;B-Tier;Alpha K-Cup 2 - Playoffs;Garitos;Jinioh;0;2;3;B;0
2022-09-14;Qual. (S);DHM Atlanta: EU Qualifiers - Bracket;Garitos;Xistl;0;2;3;S;0
2022-08-27;C-Tier;Beta K-CUP Grand Master;Garitos;ArT;0;3;5;C;0
2022-08-27;C-Tier;Beta K-CUP Grand Master;Garitos;Miszu;2;1;3;C;1
2022-08-01;Week. (B);ESL Open Cup #134 Europe;Garitos;HeRoMaRinE;0;2;3;B;0
2022-06-11;B-Tier;HFLAN 2022 - Playoffs;Garitos;Arrogfire;0;2;3;B;0
2022-06-11;B-Tier;HFLAN 2022 - Playoffs;Garitos;ShaDoWn;0;2;3;B;0
2022-05-04;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Garitos;Rom;0;3;5;S;0
2022-05-04;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Garitos;Bee;2;1;3;S;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Garitos;DnS;0;2;3;B;0
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Garitos;Deca;2;0;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Garitos;Ricus;2;1;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Garitos;Denver;0;2;3;B;0
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Garitos;PowerTech;2;0;3;B;1
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Garitos;Shameless;0;2;3;B;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Garitos;Botvinnik;1;2;3;B;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Garitos;SlavaZA;2;0;3;B;1
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;Garitos;HolyHit;3;1;5;B;1
2022-03-06;B-Tier;Alpha K-Cup - Group A;Garitos;AaRaSs;1;2;3;B;0
2022-03-06;B-Tier;Alpha K-Cup - Group A;Garitos;BadBorz;1;0;1;B;1
2022-03-06;B-Tier;Alpha K-Cup - Group A;Garitos;Déca;1;2;3;B;0
2022-02-14;Week. (B);ESL Open Cup #110 Europe;Garitos;DisK;0;2;3;B;0
2022-01-23;C-Tier;k-cup S2 #3;Garitos;Rom;1;2;3;C;0
2022-01-23;C-Tier;k-cup S2 #3;Garitos;Arrogfire;1;3;5;C;0
2022-01-23;C-Tier;k-cup S2 #3;Garitos;Rom;2;0;3;C;1
2022-01-08;B-Tier;Nokkkitv Tournament #1;Garitos;BlueCheese;0;1;1;B;0
2022-01-08;B-Tier;Nokkkitv Tournament #1;Garitos;Arrogfire;0;2;3;B;0
2022-01-07;Showm. (B);RottiShark Fight Night #1 - Detailed Results;Garitos;CuKu;3;1;5;B;1
2021-12-21;B-Tier;Underdogs 2021: Season 3;Garitos;hinO;2;3;5;B;0
2021-11-08;Week. (B);ESL Open Cup #95 Europe;Garitos;SKillous;0;2;3;B;0
2021-11-01;Week. (B);ESL Open Cup #94 Europe;Garitos;SKillous;0;2;3;B;0
2021-10-30;B-Tier;EPIC.LAN 34 - Playoffs;Garitos;figaro;0;2;3;B;0
2021-10-30;B-Tier;EPIC.LAN 34 - Playoffs;Garitos;Raza;2;3;5;B;0
2021-10-30;B-Tier;EPIC.LAN 34 - Playoffs;Garitos;Mix;3;1;5;B;1
2021-10-29;B-Tier;EPIC.LAN 34 - Playoffs;Garitos;RedDain;3;0;5;B;1
2021-10-29;B-Tier;EPIC.LAN 34 - Group C;Garitos;Molten;2;1;3;B;1
2021-10-29;B-Tier;EPIC.LAN 34 - Group C;Garitos;MarsBar;2;0;3;B;1
2021-10-29;B-Tier;EPIC.LAN 34 - Group C;Garitos;Jeddrix;2;0;3;B;1
2021-09-24;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Garitos;FightingFrog;2;3;5;S;0
2021-09-24;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Garitos;Ziomek;2;0;3;S;1
2021-09-22;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Garitos;SoulSpirit;0;2;3;S;0
2021-09-06;Week. (B);ESL Open Cup #87 Europe;Garitos;Coffee;0;2;3;B;0
2021-08-30;B-Tier;The Rotti & Wardi Cup #2;Garitos;uThermal;0;2;3;B;0
2021-08-18;Week. (C);Queen's Gambit #13;Garitos;TriGGeR;1;2;3;C;0
2021-08-18;Week. (C);Queen's Gambit #13;Garitos;ArT;2;0;3;C;1
2021-08-18;Week. (C);Queen's Gambit #13;Garitos;Knazovv;2;0;3;C;1
2021-08-09;Week. (B);ESL Open Cup #83 Europe;Garitos;Strange;0;2;3;B;0
2021-07-23;Qual. (S);DHM Fall: EU Qualifiers - Bracket;Garitos;Rail;0;2;3;S;0
2021-07-18;B-Tier;Challenger Cup #4;Garitos;Abbadon;0;2;3;B;0
2021-06-30;B-Tier;Underdogs 2021: Season 2;Garitos;Sweetzy;1;3;5;B;0
2021-06-23;Week. (C);Queen's Gambit #9;Garitos;Krystianer;0;2;3;C;0
2021-06-23;Week. (C);Queen's Gambit #9;Garitos;Kas;2;1;3;C;1
2021-06-13;B-Tier;BeAsT RTG Edition #7;Garitos;Krystianer;0;2;3;B;0
2021-06-10;Week. (C);Cock of the Walk #61;Garitos;Bly;0;2;3;C;0
2021-06-09;Week. (C);Queen's Gambit #8;Garitos;Hopt;0;2;3;C;0
2021-06-09;Week. (C);Queen's Gambit #8;Garitos;Keiras;2;0;3;C;1
2021-05-30;Showm. (C);"[[Alpha Pro Series Showmatches/2021/Super Standard#Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""'|Alpha Pro Series: 2021 Show Matches - Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""']]";Garitos;Arrogfire;3;1;5;C;1
2021-05-30;Showm. (C);"[[Alpha Pro Series Showmatches/2021/Super Standard#Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""'|Alpha Pro Series: 2021 Show Matches - Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""']]";Garitos;Uzikoti;3;1;5;C;1
2021-05-27;Week. (C);Cock of the Walk #59;Garitos;Erik;1;2;3;C;0
2021-05-24;Week. (B);ESL Open Cup #72 Europe;Garitos;MaNa;0;2;3;B;0
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Garitos;Rom;1;2;3;S;0
2021-05-12;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Garitos;Ziomek;1;2;3;S;0
2021-04-29;B-Tier;Genesis Legends Cup #8;Garitos;SouLeer;2;3;5;B;0
2021-04-28;Week. (C);Queen's Gambit #6;Garitos;GreatTeacher;1;2;3;C;0
