date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-04-17;B-Tier;The Best Sarmat #2 - Round 22;Gremory;Aristori;0;1;1;B;0
2021-04-17;B-Tier;The Best Sarmat #2 - Round 21;Gremory;Angry;1;0;1;B;1
2021-04-15;B-Tier;The Best Sarmat #2 - Round 20;Gremory;Rodzyn;0;1;1;B;0
2021-04-15;B-Tier;The Best Sarmat #2 - Round 19;Gremory;HaPe;0;1;1;B;0
2021-04-13;B-Tier;The Best Sarmat #2 - Round 17;Gremory;Fanatig;0;1;1;B;0
2021-04-08;B-Tier;The Best Sarmat #2 - Round 15;Gremory;Indy;0;1;1;B;0
2021-04-06;B-Tier;The Best Sarmat #2 - Round 14;Gremory;BluE;0;1;1;B;0
2021-04-06;B-Tier;The Best Sarmat #2 - Round 13;Gremory;Miszu;0;1;1;B;0
2021-04-01;B-Tier;The Best Sarmat #2 - Round 12;Gremory;Snoxtar;0;1;1;B;0
2021-04-01;B-Tier;The Best Sarmat #2 - Round 11;Gremory;Aristori;0;1;1;B;0
2021-03-30;B-Tier;The Best Sarmat #2 - Round 10;Gremory;Angry;1;0;1;B;1
2021-03-30;B-Tier;The Best Sarmat #2 - Round 9;Gremory;Rodzyn;0;1;1;B;0
2021-03-25;B-Tier;The Best Sarmat #2 - Round 8;Gremory;HaPe;1;0;1;B;1
2021-03-23;B-Tier;The Best Sarmat #2 - Round 6;Gremory;Fanatig;0;1;1;B;0
2021-03-17;B-Tier;The Best Sarmat #2 - Round 4;Gremory;Indy;0;1;1;B;0
2021-03-17;B-Tier;The Best Sarmat #2 - Round 3;Gremory;BluE;0;1;1;B;0
2021-03-16;B-Tier;The Best Sarmat #2 - Round 2;Gremory;Miszu;0;1;1;B;0
2021-03-16;B-Tier;The Best Sarmat #2 - Round 1;Gremory;Snoxtar;0;1;1;B;0
2021-04-17;B-Tier;The Best Sarmat #2 - Round 22;Aristori;Gremory;1;0;1;B;1
2021-04-17;B-Tier;The Best Sarmat #2 - Round 21;Angry;Gremory;0;1;1;B;0
2021-04-15;B-Tier;The Best Sarmat #2 - Round 20;Rodzyn;Gremory;1;0;1;B;1
2021-04-15;B-Tier;The Best Sarmat #2 - Round 19;HaPe;Gremory;1;0;1;B;1
2021-04-13;B-Tier;The Best Sarmat #2 - Round 17;Fanatig;Gremory;1;0;1;B;1
2021-04-08;B-Tier;The Best Sarmat #2 - Round 15;Indy;Gremory;1;0;1;B;1
2021-04-06;B-Tier;The Best Sarmat #2 - Round 14;BluE;Gremory;1;0;1;B;1
2021-04-06;B-Tier;The Best Sarmat #2 - Round 13;Miszu;Gremory;1;0;1;B;1
2021-04-01;B-Tier;The Best Sarmat #2 - Round 12;Snoxtar;Gremory;1;0;1;B;1
2021-04-01;B-Tier;The Best Sarmat #2 - Round 11;Aristori;Gremory;1;0;1;B;1
2021-03-30;B-Tier;The Best Sarmat #2 - Round 10;Angry;Gremory;0;1;1;B;0
2021-03-30;B-Tier;The Best Sarmat #2 - Round 9;Rodzyn;Gremory;1;0;1;B;1
2021-03-25;B-Tier;The Best Sarmat #2 - Round 8;HaPe;Gremory;0;1;1;B;0
2021-03-23;B-Tier;The Best Sarmat #2 - Round 6;Fanatig;Gremory;1;0;1;B;1
2021-03-17;B-Tier;The Best Sarmat #2 - Round 4;Indy;Gremory;1;0;1;B;1
2021-03-17;B-Tier;The Best Sarmat #2 - Round 3;BluE;Gremory;1;0;1;B;1
2021-03-16;B-Tier;The Best Sarmat #2 - Round 2;Miszu;Gremory;1;0;1;B;1
2021-03-16;B-Tier;The Best Sarmat #2 - Round 1;Snoxtar;Gremory;1;0;1;B;1
