date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-07-04;Qual. (S);EWC 2024 EU Qualifier;GunGFuBanDa;Bly;1;2;3;S;0
2024-05-06;Week. (B);ESL Open Cup #226 Europe;GunGFuBanDa;Harstem;1;2;3;B;0
2024-05-06;Week. (B);ESL Open Cup #226 Europe;GunGFuBanDa;Shameless;2;0;3;B;1
2024-04-29;Week. (B);ESL Open Cup #225 Europe;GunGFuBanDa;ShoWTimE;1;2;3;B;0
2024-04-29;Week. (B);ESL Open Cup #225 Europe;GunGFuBanDa;Fjant;2;0;3;B;1
2024-04-27;S-Tier;ESL Spring: Europe - Playoffs;GunGFuBanDa;goblin;0;3;5;S;0
2024-04-26;S-Tier;ESL Spring: Europe - Playoffs;GunGFuBanDa;Spirit;1;3;5;S;0
2024-04-22;Week. (B);ESL Open Cup #224 Europe;GunGFuBanDa;MaxPax;0;2;3;B;0
2024-04-22;Week. (B);ESL Open Cup #224 Europe;GunGFuBanDa;HeRoMaRinE;2;1;3;B;1
2024-04-22;Week. (B);ESL Open Cup #224 Europe;GunGFuBanDa;Krystianer;2;0;3;B;1
2024-04-22;Week. (B);ESL Open Cup #224 Europe;GunGFuBanDa;Lemon;2;0;3;B;1
2024-04-21;S-Tier;ESL Spring: Europe - Gr B R 5;GunGFuBanDa;AqueroN;2;0;3;S;1
2024-04-18;S-Tier;ESL Spring: Europe - Gr B R 4;GunGFuBanDa;Harstem;0;2;3;S;0
2024-04-16;S-Tier;ESL Spring: Europe - Gr B R 3;GunGFuBanDa;Bly;2;1;3;S;1
2024-04-15;Week. (B);ESL Open Cup #223 Europe;GunGFuBanDa;MaxPax;0;2;3;B;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;GunGFuBanDa;ShaDoWn;2;0;3;B;1
2024-04-15;Week. (B);ESL Open Cup #223 Europe;GunGFuBanDa;BabyMarine;2;0;3;B;1
2024-04-13;S-Tier;ESL Spring: Europe - Gr B R 2;GunGFuBanDa;Aristori;2;0;3;S;1
2024-04-11;S-Tier;ESL Spring: Europe - Gr B R 1;GunGFuBanDa;YoungYakov;0;2;3;S;0
2024-03-29;Showm. (B);Basilisk Big Brain Bouts #55 - Main Event;GunGFuBanDa;Astrea;2;3;5;B;0
2024-03-25;Week. (B);ESL Open Cup #220 Europe;GunGFuBanDa;Harstem;0;2;3;B;0
2024-03-25;Week. (B);ESL Open Cup #220 Europe;GunGFuBanDa;MindelVK;2;1;3;B;1
2024-03-24;Qual. (B);WardiTV March Invitational: Qualifier;GunGFuBanDa;MaxPax;0;2;3;B;0
