date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;HalfBreed;TerraN;0;2;3;A;0
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;HalfBreed;EON;2;1;3;A;1
2020-10-03;B-Tier;UA Expert Tournament;HalfBreed;Stazs;0;1;1;B;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;HalfBreed;nanO;1;2;3;A;0
2020-08-16;C-Tier;Rebirth of StarCraft v2;HalfBreed;Dastan;3;2;5;C;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;HalfBreed;siNder;2;0;3;C;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;HalfBreed;Artekario;2;0;3;C;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;HalfBreed;Zura;2;0;3;C;1
2020-06-23;B-Tier;La Espira: Desafiantes - Summer 2020;HalfBreed;TheZergLord;1;2;3;B;0
2020-06-21;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;HalfBreed;nanO;0;2;3;A;0
2020-06-21;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;HalfBreed;ManoManolo;2;0;3;A;1
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;TerraN;HalfBreed;2;0;3;A;1
2021-05-14;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;EON;HalfBreed;1;2;3;A;0
2020-10-03;B-Tier;UA Expert Tournament;Stazs;HalfBreed;1;0;1;B;1
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;nanO;HalfBreed;2;1;3;A;1
2020-08-16;C-Tier;Rebirth of StarCraft v2;Dastan;HalfBreed;2;3;5;C;0
2020-08-16;C-Tier;Rebirth of StarCraft v2;siNder;HalfBreed;0;2;3;C;0
2020-08-16;C-Tier;Rebirth of StarCraft v2;Artekario;HalfBreed;0;2;3;C;0
2020-08-16;C-Tier;Rebirth of StarCraft v2;Zura;HalfBreed;0;2;3;C;0
2020-06-23;B-Tier;La Espira: Desafiantes - Summer 2020;TheZergLord;HalfBreed;2;1;3;B;1
2020-06-21;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;nanO;HalfBreed;2;0;3;A;1
2020-06-21;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;ManoManolo;HalfBreed;0;2;3;A;0
