date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-04-12;Showm. (B);Basilisk Big Brain Bouts #56 - Bouts;HateMe;Mixu;3;0;5;B;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;HateMe;PtitDrogo;0;3;5;S;0
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;HateMe;ART;2;1;3;S;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;HateMe;MilkiCow;1;2;3;S;0
2024-04-05;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;HateMe;Fjant;3;0;5;S;1
2024-04-05;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;HateMe;MrLEz;2;0;3;S;1
2023-10-13;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;HateMe;Snoxtar;1;3;5;S;0
2023-10-13;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;HateMe;sebesdes;2;0;3;S;1
2023-08-23;C-Tier;maralekos Replay Liga #8: Liga 1 - Playoffs;HateMe;Chabby;3;2;5;C;1
2023-08-23;C-Tier;maralekos Replay Liga #8: Liga 1 - Playoffs;HateMe;Zargrash;3;1;5;C;1
2023-08-23;C-Tier;maralekos Replay Liga #8: Liga 1 - Playoffs;HateMe;Winckel;3;1;5;C;1
2023-07-29;B-Tier;Eagles Open;HateMe;trigger;0;4;5;B;0
2023-07-16;B-Tier;Eagles Open;HateMe;goblin;3;1;5;B;1
2023-07-15;B-Tier;Eagles Open;HateMe;Gerald;3;1;5;B;1
2023-07-13;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;FrisK;1;2;3;C;0
2023-07-12;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;Chabby;0;0;1;C;0
2023-07-08;B-Tier;Eagles Open;HateMe;NightPhoenix;3;2;5;B;1
2023-07-06;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;NoMercy;2;0;3;C;1
2023-06-28;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;Winckel;2;0;3;C;1
2023-06-15;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;SharKRippeR;2;0;3;C;1
2023-06-01;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;TralaBoB;2;0;3;C;1
2023-05-27;C-Tier;maralekos Replay Liga #8: Liga 1 - Group Stage;HateMe;Zargrash;0;2;3;C;0
2023-05-12;Showm. (B);Basilisk Big Brain Bouts #26 - Main Event;HateMe;Creed;3;0;5;B;1
2023-04-09;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;HateMe;MilkiCow;0;3;5;S;0
2023-04-09;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;HateMe;Moja;2;1;3;S;1
2023-04-09;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;HateMe;Bly;0;2;3;S;0
2023-03-19;B-Tier;maralekos Replay Liga #7: Liga 1 - Playoffs;HateMe;FrisK;3;0;5;B;1
2023-03-16;Week. (C);PassionCraft Thursday Showdown #30;HateMe;Kas;0;2;3;C;0
2023-03-11;A-Tier;#PassionCraft Knockout - GS Group D;HateMe;Spirit;1;2;3;A;0
2023-03-11;A-Tier;#PassionCraft Knockout - GS Group D;HateMe;Lambo;2;0;3;A;1
2023-03-11;A-Tier;#PassionCraft Knockout - GS Group D;HateMe;MaxPax;0;2;3;A;0
2023-03-06;Week. (B);ESL Open Cup #165 Europe;HateMe;Reynor;1;2;3;B;0
2023-03-06;Week. (B);ESL Open Cup #165 Europe;HateMe;Aristori;2;0;3;B;1
2023-03-03;Showm. (B);Basilisk Big Brain Bouts #19 - Bouts;HateMe;NightPhoenix;1;3;5;B;0
2023-03-01;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;FrisK;2;0;3;B;1
2023-02-22;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;Zargrash;2;1;3;B;1
2023-02-16;B-Tier;Alpha X EU Ascension League: Code S - Playoffs;HateMe;ArT;2;3;5;B;0
2023-02-13;Week. (B);ESL Open Cup #162 Europe;HateMe;goblin;1;2;3;B;0
2023-02-07;B-Tier;ebattle Champions Series - Playoffs;HateMe;ForJumy;2;3;5;B;0
2023-02-07;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;Soon;2;0;3;B;1
2023-02-01;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;Seracis;2;1;3;B;1
2023-02-01;Showm. (B);MYG Show Match #2;HateMe;Blueming;4;2;5;B;1
2023-02-01;Showm. (B);MYG Show Match #3;HateMe;SCV;2;4;5;B;0
2023-01-31;B-Tier;ebattle Champions Series - Playoffs;HateMe;Seracis;3;2;5;B;1
2023-01-31;Showm. (B);MYG Show Match #1;HateMe;Lemon;4;2;5;B;1
2023-01-25;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;Chabby;2;0;3;B;1
2023-01-21;Week. (C);CSO Cup #53;HateMe;Nicoract;1;2;3;C;0
2023-01-17;B-Tier;ebattle Champions Series - Group Stage;HateMe;ForJumy;0;2;3;B;0
2023-01-15;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;Winckel;2;0;3;B;1
2023-01-15;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;HateMe;VeNTuRe;2;0;3;B;1
2023-01-10;B-Tier;ebattle Champions Series - Group Stage;HateMe;Seracis;2;0;3;B;1
2022-12-20;B-Tier;ebattle Champions Series - Group Stage;HateMe;FrisK;2;0;3;B;1
2022-12-13;B-Tier;ebattle Champions Series - Group Stage;HateMe;Dronehard;2;0;3;B;1
2022-12-13;Mon. (B);Frogos' Platinum Coliseum #7;HateMe;ArT;3;1;5;B;1
2022-12-12;C-Tier;maralekos Replay Liga #6: Liga 1 - Playoffs;HateMe;FrisK;3;1;5;C;1
2022-12-06;B-Tier;ebattle Champions Series - Group Stage;HateMe;Soon;2;1;3;B;1
2022-11-29;B-Tier;ebattle Champions Series - Group Stage;HateMe;MariK;2;0;3;B;1
2022-11-22;B-Tier;ebattle Champions Series - Group Stage;HateMe;NoMercy;2;1;3;B;1
2022-11-21;C-Tier;maralekos Replay Liga #6: Liga 1 - Group Stage;HateMe;FrisK;2;0;3;C;1
2022-11-14;C-Tier;maralekos Replay Liga #6: Liga 1 - Group Stage;HateMe;SharKRippeR;2;0;3;C;1
2022-11-07;C-Tier;maralekos Replay Liga #6: Liga 1 - Group Stage;HateMe;Dronehard;2;0;3;C;1
2022-10-31;C-Tier;maralekos Replay Liga #6: Liga 1 - Group Stage;HateMe;Railgan;2;0;3;C;1
2022-10-21;Qual. (A);AfTV CC EU Qualifiers - Bracket;HateMe;Harstem;0;1;1;A;0
2022-10-21;Qual. (A);AfTV CC EU Qualifiers - Bracket;HateMe;Clem;0;2;3;A;0
