date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-05-13;S-Tier;ESL Summer: Europe - Gr B R 4;Hellraiser;Bly;0;2;3;S;0
2023-05-09;S-Tier;ESL Summer: Europe - Gr B R 3;Hellraiser;Clem;0;2;3;S;0
2023-05-07;S-Tier;ESL Summer: Europe - Gr B R 2;Hellraiser;Reynor;0;2;3;S;0
2023-05-04;S-Tier;ESL Summer: Europe - Gr B R 1;Hellraiser;MaNa;2;1;3;S;1
2023-04-23;B-Tier;Ukrainian Cup - Playoffs;Hellraiser;DIMAGA;2;3;5;B;0
2023-04-16;B-Tier;Ukrainian Cup - Playoffs;Hellraiser;NightPhoenix;0;3;5;B;0
2023-04-09;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Hellraiser;ArT;3;2;5;S;1
2023-04-09;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Hellraiser;Azura;2;0;3;S;1
2023-03-25;B-Tier;Ukrainian Cup - Playoffs;Hellraiser;Kas;3;0;5;B;1
2023-03-19;B-Tier;Ukrainian Cup - Playoffs;Hellraiser;SunSet;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;RomanDeMolde;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;MustToDie;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;HackErIsTop;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;Grets;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;Awers;2;0;3;B;1
2023-03-04;B-Tier;Ukrainian Cup - Group A;Hellraiser;Gref;2;0;3;B;1
2023-01-24;Week. (B);ESL Open Cup #159 Americas;Hellraiser;Dark;0;3;5;B;0
2023-01-24;Week. (B);ESL Open Cup #159 Americas;Hellraiser;MaxPax;2;1;3;B;1
