date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-10;A-Tier;Big Gabe Cup #3 - Elimination Bracket;HolyHit;Riegel;1;2;3;A;0
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;HolyHit;Musti;0;2;3;A;0
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;HolyHit;Krystianer;0;2;3;A;0
2025-12-15;Week. (B);Monday Night Weeklies #34;HolyHit;Fjant;0;1;1;B;0
2025-10-10;B-Tier;Rotti Stream Rumble #5;HolyHit;Flexy;0;1;1;B;0
2024-06-22;A-Tier;HSC XXV - Group D;HolyHit;Mixu;0;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;HolyHit;HeRoMaRinE;0;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;HolyHit;PtitDrogo;1;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;HolyHit;Elazer;0;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;HolyHit;trigger;0;2;3;A;0
2024-03-22;Showm. (B);Basilisk Big Brain Bouts #54 - Bouts;HolyHit;Gref;2;3;5;B;0
2024-03-02;B-Tier;Big Gabe #1 - Playoffs Bracket;HolyHit;SKillous;0;2;3;B;0
2024-03-02;B-Tier;Big Gabe #1 - Open Bracket;HolyHit;Kelazhur;0;2;3;B;0
2024-03-02;B-Tier;Big Gabe #1 - Open Bracket;HolyHit;Musti;2;0;3;B;1
2024-03-02;B-Tier;Big Gabe #1 - Open Bracket;HolyHit;Fredward;2;0;3;B;1
2024-02-19;Week. (B);ESL Open Cup #215 Europe;HolyHit;MaxPax;0;2;3;B;0
2023-11-20;Week. (B);ESL Open Cup #202 Europe;HolyHit;Spirit;0;2;3;B;0
2023-10-30;Week. (B);ESL Open Cup #199 Europe;HolyHit;MaxPax;0;2;3;B;0
2023-10-23;Week. (B);ESL Open Cup #198 Europe;HolyHit;Spirit;0;2;3;B;0
2023-10-16;Week. (B);ESL Open Cup #197 Europe;HolyHit;Elazer;0;2;3;B;0
