date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;HwaRanG;Dream;0;2;3;S;0
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;HwaRanG;BYE;1;0;1;S;1
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;HwaRanG;LunaSea;0;2;3;S;0
2020-12-09;Showm. (C);Grand Prix Series - Detailed Results;HwaRanG;Bubble;4;5;7;C;0
2020-12-01;Week. (B);OlimoLeague Week #211;HwaRanG;DongRaeGu;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;HwaRanG;DRGLing;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;HwaRanG;StuN;0;2;3;B;0
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;Dream;HwaRanG;2;0;3;S;1
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;BYE;HwaRanG;0;1;1;S;0
2021-01-19;Qual. (S);2021 AfreecaTV GSL Super Tournament 1: Qualifier;LunaSea;HwaRanG;2;0;3;S;1
2020-12-09;Showm. (C);Grand Prix Series - Detailed Results;Bubble;HwaRanG;5;4;7;C;1
2020-12-01;Week. (B);OlimoLeague Week #211;DongRaeGu;HwaRanG;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;DRGLing;HwaRanG;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;StuN;HwaRanG;2;0;3;B;1
