date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-09-08;B-Tier;HyperONE Power Rankings #5 - Playoffs;Illias;HiGhDrA;2;3;5;B;0
2025-05-29;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;You;2;1;3;B;1
2025-05-19;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;Kenosua;1;0;1;B;1
2025-05-18;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;TheSwiss;2;0;3;B;1
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;Meven;2;0;3;B;1
2025-04-19;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;threepoint;1;0;1;B;1
2025-02-26;C-Tier;HyperONE Power Rankings #4 - Playoffs;Illias;Michnek;0;2;3;C;0
2025-02-15;C-Tier;HyperONE Power Rankings #4 - Playoffs;Illias;HyperONE;3;0;5;C;1
2025-02-01;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;GogojOey;0;2;3;C;0
2025-01-25;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;Koht;0;2;3;C;0
2025-01-17;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;KenoSua;2;0;3;C;1
2024-12-19;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;Myonmu;2;0;3;C;1
2024-11-24;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;TheSwiss;2;0;3;C;1
2024-11-24;C-Tier;HyperONE Power Rankings #4 - Group B;Illias;BabySwiss;2;0;3;C;1
2024-06-12;Mon. (C);Bingus World #20;Illias;acheron;0;4;5;C;0
2024-06-11;Mon. (C);Bingus World #17;Illias;CalmHorizons;4;3;5;C;1
2024-06-11;Mon. (C);Bingus World #16;Illias;Patches;4;0;5;C;1
2024-06-09;Mon. (B);HyperONE Power Rankings #3;Illias;LeoRusher;1;3;5;B;0
2024-06-08;Mon. (B);HyperONE Power Rankings #3;Illias;ImTwelve;3;1;5;B;1
2024-02-18;Mon. (B);HyperONE Power Rankings #3;Illias;HonMonO;0;1;1;B;0
2024-02-11;Mon. (B);HyperONE Power Rankings #3;Illias;Koht;2;1;3;B;1
