date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;Indy;BabyMarine;0;1;1;B;0
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;Indy;Jumy;2;0;3;B;1
2025-09-26;B-Tier;Rotti Stream Rumble #4: PTR Edition;Indy;Flexy;2;1;3;B;1
2025-09-15;Week. (B);Monday Night Weeklies #23;Indy;Harstem;1;2;3;B;0
2025-09-03;B-Tier;LiuLi Cup Weekly #5;Indy;MaxPax;0;2;3;B;0
2025-01-27;B-Tier;Monday Night WoL;Indy;Dark;0;2;3;B;0
2025-01-27;B-Tier;Monday Night WoL;Indy;FoxeR;2;0;3;B;1
2024-11-11;Week. (B);KSR #11;Indy;Nicoract;0;2;3;B;0
2024-11-04;Week. (B);KSR #10;Indy;YoungYakov;0;2;3;B;0
2024-11-01;Showm. (B);Basilisk Big Brain Bouts #74 - Bouts;Indy;Djorjx;3;1;5;B;1
2024-10-28;Week. (B);KSR #9;Indy;Gerald;0;2;3;B;0
2024-10-28;Week. (B);KSR #9;Indy;BYE;1;0;1;B;1
2024-10-21;Week. (B);KSR #8;Indy;ByuN;0;2;3;B;0
2024-10-21;Week. (B);KSR #8;Indy;AqueroN;2;0;3;B;1
2024-10-14;Week. (B);KSR #7;Indy;SKillous;1;2;3;B;0
2024-10-14;Week. (B);KSR #7;Indy;Ryung;2;1;3;B;1
2024-10-14;Week. (B);KSR #7;Indy;BabyMarine;2;1;3;B;1
2024-10-07;Week. (B);KSR #6;Indy;Gerald;0;2;3;B;0
2024-10-07;Week. (B);KSR #6;Indy;BYE;1;0;1;B;1
2024-08-26;Week. (B);ESL Open Cup #242 Europe;Indy;Gerald;0;2;3;B;0
2024-08-26;Week. (B);ESL Open Cup #242 Europe;Indy;Dolan;2;0;3;B;1
2024-07-29;Week. (B);ESL Open Cup #238 Europe;Indy;BattleB;0;2;3;B;0
2024-07-15;Week. (B);ESL Open Cup #236 Europe;Indy;Shameless;1;2;3;B;0
2024-07-08;Week. (B);ESL Open Cup #235 Europe;Indy;Replicant;0;2;3;B;0
2024-07-01;Week. (B);ESL Open Cup #234 Europe;Indy;MaNa;0;2;3;B;0
2024-06-30;B-Tier;Infolet Random Cup - Playoffs;Indy;Krystianer;0;1;1;B;0
2024-06-29;B-Tier;Infolet Random Cup - Group D;Indy;Kiesiew;1;0;1;B;1
2024-06-29;B-Tier;Infolet Random Cup - Group D;Indy;Kosit;1;0;1;B;1
2024-06-29;B-Tier;Infolet Random Cup - Group D;Indy;Miszu;0;1;1;B;0
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Indy;Spirit;0;2;3;B;0
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Indy;Azura;2;0;3;B;1
