date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-07-21;Qual. (A);DHM Fall: LatAm Qualifiers - Bracket;Jarppi;tavo;1;2;3;A;0
2021-07-21;Qual. (A);DHM Fall: LatAm Qualifiers - Bracket;Jarppi;AreZ;2;1;3;A;1
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;JimRising;2;3;5;A;0
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;TerraN;1;3;5;A;0
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;eGGz;2;1;3;A;1
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;Shakti;3;1;5;A;1
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;TerraN;2;1;3;A;1
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Jarppi;RoRrO;2;0;3;A;1
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Jarppi;nanO;1;2;3;A;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Jarppi;DestroyerTT;2;0;3;A;1
2020-10-03;B-Tier;UA Expert Tournament;Jarppi;eGGz;0;1;1;B;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Jarppi;Universe;1;2;3;A;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Jarppi;TurkeyDano;0;2;3;A;0
2020-06-14;C-Tier;Rebirth of StarCraft;Jarppi;Dastan;1;2;3;C;0
2020-06-14;C-Tier;Rebirth of StarCraft;Jarppi;GGMAN;2;0;3;C;1
2020-06-14;C-Tier;Rebirth of StarCraft;Jarppi;Sagan;2;1;3;C;1
2021-07-21;Qual. (A);DHM Fall: LatAm Qualifiers - Bracket;tavo;Jarppi;2;1;3;A;1
2021-07-21;Qual. (A);DHM Fall: LatAm Qualifiers - Bracket;AreZ;Jarppi;1;2;3;A;0
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;JimRising;Jarppi;3;2;5;A;1
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;TerraN;Jarppi;3;1;5;A;1
2021-05-16;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;eGGz;Jarppi;1;2;3;A;0
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;Shakti;Jarppi;1;3;5;A;0
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;TerraN;Jarppi;1;2;3;A;0
2021-05-12;Qual. (A);DHM Summer: LatAm Qualifiers - Bracket;RoRrO;Jarppi;0;2;3;A;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;nanO;Jarppi;2;1;3;A;1
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;DestroyerTT;Jarppi;0;2;3;A;0
2020-10-03;B-Tier;UA Expert Tournament;eGGz;Jarppi;1;0;1;B;1
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Universe;Jarppi;2;1;3;A;1
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;TurkeyDano;Jarppi;2;0;3;A;1
2020-06-14;C-Tier;Rebirth of StarCraft;Dastan;Jarppi;2;1;3;C;1
2020-06-14;C-Tier;Rebirth of StarCraft;GGMAN;Jarppi;0;2;3;C;0
2020-06-14;C-Tier;Rebirth of StarCraft;Sagan;Jarppi;1;2;3;C;0
