date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;Kas;gunner;0;3;5;B;0
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;Kas;HackErIsTop;2;1;3;B;1
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;Kas;SunSet;1;0;1;B;1
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;Kas;gunner;0;2;3;B;0
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;Kas;HackErIsTop;2;0;3;B;1
2023-11-24;Week. (B);OSC KotH Weekly #154;Kas;Krystianer;0;1;1;B;0
2023-11-20;Week. (B);ESL Open Cup #202 Europe;Kas;Arrogfire;1;2;3;B;0
2023-11-13;Week. (B);ESL Open Cup #201 Europe;Kas;Lambo;0;2;3;B;0
2023-11-13;Week. (B);ESL Open Cup #201 Europe;Kas;MaNa;2;0;3;B;1
2023-11-13;Week. (B);ESL Open Cup #201 Europe;Kas;Soita;2;0;3;B;1
2023-10-30;Week. (B);ESL Open Cup #199 Europe;Kas;Arrogfire;0;1;1;B;0
2023-10-23;Week. (B);ESL Open Cup #198 Europe;Kas;MaxPax;0;2;3;B;0
2023-10-23;Week. (B);ESL Open Cup #198 Europe;Kas;Mixu;2;1;3;B;1
2023-10-18;Week. (B);KFC 2023 S2 #4;Kas;herO;0;2;3;B;0
2023-10-16;Week. (B);ESL Open Cup #197 Europe;Kas;Harstem;0;2;3;B;0
2023-10-15;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;Kas;Strange;0;2;3;S;0
2023-10-15;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;Kas;Rom;1;2;3;S;0
2023-10-02;Week. (B);OSC KotH Weekly #150;Kas;Spirit;0;1;1;B;0
2023-09-30;B-Tier;Dragonchek cup #2 - Playoffs;Kas;Strange;0;5;7;B;0
2023-09-28;B-Tier;Dragonchek cup #2 - GS Group A;Kas;YoungYakov;2;3;5;B;0
2023-09-28;B-Tier;Dragonchek cup #2 - GS Group A;Kas;Ashbringer;3;1;5;B;1
2023-09-28;B-Tier;Dragonchek cup #2 - GS Group A;Kas;YoungYakov;0;2;3;B;0
2023-09-25;Week. (B);ESL Open Cup #194 Europe;Kas;BattleB;0;2;3;B;0
2023-09-23;B-Tier;WardiTV EU League 23 - GS 1 Group C;Kas;DIMAGA;0;2;3;B;0
2023-09-23;B-Tier;WardiTV EU League 23 - GS 1 Group C;Kas;trigger;0;2;3;B;0
