date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-05-26;Week. (C);Sparkling Tuna Cup #51;KeeN;Nicoract;0;2;3;C;0
2024-05-26;Week. (C);Sparkling Tuna Cup #51;KeeN;control;2;0;3;C;1
2024-05-12;Week. (C);Sparkling Tuna Cup #50;KeeN;NightMare;1;3;5;C;0
2024-05-12;Week. (C);Sparkling Tuna Cup #50;KeeN;Gerald;2;1;3;C;1
2024-05-12;Week. (C);Sparkling Tuna Cup #50;KeeN;HonMonO;2;1;3;C;1
2024-05-12;Week. (C);Sparkling Tuna Cup #50;KeeN;EON;2;0;3;C;1
2024-05-07;Qual. (A);WardiTV Korean Royale S3Q;KeeN;Cyan;0;2;3;A;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 2;KeeN;Bunny;0;2;3;S;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 2;KeeN;Ryung;2;0;3;S;1
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 2;KeeN;Bunny;0;2;3;S;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;KeeN;RagnaroK;1;2;3;S;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;KeeN;Nice;2;0;3;S;1
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;KeeN;ByuN;0;2;3;S;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;KeeN;olvy;1;0;1;S;1
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 2;KeeN;Ryung;1;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 2;KeeN;Classic;0;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;KeeN;NightMare;1;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;KeeN;Future;2;0;3;S;1
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;KeeN;Solar;0;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;KeeN;Percival;2;1;3;S;1
2023-05-06;Week. (B);Korean Starcraft League #9;KeeN;Dark;0;2;3;B;0
2023-05-06;Week. (B);Korean Starcraft League #9;KeeN;Nicoract;2;0;3;B;1
