date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-07-12;Qual. (A);FEL Cracov 2025: Qualifier #3;Kelazhur;BabyMarine;1;2;3;A;0
2025-07-06;Qual. (A);FEL Cracov 2025: Qualifier #2;Kelazhur;Spirit;2;3;5;A;0
2025-07-06;Qual. (A);FEL Cracov 2025: Qualifier #2;Kelazhur;MaNa;1;3;5;A;0
2025-07-06;Qual. (A);FEL Cracov 2025: Qualifier #2;Kelazhur;Spirit;2;0;3;A;1
2025-07-06;Qual. (A);FEL Cracov 2025: Qualifier #2;Kelazhur;ArT;2;0;3;A;1
2025-07-05;Qual. (A);FEL Cracov 2025: Qualifier #1;Kelazhur;Krystianer;0;2;3;A;0
2025-06-28;A-Tier;HSC XXVII - Group D;Kelazhur;HeroMarine;0;2;3;A;0
2025-06-28;A-Tier;HSC XXVII - Group D;Kelazhur;Shino;2;1;3;A;1
2025-06-28;A-Tier;HSC XXVII - Group D;Kelazhur;sebesdes;0;2;3;A;0
2025-06-28;A-Tier;HSC XXVII - Group D;Kelazhur;Harstem;0;2;3;A;0
2025-06-28;A-Tier;HSC XXVII - Group D;Kelazhur;sOs;0;2;3;A;0
2025-05-31;Qual. (S);EWC 2025 Americas Quali - Bracket;Kelazhur;Cham;0;3;5;S;0
2025-05-31;Qual. (S);EWC 2025 Americas Quali - Bracket;Kelazhur;Scarlett;2;3;5;S;0
2025-05-29;Qual. (S);EWC 2025 Americas Quali - Bracket;Kelazhur;EON;2;0;3;S;1
2025-05-29;Qual. (S);EWC 2025 Americas Quali - Bracket;Kelazhur;eGGz;3;1;5;S;1
2025-03-29;B-Tier;WardiTV Boomer Bash - Playoffs;Kelazhur;herO;0;3;5;B;0
2025-03-29;Qual. (A);BGE 2025: Europe Qualifier;Kelazhur;YoungYakov;0;2;3;A;0
2025-03-29;Qual. (A);BGE 2025: Europe Qualifier;Kelazhur;Nitix;2;0;3;A;1
2025-03-23;B-Tier;WardiTV Boomer Bash - Group A;Kelazhur;TLO;2;0;3;B;1
2025-03-23;B-Tier;WardiTV Boomer Bash - Group A;Kelazhur;Scarlett;1;2;3;B;0
2025-03-23;B-Tier;WardiTV Boomer Bash - Group A;Kelazhur;DnS;2;0;3;B;1
2024-11-29;A-Tier;HSC XXVI - Group B;Kelazhur;Spirit;0;2;3;A;0
2024-11-29;A-Tier;HSC XXVI - Group B;Kelazhur;Gerald;2;1;3;A;1
2024-11-29;A-Tier;HSC XXVI - Group B;Kelazhur;Moja;2;1;3;A;1
2024-11-29;A-Tier;HSC XXVI - Group B;Kelazhur;ShoWTimE;0;2;3;A;0
2024-11-29;A-Tier;HSC XXVI - Group B;Kelazhur;Maru;0;2;3;A;0
2024-09-06;A-Tier;BGE Stara Zagora 2024;Kelazhur;Harstem;1;3;5;A;0
2024-09-05;A-Tier;BGE Stara Zagora 2024;Kelazhur;trigger;0;2;3;A;0
2024-07-05;Qual. (S);EWC 2024 AM Qualifier;Kelazhur;trigger;0;2;3;S;0
2024-07-05;Qual. (S);EWC 2024 AM Qualifier;Kelazhur;Vindicta;2;0;3;S;1
2024-07-05;Qual. (S);EWC 2024 AM Qualifier;Kelazhur;Andresinho;2;0;3;S;1
2024-06-22;A-Tier;HSC XXV - Group C;Kelazhur;ForJumy;2;0;3;A;1
2024-06-22;A-Tier;HSC XXV - Group C;Kelazhur;Harstem;0;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group C;Kelazhur;ShoWTimE;1;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group C;Kelazhur;CuKu;2;0;3;A;1
2024-06-22;A-Tier;HSC XXV - Group C;Kelazhur;Spazymazy;2;0;3;A;1
2024-05-31;S-Tier;ESL Spring - Bracket A;Kelazhur;Future;0;2;3;S;0
2024-05-31;S-Tier;ESL Spring - Bracket A;Kelazhur;Creator;1;2;3;S;0
2024-05-31;S-Tier;ESL Spring - Bracket A;Kelazhur;Rhizer;2;0;3;S;1
2024-05-06;Week. (B);ESL Open Cup #226 Americas;Kelazhur;GuMiho;0;2;3;B;0
2024-05-06;Week. (B);ESL Open Cup #226 Americas;Kelazhur;trigger;2;1;3;B;1
2024-05-06;Week. (B);ESL Open Cup #226 Americas;Kelazhur;Coucoute;2;0;3;B;1
2024-05-04;A-Tier;ESL Spring: Americas - Playoffs;Kelazhur;Astrea;0;3;5;A;0
2024-05-04;A-Tier;ESL Spring: Americas - Playoffs;Kelazhur;trigger;0;3;5;A;0
2024-05-02;A-Tier;ESL Spring: Americas - Playoffs;Kelazhur;DisK;3;0;5;A;1
2024-04-20;A-Tier;ESL Spring: Americas - R 4;Kelazhur;Cham;2;0;3;A;1
2024-04-19;A-Tier;ESL Spring: Americas - R 3;Kelazhur;Scarlett;0;2;3;A;0
2024-04-14;A-Tier;ESL Spring: Americas - R 2;Kelazhur;Future;2;0;3;A;1
2024-04-13;A-Tier;ESL Spring: Americas - R 1;Kelazhur;FoxeR;2;1;3;A;1
2024-03-31;B-Tier;ComeBackTV Invitational Part 2;Kelazhur;Wayne;1;3;5;B;0
2024-03-30;B-Tier;ComeBackTV Invitational Part 2;Kelazhur;ShoWTimE;1;3;5;B;0
