date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-01-12;B-Tier;Team Gosu Power Rankings #2 - Playoffs;Kozan;RockEr;5;1;7;B;1
2023-01-12;B-Tier;Team Gosu Power Rankings #2 - Playoffs;Kozan;RockEr;4;0;5;B;1
2023-01-12;B-Tier;Team Gosu Power Rankings #2 - Playoffs;Kozan;Prototype;3;0;5;B;1
2023-01-12;B-Tier;Team Gosu Power Rankings #2 - Playoffs;Kozan;Flood;3;1;5;B;1
2023-01-12;B-Tier;Team Gosu Power Rankings #2 - Playoffs;Kozan;Kei;2;0;3;B;1
2022-12-05;B-Tier;Team Gosu Power Rankings #1 - Playoffs;Kozan;Maplez;2;5;7;B;0
2022-12-01;B-Tier;Team Gosu Power Rankings #1 - Playoffs;Kozan;Maplez;4;3;5;B;1
2022-10-24;Week. (B);ESL Open Cup #146 Americas;Kozan;Nice;0;2;3;B;0
2022-10-24;Week. (B);ESL Open Cup #146 Americas;Kozan;Terxel;2;0;3;B;1
2022-10-21;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;RockEr;2;0;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Reaper;0;2;3;B;0
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Haffey;0;2;3;B;0
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Meowerdoom;2;0;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Playoffs;Kozan;RockEr;3;0;5;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Flood;2;1;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Maplez;2;1;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Prototype;2;1;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Playoffs;Kozan;ScrubbleS;3;0;5;B;1
2022-10-17;Week. (B);ESL Open Cup #145 Americas;Kozan;Nice;0;2;3;B;0
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Group A;Kozan;Rhizer;2;1;3;B;1
2022-10-17;B-Tier;Team Gosu Power Rankings #1 - Playoffs;Kozan;Pastry;2;0;3;B;1
2022-10-10;Week. (B);ESL Open Cup #144 Americas;Kozan;PiG;0;2;3;B;0
2022-09-26;Week. (B);ESL Open Cup #142 Americas;Kozan;Timorus;0;2;3;B;0
2022-09-19;Week. (B);ESL Open Cup #141 Americas;Kozan;Nice;0;2;3;B;0
2022-09-19;Week. (B);ESL Open Cup #141 Americas;Kozan;Bumbz;2;1;3;B;1
2022-09-15;Qual. (A);DHM Atlanta: NA Qualifiers - Bracket;Kozan;Maplez;1;3;5;A;0
2022-09-15;Qual. (A);DHM Atlanta: NA Qualifiers - Bracket;Kozan;ReSpOnSe;2;1;3;A;1
2022-09-13;Qual. (A);DHM Atlanta: NA Qualifiers - Bracket;Kozan;Ruiyichi;2;3;5;A;0
2022-09-13;Qual. (A);DHM Atlanta: NA Qualifiers - Bracket;Kozan;Zero;2;1;3;A;1
2022-09-12;Week. (B);ESL Open Cup #140 Americas;Kozan;DisK;0;2;3;B;0
2022-09-05;Week. (B);ESL Open Cup #139 Americas;Kozan;HonMonO;0;2;3;B;0
2022-08-22;Week. (B);ESL Open Cup #137 Americas;Kozan;PiG;0;2;3;B;0
2022-08-21;Week. (B);The Dan n' Dave Cash Grab #4;Kozan;Gerald;0;2;3;B;0
2022-08-15;Week. (B);ESL Open Cup #136 Americas;Kozan;Silky;0;2;3;B;0
2022-08-08;Week. (B);ESL Open Cup #135 Americas;Kozan;goblin;1;2;3;B;0
2022-08-01;Week. (B);ESL Open Cup #134 Americas;Kozan;Solar;0;2;3;B;0
2022-07-25;Week. (B);ESL Open Cup #133 Americas;Kozan;Nina;0;2;3;B;0
2022-07-18;Week. (B);ESL Open Cup #132 Americas;Kozan;Bioice;0;2;3;B;0
2022-07-09;B-Tier;LTK Power Rankings #4 - Playoffs;Kozan;Haffey;0;2;3;B;0
2022-07-09;B-Tier;LTK Power Rankings #4 - Playoffs;Kozan;Holden;2;0;3;B;1
2022-07-09;B-Tier;LTK Power Rankings #4 - Playoffs;Kozan;Reaper;1;2;3;B;0
2022-07-09;B-Tier;LTK Power Rankings #4 - Playoffs;Kozan;RockEr;2;1;3;B;1
2022-07-09;B-Tier;LTK Power Rankings #4 - Group H;Kozan;bakla;2;0;3;B;1
2022-07-09;B-Tier;LTK Power Rankings #4 - Group H;Kozan;binski;1;2;3;B;0
2022-07-09;B-Tier;LTK Power Rankings #4 - Group H;Kozan;Walujie;2;0;3;B;1
2022-07-09;Qual. (S);TSL 9: NA Qualifier;Kozan;Namshar;0;2;3;S;0
