date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-12-15;Week. (B);WardiTV Mondays #65;Lambo;Rogue;0;2;3;B;0
2025-12-08;Week. (B);WardiTV Mondays #64;Lambo;Creator;0;2;3;B;0
2025-12-01;Week. (B);WardiTV Mondays #63;Lambo;MaxPax;1;2;3;B;0
2025-11-24;Week. (B);WardiTV Mondays #62;Lambo;Cure;1;2;3;B;0
2025-11-24;Week. (B);WardiTV Mondays #62;Lambo;Solar;2;1;3;B;1
2025-11-17;Week. (B);WardiTV Mondays #61;Lambo;Creator;1;2;3;B;0
2025-11-17;Week. (B);WardiTV Mondays #61;Lambo;Percival;2;1;3;B;1
2025-11-08;A-Tier;Stellar Fest: Constellation Cup;Lambo;ByuN;1;3;5;A;0
2025-11-08;A-Tier;Stellar Fest: Constellation Cup;Lambo;Clem;0;3;5;A;0
2025-11-07;A-Tier;Stellar Fest: Constellation Cup;Lambo;Zoun;2;0;3;A;1
2025-11-07;A-Tier;Stellar Fest: Constellation Cup;Lambo;Harstem;2;1;3;A;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;Maze;2;0;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;Maplez;2;0;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;AwesomeSauce;2;0;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;Harstem;2;1;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;monkeypop;2;0;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;Future;2;1;3;B;1
2025-11-05;B-Tier;Merivale 8 Open;Lambo;Jamary;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;FoxeR;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;VaST;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;Mixu;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;CptWilly;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;Gerald;2;0;3;B;1
2025-11-04;B-Tier;Merivale 8 Open;Lambo;Scarlett;2;0;3;B;1
2025-10-23;Week. (B);OSC KotH Weekly #228;Lambo;Solar;0;1;1;B;0
2025-10-13;Week. (B);WardiTV Mondays #55;Lambo;MaxPax;0;2;3;B;0
2025-10-13;Week. (B);WardiTV Mondays #55;Lambo;Ryung;2;0;3;B;1
2025-10-13;Week. (B);WardiTV Mondays #55;Lambo;uThermal;2;0;3;B;1
2025-10-11;A-Tier;WardiTV TLMC #15 - Playoffs;Lambo;ByuN;0;3;5;A;0
2025-10-10;A-Tier;WardiTV TLMC #15 - Group D;Lambo;Classic;1;2;3;A;0
2025-10-10;A-Tier;WardiTV TLMC #15 - Group D;Lambo;MaNa;2;0;3;A;1
2025-10-10;A-Tier;WardiTV TLMC #15 - Group D;Lambo;Bunny;2;1;3;A;1
2025-10-10;A-Tier;WardiTV TLMC #15 - Group D;Lambo;Reynor;1;2;3;A;0
2025-10-01;B-Tier;LiuLi Cup Weekly #8;Lambo;trigger;1;2;3;B;0
2025-09-23;B-Tier;WardiTV PTR 2025;Lambo;Ryung;0;2;3;B;0
2025-09-23;B-Tier;WardiTV PTR 2025;Lambo;FarmY;2;0;3;B;1
2025-09-22;Week. (B);WardiTV Mondays #52;Lambo;Shameless;1;2;3;B;0
2025-09-14;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;Cure;0;3;5;A;0
2025-09-14;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;Solar;3;1;5;A;1
2025-09-14;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;Rogue;3;2;5;A;1
2025-09-07;A-Tier;Maestros of the Game - Group D;Lambo;herO;0;3;5;A;0
2025-09-07;A-Tier;Maestros of the Game - Group D;Lambo;Maru;0;2;3;A;0
2025-09-07;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;Classic;2;3;5;A;0
2025-09-07;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;GuMiho;2;1;3;A;1
2025-09-07;A-Tier;Chzzk MurlocKing SC1 vs SC2 Cup #2;Lambo;Rogue;2;1;3;A;1
2025-08-31;A-Tier;Maestros of the Game - Preliminary Stage;Lambo;Astrea;3;1;5;A;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Reynor;2;3;5;B;0
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Jumy;2;0;3;B;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Mixu;2;0;3;B;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;GgMaChine;2;0;3;B;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Mixu;0;2;3;B;0
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Spirit;2;0;3;B;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;Rodzyn;2;0;3;B;1
2025-08-25;B-Tier;Rotti's All Random Finals;Lambo;HackErIsTop;2;0;3;B;1
2025-08-20;B-Tier;LiuLi Cup #44;Lambo;SHIN;3;1;5;B;1
2025-08-20;B-Tier;LiuLi Cup #44;Lambo;herO;2;1;3;B;1
2025-08-19;B-Tier;LiuLi Cup #44;Lambo;Coffee;2;0;3;B;1
2025-08-15;Week. (B);LiuLi Cup Weekly #2;Lambo;Creator;1;2;3;B;0
2025-08-11;B-Tier;Rotti's All Random #3;Lambo;Iba;2;0;3;B;1
2025-08-11;B-Tier;Rotti's All Random #3;Lambo;Iba;2;1;3;B;1
2025-08-11;B-Tier;Rotti's All Random #3;Lambo;Nicoract;2;0;3;B;1
2025-08-11;B-Tier;Rotti's All Random #3;Lambo;Rodzyn;2;0;3;B;1
2025-08-08;Week. (B);LiuLi Cup Weekly #1;Lambo;Cure;1;2;3;B;0
2025-08-08;Week. (B);LiuLi Cup Weekly #1;Lambo;Nice;2;0;3;B;1
2025-07-27;A-Tier;FEL Cracow 2025;Lambo;Clem;0;3;5;A;0
2025-07-27;A-Tier;FEL Cracow 2025;Lambo;SKillous;3;2;5;A;1
2025-07-27;A-Tier;FEL Cracow 2025;Lambo;Krystianer;3;2;5;A;1
2025-07-27;A-Tier;FEL Cracow 2025;Lambo;Reynor;1;3;5;A;0
2025-07-27;A-Tier;FEL Cracow 2025;Lambo;Gerald;2;1;3;A;1
2025-07-22;S-Tier;Esports World Cup 2025 - Play-in Stage;Lambo;HeRoMaRinE;1;2;3;S;0
2025-07-22;S-Tier;Esports World Cup 2025 - Play-in Stage;Lambo;ByuN;1;2;3;S;0
2025-07-22;S-Tier;Esports World Cup 2025 - Play-in Stage;Lambo;HeRoMaRinE;2;0;3;S;1
2025-07-14;Week. (B);WardiTV Mondays #44;Lambo;MaxPax;0;2;3;B;0
2025-07-14;Week. (B);WardiTV Mondays #44;Lambo;Harstem;2;1;3;B;1
2025-06-29;A-Tier;HSC XXVII - Playoffs;Lambo;ShoWTimE;2;3;5;A;0
2025-06-27;A-Tier;HSC XXVII - Group A;Lambo;DnS;2;0;3;A;1
2025-06-27;A-Tier;HSC XXVII - Group A;Lambo;Ryung;0;2;3;A;0
2025-06-27;A-Tier;HSC XXVII - Group A;Lambo;MaNa;2;1;3;A;1
2025-06-27;A-Tier;HSC XXVII - Group A;Lambo;Fjant;2;0;3;A;1
2025-06-27;A-Tier;HSC XXVII - Group A;Lambo;OpTiMiStC;2;0;3;A;1
2025-06-21;Qual. (S);EWC 2025 Global Quali;Lambo;goblin;4;0;5;S;1
2025-06-21;Qual. (S);EWC 2025 Global Quali;Lambo;Astrea;3;0;5;S;1
2025-06-09;Week. (B);WardiTV Mondays #39;Lambo;herO;0;2;3;B;0
2025-06-09;Week. (B);WardiTV Mondays #39;Lambo;Creator;2;1;3;B;1
2025-06-07;A-Tier;BGE Stara Zagora 2025;Lambo;Serral;0;2;3;A;0
2025-06-06;A-Tier;BGE Stara Zagora 2025;Lambo;SKillous;2;0;3;A;1
2025-06-06;A-Tier;BGE Stara Zagora 2025;Lambo;Harstem;2;1;3;A;1
2025-06-05;A-Tier;BGE Stara Zagora 2025;Lambo;YoungYakov;2;0;3;A;1
