date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-12-06;C-Tier;Legion Cup Summer Season Finals Qualifiers - NA Closed Qualifier;LastSurprise;DestroyerTT;1;3;5;C;0
2021-11-14;C-Tier;Berserker Master League: Season 4 - Group C;LastSurprise;PrinzOnFire;0;1;1;C;0
2021-11-02;C-Tier;Berserker Master League: Season 4 - Group C;LastSurprise;Faith;2;1;3;C;1
2021-10-27;C-Tier;Berserker Master League: Season 4 - Group C;LastSurprise;Unknown;1;2;3;C;0
2021-10-25;C-Tier;Legion Cup 2021: Summer NA - Playoffs;LastSurprise;Slayer;1;3;5;C;0
2021-10-25;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;DestroyerTT;1;0;1;C;1
2021-10-25;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;ReaLiTy;2;1;3;C;1
2021-10-25;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;DestroyerTT;1;2;3;C;0
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;NeosShagGy;2;0;3;C;1
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;StarDuck;2;0;3;C;1
2021-10-10;C-Tier;Legion Cup 2021: Summer NA - Group B;LastSurprise;Lazorcat;2;0;3;C;1
2021-10-01;C-Tier;Legion Cup 2021: Summer NA Qualifiers - Bracket;LastSurprise;Saberlight;3;0;5;C;1
2021-09-25;Biw. (C);Legion Cup Master #15;LastSurprise;Daniello;3;1;5;C;1
2021-09-25;Biw. (C);Legion Cup Master #15;LastSurprise;Azura;2;0;3;C;1
2021-08-28;Biw. (C);Legion Cup Master #13;LastSurprise;Fjant;1;2;3;C;0
2021-08-05;C-Tier;Berserker Master League: Season 3 - Playoffs;LastSurprise;Magnath;0;2;3;C;0
2021-07-26;C-Tier;Berserker Master League: Season 3 - Group F;LastSurprise;Giant;0;2;3;C;0
2021-07-26;C-Tier;Berserker Master League: Season 3 - Group F;LastSurprise;XPA;2;0;3;C;1
2021-07-26;C-Tier;Berserker Master League: Season 3 - Group F;LastSurprise;LaSh;2;0;3;C;1
2021-07-04;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;OiLTowN;0;1;1;B;0
2021-07-04;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;Fletch;0;1;1;B;0
2021-06-28;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;Cognite;2;0;3;B;1
2021-06-28;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;oCRaM;1;2;3;B;0
2021-06-28;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;Fletch;0;2;3;B;0
2021-06-28;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;OiLTowN;2;0;3;B;1
2021-06-28;B-Tier;2021 NA Contender Season 3 - Group D;LastSurprise;XenoDactyl;2;0;3;B;1
2021-06-20;C-Tier;Legion Cup 2021: Spring NA - Group C;LastSurprise;DestroyerTT;0;2;3;C;0
2021-06-20;C-Tier;Legion Cup 2021: Spring NA - Group C;LastSurprise;OldManSlum;0;2;3;C;0
2021-06-02;C-Tier;Legion Cup 2021: Spring NA - Group B;LastSurprise;Angelnex;2;0;3;C;1
2021-06-02;C-Tier;Legion Cup 2021: Spring NA - Group B;LastSurprise;PalomoSaurio;2;1;3;C;1
2021-06-02;C-Tier;Legion Cup 2021: Spring NA - Group B;LastSurprise;OiLTowN;2;1;3;C;1
2021-06-01;C-Tier;Legion Cup 2021: Spring NA;LastSurprise;SippyCup;0;2;3;C;0
2021-06-01;C-Tier;Legion Cup 2021: Spring NA;LastSurprise;Lazorcat;2;1;3;C;1
2021-05-29;C-Tier;Legion Cup 2021: Spring NA Qualifiers - Bracket;LastSurprise;SabeRLighT;3;0;5;C;1
2021-05-23;C-Tier;Legion Cup 2021: Spring NA Qualifiers - Bracket;LastSurprise;Cognite;0;3;5;C;0
2020-10-19;C-Tier;DSL Pro: Season 1 - Group C;LastSurprise;Fjant;0;1;1;C;0
2020-10-19;C-Tier;DSL Pro: Season 1 - Group C;LastSurprise;Krystianer;0;1;1;C;0
2020-10-01;C-Tier;2020 NA Contender Season 4 - Playoffs;LastSurprise;Seigifried;1;3;5;C;0
2020-09-24;C-Tier;2020 NA Contender Season 4 - Playoffs;LastSurprise;Worldisdoom;3;0;5;C;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;Serch;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;SZUGARninja;0;2;3;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;DeepThought;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;Neuling;1;2;3;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;Güffel;2;0;3;B;1
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;Bumbz;0;2;3;B;0
2020-09-19;B-Tier;PassionCraft Open S13 - Group C;LastSurprise;epicvoid;0;2;3;B;0
2020-09-07;C-Tier;Destiny Starleague: Elite Season 1 - Group B;LastSurprise;Mechanics;0;1;1;C;0
2020-09-07;C-Tier;Destiny Starleague: Elite Season 1 - Group B;LastSurprise;ProbeScout;0;1;1;C;0
2020-09-07;C-Tier;Destiny Starleague: Elite Season 1 - Group B;LastSurprise;ReMinDeR;0;1;1;C;0
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;Rodzyn;0;2;3;B;0
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;starkiller;2;1;3;B;1
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;ArT;0;2;3;B;0
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;Pacomike;0;2;3;B;0
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;Vindicta;0;2;3;B;0
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;Geeth;2;0;3;B;1
2020-08-29;B-Tier;Alpha X Practice Cup August 2020;LastSurprise;Arrogfire;0;2;3;B;0
2020-08-02;B-Tier;2020 NA Apprentice Season 4 - Group C;LastSurprise;Creature;0;2;3;B;0
2020-08-02;B-Tier;2020 NA Apprentice Season 4 - Group C;LastSurprise;ScrubbleS;1;2;3;B;0
2020-08-02;B-Tier;2020 NA Apprentice Season 4 - Group C;LastSurprise;RaNgeD;2;1;3;B;1
2020-08-02;B-Tier;2020 NA Apprentice Season 4 - Group C;LastSurprise;CalebAracous;0;2;3;B;0
2020-08-02;C-Tier;2020 NA Contender Season 4 - Group A;LastSurprise;meep;2;0;3;C;1
2020-08-02;C-Tier;2020 NA Contender Season 4 - Group A;LastSurprise;Yoyo;2;0;3;C;1
2020-08-02;C-Tier;2020 NA Contender Season 4 - Group A;LastSurprise;Benjadeath;2;1;3;C;1
2020-08-02;C-Tier;2020 NA Contender Season 4 - Group A;LastSurprise;Siegfried;2;0;3;C;1
2020-07-25;Qual. (B);2021 NA Apprentice Season 4: Qualifier - Bracket;LastSurprise;Wonder;3;2;5;B;1
2020-07-05;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;eXiled;1;3;5;C;0
2020-07-03;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;Damrud;3;1;5;C;1
2020-06-09;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;Hjax;0;3;5;C;0
2020-06-07;C-Tier;2020 NA Contender Season 3 - Playoffs;LastSurprise;Wonder;0;3;5;C;0
2020-06-07;C-Tier;2020 NA Contender Season 3 - Playoffs;LastSurprise;WyScion;3;0;5;C;1
2020-06-07;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;picur;2;0;3;C;1
2020-06-07;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;FEqualsMA;0;2;3;C;0
2020-06-07;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;Nate;2;0;3;C;1
2020-06-04;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;Arrogfire;0;3;5;C;0
2020-06-04;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;Melody;0;3;5;C;0
2020-06-04;Mon. (C);Alpha X Apprentice Season 4 - Group A;LastSurprise;WoodedMicrob;0;3;5;C;0
2020-05-31;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;drumhead;2;0;3;C;1
2020-05-31;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;GnRMatheus;2;0;3;C;1
2020-05-31;C-Tier;2020 NA Contender Season 3 - Group C;LastSurprise;TheTiny;2;0;3;C;1
2020-04-24;Biw. (C);2020 NA Apprentice Cup #8;LastSurprise;Creature;0;2;3;C;0
2020-04-24;Biw. (C);2020 NA Apprentice Cup #8;LastSurprise;Kozan;2;1;3;C;1
2020-04-24;Biw. (C);2020 NA Apprentice Cup #8;LastSurprise;Silky;1;0;1;C;1
2020-04-23;Week. (C);Shyrshadi Open #14;LastSurprise;TOP;0;1;1;C;0
2020-04-23;Week. (C);Shyrshadi Open #14;LastSurprise;NasisNazty;2;0;3;C;1
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;Zythus;2;0;3;B;1
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;WannaBeByuN;2;0;3;B;1
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;Cemzx;2;0;3;B;1
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;Siso;2;0;3;B;1
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;Trifax;1;2;3;B;0
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;DeepThought;0;2;3;B;0
2020-04-04;B-Tier;PassionCraft Open S12 - Group H;LastSurprise;MisterL;0;2;3;B;0
2020-03-31;Biw. (C);The Pizza Pie: Season 3 - Cup #5;LastSurprise;Namshar;0;2;3;C;0
2020-03-31;Biw. (C);The Pizza Pie: Season 3 - Cup #5;LastSurprise;starkiller;2;1;3;C;1
2020-03-27;Qual. (B);PR0METH1IUM March Madness: Qualifiers - Bracket;LastSurprise;starkiller;0;2;3;B;0
2020-03-18;C-Tier;2020 NA Contender Season 2 - Playoffs;LastSurprise;Lightning;1;3;5;C;0
2020-03-14;B-Tier;PassionCraft Open S12 - Playoffs;LastSurprise;GreatTeacher;1;3;5;B;0
2020-03-14;Biw. (C);2020 NA Apprentice Cup #5;LastSurprise;JonSnow;0;2;3;C;0
2020-03-11;C-Tier;2020 NA Contender Season 2 - Group A;LastSurprise;Redeye;2;0;3;C;1
2020-03-11;C-Tier;2020 NA Contender Season 2 - Group A;LastSurprise;drumhead;2;0;3;C;1
2020-03-11;C-Tier;2020 NA Contender Season 2 - Group A;LastSurprise;Defiance;2;1;3;C;1
2020-03-02;B-Tier;2020 NA Apprentice Season 2 - Group A;LastSurprise;ETpwnHome;0;2;3;B;0
2020-03-02;B-Tier;2020 NA Apprentice Season 2 - Group A;LastSurprise;JonSnow;0;2;3;B;0
2020-03-02;B-Tier;2020 NA Apprentice Season 2 - Group A;LastSurprise;Koda;0;2;3;B;0
