date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;LeFaucheur;ShaDoWn;0;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;LeFaucheur;NoCti;2;1;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;LeFaucheur;Ricus;0;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;LeFaucheur;NeWHoriZonS;2;0;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;LeFaucheur;Swarm;2;1;3;B;1
2024-08-12;Week. (B);ESL Open Cup #240 Europe;LeFaucheur;Mixu;1;2;3;B;0
2024-08-05;Week. (B);ESL Open Cup #239 Europe;LeFaucheur;Rex;0;2;3;B;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;LeFaucheur;MaxPax;0;2;3;B;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;LeFaucheur;Arrogfire;2;1;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;LeFaucheur;Shino;1;2;3;B;0
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;LeFaucheur;AaRaSs;2;1;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;LeFaucheur;Boboop;2;0;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;LeFaucheur;HanTattoo;1;2;3;B;0
2021-08-02;Week. (B);ESL Open Cup #82 Europe;LeFaucheur;HeRoMaRinE;0;2;3;B;0
2020-05-06;Week. (B);Red Bull Xel'Naga Finest #5;LeFaucheur;souL;0;2;3;B;0
2020-05-06;Week. (B);Red Bull Xel'Naga Finest #5;LeFaucheur;MaNa;2;1;3;B;1
2020-04-29;Week. (B);Red Bull Xel'Naga Finest #4;LeFaucheur;Denver;0;2;3;B;0
2020-04-12;Week. (B);ESL Open Cup #14 Europe;LeFaucheur;DnS;0;2;3;B;0
2020-04-02;Qual. (A);StayAtHome Story Cup #1: Qualifiers - Bracket;LeFaucheur;goblin;0;2;3;A;0
2020-03-30;Week. (B);ESL Open Cup #12 Americas;LeFaucheur;TLO;0;2;3;B;0
2020-03-29;Week. (C);PassionCraft Sunday Showdown #9;LeFaucheur;Krystianer;1;2;3;C;0
2020-03-29;Week. (B);ESL Open Cup #12 Europe;LeFaucheur;ShoWTimE;1;2;3;B;0
2020-03-21;Qual. (B);Cheeseadelphia Online Qualifiers - Bracket;LeFaucheur;Dolan;1;2;3;B;0
2020-03-15;Week. (B);ESL Open Cup #10 Europe;LeFaucheur;Bly;0;2;3;B;0
2020-03-08;Week. (B);ESL Open Cup #9 Europe;LeFaucheur;PtitDrogo;0;2;3;B;0
2020-02-23;Week. (B);ESL Open Cup #7 Europe;LeFaucheur;Lambo;0;2;3;B;0
2020-02-23;Week. (B);ESL Open Cup #7 Europe;LeFaucheur;CenturioN;2;0;3;B;1
2020-02-16;Week. (B);ESL Open Cup #6 Europe;LeFaucheur;Clem;0;2;3;B;0
2020-02-09;Week. (B);ESL Open Cup #5 Europe;LeFaucheur;Denver;0;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;LeFaucheur;2;0;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;NoCti;LeFaucheur;1;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;Ricus;LeFaucheur;2;0;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;NeWHoriZonS;LeFaucheur;0;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;Swarm;LeFaucheur;1;2;3;B;0
2024-08-12;Week. (B);ESL Open Cup #240 Europe;Mixu;LeFaucheur;2;1;3;B;1
2024-08-05;Week. (B);ESL Open Cup #239 Europe;Rex;LeFaucheur;2;0;3;B;1
2024-04-15;Week. (B);ESL Open Cup #223 Europe;MaxPax;LeFaucheur;2;0;3;B;1
2024-04-15;Week. (B);ESL Open Cup #223 Europe;Arrogfire;LeFaucheur;1;2;3;B;0
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;Shino;LeFaucheur;2;1;3;B;1
2022-04-16;B-Tier;Gamers Assembly 2022 - Playoffs;AaRaSs;LeFaucheur;1;2;3;B;0
