date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-06-09;Mon. (B);HyperONE Power Rankings #3;LeoRusher;Illias;3;1;5;B;1
2024-05-04;Mon. (B);HyperONE Power Rankings #3;LeoRusher;KenoSua;3;0;5;B;1
2024-04-06;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;LeoRusher;ButAlways;0;3;5;A;0
2024-04-06;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;LeoRusher;You;2;1;3;A;1
2024-02-28;Mon. (B);HyperONE Power Rankings #3;LeoRusher;GogojOey;1;2;3;B;0
2024-02-24;Mon. (B);HyperONE Power Rankings #3;LeoRusher;You;2;1;3;B;1
2024-02-24;B-Tier;The Logic Games #1;LeoRusher;MindelVK;1;2;3;B;0
2024-02-24;B-Tier;The Logic Games #1;LeoRusher;ForJumy;0;2;3;B;0
2024-02-24;B-Tier;The Logic Games #1;LeoRusher;HonMonO;2;1;3;B;1
2024-02-24;B-Tier;The Logic Games #1;LeoRusher;Aristori;2;0;3;B;1
2024-02-24;C-Tier;Sawcon Deez Templar #2;LeoRusher;HonMonO;0;1;1;C;0
2024-02-18;Mon. (B);HyperONE Power Rankings #3;LeoRusher;StephenCurry;0;1;1;B;0
2024-01-13;B-Tier;Patches' 6k Open #3;LeoRusher;Gref;0;1;1;B;0
2024-01-13;B-Tier;Patches' 6k Open #3;LeoRusher;XingMing;1;0;1;B;1
2024-01-13;B-Tier;Patches' 6k Open #3;LeoRusher;Rostok;1;0;1;B;1
2023-08-19;Biw. (C);Grand Platypus Open #93;LeoRusher;HonMonO;0;1;1;C;0
2023-08-19;Biw. (C);Grand Platypus Open #93;LeoRusher;Demi;1;2;3;C;0
2023-05-14;Biw. (C);Tenacious Turtle Tussle #3;LeoRusher;GogojOey;0;2;3;C;0
2023-05-08;Week. (B);ESL Open Cup #174 Americas;LeoRusher;MaxPax;0;2;3;B;0
2023-05-06;Biw. (C);Grand Platypus Open #88;LeoRusher;NaXin;1;2;3;C;0
2023-05-04;B-Tier;Funky Map 6K Open #1;LeoRusher;Koht;1;2;3;B;0
2023-04-22;Biw. (C);Grand Platypus Open #87;LeoRusher;Oriana;0;2;3;C;0
2023-04-22;Biw. (C);Grand Platypus Open #87;LeoRusher;Demi;2;0;3;C;1
2023-04-22;Biw. (C);Grand Platypus Open #87;LeoRusher;Pleiades;2;1;3;C;1
2023-04-16;Biw. (C);Tenacious Turtle Tussle #1;LeoRusher;MagicPeszu;2;0;3;C;1
2023-04-15;Biw. (C);Tenacious Turtle Tussle #1;LeoRusher;trigger;0;2;3;C;0
2023-04-13;Biw. (C);Sparkling Tuna Cup #28;LeoRusher;Wayne;0;2;3;C;0
2022-09-16;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;LeoRusher;Raza;1;2;3;A;0
2022-09-16;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;LeoRusher;Jaedolph;2;0;3;A;1
2022-08-08;Week. (B);ESL Open Cup #135 Americas;LeoRusher;Epic;0;2;3;B;0
2021-05-14;Week. (C);Singapore StarCraft League 2021 #17;LeoRusher;Saiko;0;3;5;C;0
2021-05-14;Week. (C);Singapore StarCraft League 2021 #17;LeoRusher;cheoklate;2;0;3;C;1
2021-05-14;Week. (C);Singapore StarCraft League 2021 #17;LeoRusher;siowy;2;1;3;C;1
2021-05-14;Week. (C);Singapore StarCraft League 2021 #17;LeoRusher;DarkImpure;2;0;3;C;1
2021-05-07;Week. (C);Singapore StarCraft League 2021 #16;LeoRusher;Hiro;0;3;5;C;0
2021-05-07;Week. (C);Singapore StarCraft League 2021 #16;LeoRusher;Darkvoid;2;0;3;C;1
