date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-09-22;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Lillekanin;YoungYakov;1;3;5;S;0
2021-09-22;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Lillekanin;PappiJoe;2;0;3;S;1
2021-07-23;Qual. (S);DHM Fall: EU Qualifiers - Bracket;Lillekanin;Sweetzy;1;2;3;S;0
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Lillekanin;DIMAGA;0;2;3;S;0
2021-05-12;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Lillekanin;Rodzyn;0;2;3;S;0
2021-04-21;Week. (C);Queen's Gambit #5;Lillekanin;Keiras;1;2;3;C;0
2021-04-21;Week. (C);Queen's Gambit #5;Lillekanin;BeNeFiT;2;0;3;C;1
2021-04-18;Showm. (C);"[[Alpha Pro Series Showmatches/2021/Super Standard#Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""'|Alpha Pro Series: 2021 Show Matches - Standard (Four Players)'""`UNIQ--ref-00000018-QINU`""']]";Lillekanin;BabyMarine;0;3;5;C;0
2021-04-15;Week. (C);Cock of the Walk #54;Lillekanin;PAPI;1;2;3;C;0
2021-04-15;Week. (C);Cock of the Walk #54;Lillekanin;Trifax;2;0;3;C;1
2021-04-15;Week. (C);Cock of the Walk #54;Lillekanin;TriGGeR;2;0;3;C;1
2021-03-28;Week. (B);OSC King of the Hill Weekly #62;Lillekanin;YoungYakov;0;1;1;B;0
2021-02-24;Week. (C);Queen's Gambit #2;Lillekanin;Gerald;3;1;5;C;1
2021-02-24;Week. (C);Queen's Gambit #2;Lillekanin;Garitos;2;0;3;C;1
2021-02-24;Week. (C);Queen's Gambit #2;Lillekanin;Rom;2;1;3;C;1
2021-02-24;Week. (C);Queen's Gambit #2;Lillekanin;GreatTeacher;2;0;3;C;1
2021-02-23;Mon. (C);SCVRush All-In #3;Lillekanin;Garitos;0;2;3;C;0
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;Lillekanin;kiyj;1;2;3;C;0
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;Lillekanin;Trifax;1;0;1;C;1
2021-02-21;Biw. (C);OSC Elite SC2 Cup #13;Lillekanin;Bly;0;2;3;C;0
2021-02-17;Week. (C);Queen's Gambit #1;Lillekanin;Brat_OK;1;2;3;C;0
2021-02-17;Week. (C);Queen's Gambit #1;Lillekanin;MilkiCow;2;0;3;C;1
2021-02-05;Week. (B);OSC King of the Hill Weekly #56;Lillekanin;Bly;0;1;1;B;0
2021-02-05;Week. (B);OSC King of the Hill Weekly #56;Lillekanin;Ryan;1;0;1;B;1
2021-02-04;Week. (B);OSC King of the Hill Weekly #56;Lillekanin;Nina;1;0;1;B;1
2021-02-01;Week. (B);ESL Open Cup #56 Americas;Lillekanin;Nitix;0;2;3;B;0
2021-01-31;Biw. (C);The Pizza Pie: Season 5 - Cup #2;Lillekanin;MaxPax;0;2;3;C;0
2021-01-31;Biw. (C);The Pizza Pie: Season 5 - Cup #2;Lillekanin;Ruiyichi;2;0;3;C;1
2021-01-24;Showm. (B);Alpha Pro Series: 2021 Show Matches - Standard;Lillekanin;Arrogfire;5;2;7;B;1
2021-01-23;Week. (B);OSC King of the Hill Weekly #54;Lillekanin;SKillous;0;1;1;B;0
2021-01-17;Biw. (C);The Pizza Pie: Season 5 - Cup #1;Lillekanin;Cham;0;2;3;C;0
2021-01-17;Biw. (C);The Pizza Pie: Season 5 - Cup #1;Lillekanin;Mixu;2;1;3;C;1
2021-01-02;A-Tier;OSC Championship Season 8 - Group A;Lillekanin;Armani;0;3;5;A;0
2021-01-02;A-Tier;OSC Championship Season 8 - Group A;Lillekanin;kiyj;3;1;5;A;1
2021-01-02;A-Tier;OSC Championship Season 8 - Group A;Lillekanin;ShoWTimE;0;2;3;A;0
2020-12-19;Week. (B);OSC King of the Hill Weekly #53;Lillekanin;Bly;0;1;1;B;0
2020-12-11;Week. (B);OSC King of the Hill Weekly #52;Lillekanin;MaxPax;0;1;1;B;0
