date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-11-11;S-Tier;DH Masters Winter: Finals - Group C;MarineLorD;SpeCial;1;2;3;S;0
2021-11-11;S-Tier;DH Masters Winter: Finals - Group C;MarineLorD;Rogue;0;2;3;S;0
2021-11-06;Qual. (S);TSL 8: AM - Bracket;MarineLorD;TriGGeR;0;2;3;S;0
2021-11-06;Qual. (S);TSL 8: AM - Bracket;MarineLorD;Cyan;0;1;1;S;0
2021-11-06;Qual. (S);TSL 8: AM - Bracket;MarineLorD;Elazer;0;2;3;S;0
2021-11-06;Qual. (S);TSL 8: AM - Bracket;MarineLorD;Armani;2;0;3;S;1
2021-11-03;B-Tier;WardiTV European League 2021 - Group B;MarineLorD;SKillous;2;0;3;B;1
2021-11-03;B-Tier;WardiTV European League 2021 - Group B;MarineLorD;Gerald;1;2;3;B;0
2021-11-03;B-Tier;WardiTV European League 2021 - Group B;MarineLorD;SKillous;2;0;3;B;1
2021-11-02;Qual. (A);KoB2 AM Qualifier;MarineLorD;herO;0;1;1;A;0
2021-11-02;Qual. (A);KoB2 AM Qualifier;MarineLorD;Cure;0;2;3;A;0
2021-11-02;Qual. (A);KoB2 AM Qualifier;MarineLorD;MaxPax;2;1;3;A;1
2021-10-30;Qual. (S);TSL 8: EU - Bracket;MarineLorD;SKillous;0;2;3;S;0
2021-10-30;Qual. (S);TSL 8: EU - Bracket;MarineLorD;Maru;0;2;3;S;0
2021-10-30;Qual. (S);TSL 8: EU - Bracket;MarineLorD;Lambo;2;0;3;S;1
2021-10-30;Qual. (S);TSL 8: EU - Bracket;MarineLorD;Brat_OK;2;0;3;S;1
2021-10-27;Qual. (A);KoB2 EU Qualifiers - Bracket;MarineLorD;Lambo;0;2;3;A;0
2021-10-21;A-Tier;SAHSC #4 - Group A;MarineLorD;Reynor;0;2;3;A;0
2021-10-21;A-Tier;SAHSC #4 - Group A;MarineLorD;ByuN;1;2;3;A;0
2021-10-20;Qual. (B);WardiTV European League 2021: Qualifier #2;MarineLorD;Vanya;2;1;3;B;1
2021-10-20;Qual. (B);WardiTV European League 2021: Qualifier #2;MarineLorD;goblin;2;1;3;B;1
2021-10-20;Qual. (B);WardiTV European League 2021: Qualifier #2;MarineLorD;Bee;2;1;3;B;1
2021-10-20;Qual. (B);WardiTV European League 2021: Qualifier #2;MarineLorD;bArtH;2;0;3;B;1
2021-10-18;B-Tier;Steadfast SDC Rotti & Wardi Ripoff Cup #1;MarineLorD;Zest;1;3;5;B;0
2021-10-18;B-Tier;Steadfast SDC Rotti & Wardi Ripoff Cup #1;MarineLorD;MaxPax;3;1;5;B;1
2021-10-18;B-Tier;The Rotti & Wardi Cup 3;MarineLorD;Reynor;0;2;3;B;0
2021-10-18;B-Tier;The Rotti & Wardi Cup 3;MarineLorD;Lambo;2;0;3;B;1
2021-10-18;B-Tier;Steadfast SDC Rotti & Wardi Ripoff Cup #1;MarineLorD;Gerald;2;1;3;B;1
2021-10-18;B-Tier;The Rotti & Wardi Cup 3;MarineLorD;Bee;2;0;3;B;1
2021-10-18;B-Tier;Steadfast SDC Rotti & Wardi Ripoff Cup #1;MarineLorD;HiGhDrA;2;0;3;B;1
2021-10-16;S-Tier;DHM Winter: EU - Playoffs;MarineLorD;Clem;1;3;5;S;0
2021-10-16;S-Tier;DHM Winter: EU - Playoffs;MarineLorD;MaxPax;3;2;5;S;1
2021-10-15;S-Tier;DHM Winter: EU - Playoffs;MarineLorD;ShoWTimE;1;3;5;S;0
2021-10-12;S-Tier;DHM Winter: EU - Playoffs;MarineLorD;Reynor;3;1;5;S;1
2021-10-10;S-Tier;DHM Winter: EU - Group C;MarineLorD;Clem;0;2;3;S;0
2021-10-09;S-Tier;DHM Winter: EU - Group C;MarineLorD;Spirit;2;0;3;S;1
2021-10-07;S-Tier;DHM Winter: EU - Group C;MarineLorD;Hellraiser;2;0;3;S;1
2021-10-06;S-Tier;DHM Winter: EU - Group C;MarineLorD;GunGFuBanDa;2;1;3;S;1
2021-10-05;S-Tier;DHM Winter: EU - Group C;MarineLorD;SortOf;2;0;3;S;1
2021-10-04;Week. (B);ESL Open Cup #91 Europe;MarineLorD;Vanya;0;2;3;B;0
2021-10-04;Week. (B);ESL Open Cup #91 Europe;MarineLorD;ForJumy;2;0;3;B;1
2021-10-01;S-Tier;DHM Winter: EU - Group C;MarineLorD;Stephano;2;1;3;S;1
2021-09-29;S-Tier;DHM Winter: EU - Group C;MarineLorD;ForJumy;2;0;3;S;1
2021-09-20;Week. (B);ESL Open Cup #89 Americas;MarineLorD;Zoun;0;2;3;B;0
2021-09-20;Week. (B);ESL Open Cup #89 Europe;MarineLorD;Clem;1;2;3;B;0
2021-09-20;Week. (B);ESL Open Cup #89 Americas;MarineLorD;Gerald;2;0;3;B;1
2021-09-20;Week. (B);ESL Open Cup #89 Europe;MarineLorD;SKillous;2;1;3;B;1
2021-09-20;Week. (B);ESL Open Cup #89 Americas;MarineLorD;Reaper;2;0;3;B;1
2021-09-20;Week. (B);ESL Open Cup #89 Europe;MarineLorD;Ziomek;2;0;3;B;1
2021-09-13;Week. (B);ESL Open Cup #88 Europe;MarineLorD;Kelazhur;0;2;3;B;0
2021-09-13;Week. (B);ESL Open Cup #88 Americas;MarineLorD;Creator;0;2;3;B;0
2021-09-13;Week. (B);ESL Open Cup #88 Europe;MarineLorD;Ziomek;2;0;3;B;1
2021-09-13;Week. (B);ESL Open Cup #88 Americas;MarineLorD;Maplez;2;1;3;B;1
2021-09-10;Showm. (B);Team KAP Showmatch 22;MarineLorD;Harstem;2;4;5;B;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;Scarlett;1;0;1;A;1
2021-09-03;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;SKillous;0;2;3;A;0
2021-09-03;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;ByuL;2;0;3;A;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;MarineLorD;SKillous;1;2;3;A;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;SlavaZA;2;0;3;A;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;Puzzle;1;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;MarineLorD;goblin;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;MarineLorD;MilkiCow;2;1;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;MarineLorD;Elazer;0;2;3;A;0
