date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-08-15;C-Tier;PORT August 2nd league #7;Matvey;vaxxxooro;1;2;3;C;0
2025-08-10;C-Tier;PORT August 2nd league #5;Matvey;DefMars;0;1;1;C;0
2025-07-27;B-Tier;PORT 2025 Pro League #2;Matvey;Strange;0;1;1;B;0
2025-07-27;B-Tier;PORT 2025 Pro League #2;Matvey;Shameless;1;2;3;B;0
2025-07-27;B-Tier;PORT 2025 Pro League #2;Matvey;SubZero;2;1;3;B;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Matvey;WannaBeByuN;0;1;1;B;0
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Matvey;F2ClicK;1;2;3;B;0
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Matvey;ART;0;1;1;B;0
2025-07-26;C-Tier;PORT July 2nd league #6;Matvey;DefMars;0;3;5;C;0
2025-07-26;C-Tier;PORT July 2nd league #6;Matvey;OsiRis;1;0;1;C;1
2025-07-26;Qual. (B);Road to Moscow 3: Qualifiers - Bracket;Matvey;EastToss;0;2;3;B;0
2025-07-26;C-Tier;PORT July 2nd league #6;Matvey;SubZero;1;0;1;C;1
2025-07-26;C-Tier;PORT July 2nd league #6;Matvey;DefMars;0;2;3;C;0
2025-07-25;C-Tier;PORT July 2nd league #5;Matvey;DefMars;0;1;1;C;0
2025-07-25;C-Tier;PORT July 2nd league #5;Matvey;LordGG;1;2;3;C;0
2025-07-25;C-Tier;PORT July 2nd league #5;Matvey;EnigmA;2;0;3;C;1
2025-06-29;B-Tier;PORT 2025 Finals S1;Matvey;Shameless;0;1;1;B;0
2025-06-29;B-Tier;PORT 2025 Finals S1;Matvey;YoungYakov;0;2;3;B;0
2025-06-29;B-Tier;PORT 2025 Finals S1;Matvey;Fallenger;2;0;3;B;1
2025-06-29;B-Tier;PORT 2025 Finals S1;Matvey;UedSoldier;2;0;3;B;1
2025-06-13;C-Tier;PORT June 2025 #4;Matvey;UedSoldier;0;1;1;C;0
2025-06-13;C-Tier;PORT June 2025 #4;Matvey;Strange;0;2;3;C;0
2025-06-13;C-Tier;PORT June 2025 #4;Matvey;imius;2;0;3;C;1
2025-06-08;C-Tier;PORT June 2025 #3;Matvey;ART;0;1;1;C;0
2025-06-08;C-Tier;PORT June 2025 #3;Matvey;Shameless;0;2;3;C;0
2024-08-04;B-Tier;3D! Super Cup #1;Matvey;Replicant;1;2;3;B;0
2024-02-03;Mon. (B);Hatchery Cup #11;Matvey;Wayne;0;2;3;B;0
2024-01-31;Mon. (B);3D!King of the Hill #8;Matvey;MilkiCow;0;1;1;B;0
2023-12-30;Week. (C);VK Play #45;Matvey;Tiger;1;2;3;C;0
2023-11-01;Week. (C);VK Play #28;Matvey;Strange;0;2;3;C;0
2023-10-31;Mon. (B);3D!King of the Hill Offrace;Matvey;Bee;0;1;1;B;0
2023-10-31;Mon. (B);3D!King of the Hill Offrace;Matvey;UedSoldier;1;0;1;B;1
2023-10-31;Mon. (B);3D!King of the Hill Offrace;Matvey;YoungYakov;1;0;1;B;1
2023-10-20;Week. (C);VK Play #25;Matvey;Nicoract;1;2;3;C;0
2023-10-12;B-Tier;Culture Cup - Playoffs;Matvey;Shameless;0;3;5;B;0
2023-10-07;B-Tier;Culture Cup - Playoffs;Matvey;Nikich;1;3;5;B;0
2023-09-30;B-Tier;SSL Cup #31;Matvey;SpeCial;0;2;3;B;0
2023-09-30;B-Tier;SSL Cup #31;Matvey;Mixu;2;0;3;B;1
2023-09-27;Mon. (B);3D!King of the Hill #6;Matvey;Strange;0;1;1;B;0
2023-08-20;Mon. (B);3D!King of the Hill #5;Matvey;Wayne;0;1;1;B;0
2023-05-28;Mon. (B);3D!King of the Hill #4;Matvey;MilkiCow;0;1;1;B;0
2023-04-30;A-Tier;Championship of Russia 2023 - Playoffs;Matvey;Couguar;2;3;5;A;0
2023-04-13;Week. (C);PassionCraft Thursday Showdown #34;Matvey;Strange;0;2;3;C;0
2023-04-07;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Matvey;Rail;0;2;3;S;0
2023-03-28;Week. (C);AstraCup #8;Matvey;Nikich;1;2;3;C;0
2023-03-11;B-Tier;Moscow Championship 2023;Matvey;YoungStar;2;1;3;B;1
2023-03-11;B-Tier;Moscow Championship 2023;Matvey;Exostriker;0;2;3;B;0
2023-03-11;B-Tier;Moscow Championship 2023;Matvey;Рагнарос;2;0;3;B;1
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;Forty;1;3;5;C;0
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;HackErIsTop;2;0;3;C;1
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;Shameless;1;0;1;C;1
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;Rime;1;0;1;C;1
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;Forty;1;2;3;C;0
2023-01-03;C-Tier;HotTeaTournament #7 - Participants;Matvey;Nishihi;1;0;1;C;1
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Matvey;Botvinnik;0;2;3;S;0
2022-05-02;A-Tier;Championship of Russia 2022 - Playoffs;Matvey;YoungStar;2;3;5;A;0
2022-05-02;A-Tier;Championship of Russia 2022 - Playoffs;Matvey;Ashbringer;3;1;5;A;1
2022-03-26;Week. (C);Asgard Cup #66;Matvey;Nikich;1;2;3;C;0
2021-11-29;B-Tier;Moscow Cybersport Series Premier League: Season 2 - Playoffs;Matvey;Nicoract;2;3;5;B;0
2021-11-27;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;IRoH;1;0;1;B;1
2021-11-27;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Milka;0;2;3;B;0
2021-11-26;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Beowulf;0;2;3;B;0
2021-11-25;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Nicoract;0;2;3;B;0
2021-11-23;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Exostriker;1;2;3;B;0
2021-11-23;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Silwercrow;2;0;3;B;1
2021-11-21;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;ART;2;0;3;B;1
2021-11-21;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;DefMars;0;2;3;B;0
2021-11-18;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Ashbringer;0;2;3;B;0
2021-11-18;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Shameless;0;2;3;B;0
2021-11-16;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;GeNieS;1;2;3;B;0
2021-11-16;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Bee;1;2;3;B;0
2021-11-14;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Rime;2;0;3;B;1
2021-11-14;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;MilkiCow;1;0;1;B;1
2021-11-13;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Fallenger;2;0;3;B;1
2021-11-13;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Fallenger;2;0;3;B;1
2021-11-11;B-Tier;Moscow Cybersport Series Premier League: Season 2 -;Matvey;Milka;1;2;3;B;0
