date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-05-19;B-Tier;HyperONE Power Rankings #5 - Group A;Meven;Kenosua;1;0;1;B;1
2025-05-18;B-Tier;HyperONE Power Rankings #5 - Group A;Meven;threepoint;0;2;3;B;0
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;Meven;You;0;2;3;B;0
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;Meven;TheSwiss;2;1;3;B;1
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;Meven;Illias;0;2;3;B;0
2025-03-08;C-Tier;HyperONE Power Rankings #4 - Playoffs;Meven;KenoSua;0;3;5;C;0
2025-02-07;C-Tier;HyperONE Power Rankings #4 - Playoffs;Meven;BabySwiss;2;3;5;C;0
2025-02-08;C-Tier;HyperONE Power Rankings #4 - Playoffs;Meven;MrLEz;1;0;1;C;1
2025-01-19;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;Jacky;0;2;3;C;0
2025-01-19;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;Nomad;1;2;3;C;0
2025-01-08;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;MrLEz;1;0;1;C;1
2024-12-30;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;Michnek;0;2;3;C;0
2024-11-28;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;HyperONE;1;2;3;C;0
2024-11-26;C-Tier;HyperONE Power Rankings #4 - Group A;Meven;HonMonO;0;2;3;C;0
2024-10-12;Biw. (B);StarCraft Evolution League #4;Meven;TonsOfDamage;0;2;3;B;0
2024-09-14;Biw. (B);StarCraft Evolution League #2;Meven;PSiArc;0;2;3;B;0
2024-08-31;Biw. (B);StarCraft Evolution League #1;Meven;fullheart;0;2;3;B;0
2024-08-10;Mon. (B);HSL SC Evo Open;Meven;PSiArc;0;2;3;B;0
2024-06-11;Mon. (C);Bingus World #18;Meven;CharactR;2;3;5;C;0
2024-02-25;Mon. (B);HyperONE Power Rankings #3;Meven;You;0;3;5;B;0
2024-02-19;Mon. (B);HyperONE Power Rankings #3;Meven;Forty;0;2;3;B;0
2024-01-13;Mon. (C);Platinum Hyper Cup #2 - Closed MMR;Meven;Simmen;0;2;3;C;0
2023-12-31;Mon. (C);Bingus World #11;Meven;TheSwissBabySwiss;4;2;5;C;1
2023-12-23;Mon. (C);Bingus World #10;Meven;goog;1;4;5;C;0
2023-12-07;Mon. (B);HyperONE Power Rankings #2;Meven;You;0;2;3;B;0
2023-11-20;Mon. (B);HyperONE Power Rankings #2;Meven;TheSwiss;2;1;3;B;1
2023-11-20;Mon. (B);HyperONE Power Rankings #2;Meven;HyperONE;2;1;3;B;1
2023-11-19;B-Tier;Oh God, Why?;Meven;HonMonO;0;2;3;B;0
2023-11-16;Mon. (B);HyperONE Power Rankings #2;Meven;ImTwelve;0;2;3;B;0
2023-11-15;Mon. (B);HyperONE Power Rankings #2;Meven;LilyBlack;1;0;1;B;1
2023-09-10;Mon. (C);HyperONE Power Rankings #1;Meven;HyperONE;0;2;3;C;0
2023-09-10;Mon. (C);HyperONE Power Rankings #1;Meven;LilyBlack;1;0;1;C;1
2023-09-10;Mon. (C);HyperONE Power Rankings #1;Meven;Lamduy;0;2;3;C;0
2023-01-29;Mon. (C);Bingus World #5;Meven;TacticalFluke;0;2;3;C;0
2023-01-29;Mon. (C);Bingus World #5;Meven;MaraudSquad;1;0;1;C;1
2023-01-29;Mon. (C);Bingus World #5;Meven;TacticalFluke;0;2;3;C;0
2025-05-19;B-Tier;HyperONE Power Rankings #5 - Group A;Kenosua;Meven;0;1;1;B;0
2025-05-18;B-Tier;HyperONE Power Rankings #5 - Group A;threepoint;Meven;2;0;3;B;1
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;You;Meven;2;0;3;B;1
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;TheSwiss;Meven;1;2;3;B;0
2025-05-04;B-Tier;HyperONE Power Rankings #5 - Group A;Illias;Meven;2;0;3;B;1
2025-03-08;C-Tier;HyperONE Power Rankings #4 - Playoffs;KenoSua;Meven;3;0;5;C;1
2025-02-07;C-Tier;HyperONE Power Rankings #4 - Playoffs;BabySwiss;Meven;3;2;5;C;1
2025-02-08;C-Tier;HyperONE Power Rankings #4 - Playoffs;MrLEz;Meven;0;1;1;C;0
2025-01-19;C-Tier;HyperONE Power Rankings #4 - Group A;Jacky;Meven;2;0;3;C;1
2025-01-19;C-Tier;HyperONE Power Rankings #4 - Group A;Nomad;Meven;2;1;3;C;1
2025-01-08;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;Meven;0;1;1;C;0
2024-12-30;C-Tier;HyperONE Power Rankings #4 - Group A;Michnek;Meven;2;0;3;C;1
2024-11-28;C-Tier;HyperONE Power Rankings #4 - Group A;HyperONE;Meven;2;1;3;C;1
2024-11-26;C-Tier;HyperONE Power Rankings #4 - Group A;HonMonO;Meven;2;0;3;C;1
2024-10-12;Biw. (B);StarCraft Evolution League #4;TonsOfDamage;Meven;2;0;3;B;1
2024-09-14;Biw. (B);StarCraft Evolution League #2;PSiArc;Meven;2;0;3;B;1
2024-08-31;Biw. (B);StarCraft Evolution League #1;fullheart;Meven;2;0;3;B;1
2024-08-10;Mon. (B);HSL SC Evo Open;PSiArc;Meven;2;0;3;B;1
2024-06-11;Mon. (C);Bingus World #18;CharactR;Meven;3;2;5;C;1
