date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-12;Week. (B);WardiTV Mondays #69;MilkiCow;Lemon;0;2;3;B;0
2026-01-08;A-Tier;OSC Championship Season 13 - Championship Bracket;MilkiCow;MaNa;1;3;5;A;0
2026-01-05;B-Tier;Mini Rotti Monday #2;MilkiCow;LetaleX;0;1;1;B;0
2026-01-05;B-Tier;Mini Rotti Monday #2;MilkiCow;Harstem;1;2;3;B;0
2026-01-03;Qual. (A);DT Open Challenger #2;MilkiCow;MiniZergUA;3;2;5;A;1
2026-01-03;Qual. (A);DT Open Challenger #2;MilkiCow;HonMonO;2;1;3;A;1
2026-01-03;Qual. (A);DT Open Challenger #2;MilkiCow;Azura;2;1;3;A;1
2025-12-28;B-Tier;3D! New Year Challenge;MilkiCow;Nicoract;0;3;5;B;0
2025-12-25;B-Tier;3D! New Year Challenge;MilkiCow;DefMars;1;3;5;B;0
2025-12-25;B-Tier;3D! New Year Challenge;MilkiCow;ART;2;1;3;B;1
2025-12-25;B-Tier;3D! New Year Challenge;MilkiCow;F2ClicK;2;0;3;B;1
2025-12-19;Week. (B);OSC KotH Weekly #234;MilkiCow;trigger;0;1;1;B;0
2025-12-16;Week. (B);Sparkling Tuna Cup #115;MilkiCow;ByuN;1;2;3;B;0
2025-12-16;Week. (B);Sparkling Tuna Cup #115;MilkiCow;ReBellioN;2;0;3;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;MilkiCow;GgMaChine;0;1;1;B;0
2025-12-15;Week. (B);Monday Night Weeklies #34;MilkiCow;ART;1;0;1;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;MilkiCow;Solar;0;2;3;B;0
2025-12-15;Week. (B);Monday Night Weeklies #34;MilkiCow;MaNa;2;0;3;B;1
2025-12-14;B-Tier;Waterfall Cup #2;MilkiCow;Shameless;0;1;1;B;0
2025-12-14;B-Tier;Waterfall Cup #2;MilkiCow;BratOK;1;0;1;B;1
2025-12-14;B-Tier;Waterfall Cup #2;MilkiCow;YoungYakov;1;2;3;B;0
2025-12-14;B-Tier;Waterfall Cup #2;MilkiCow;ART;2;0;3;B;1
2025-12-08;Week. (B);Monday Night Weeklies #33;MilkiCow;YoungYakov;0;1;1;B;0
2025-12-08;Week. (B);Monday Night Weeklies #33;MilkiCow;MaxPax;0;2;3;B;0
2025-12-07;Week. (B);OSC KotH Weekly #233;MilkiCow;Solar;0;1;1;B;0
2025-12-07;Week. (B);Sparkling Tuna Cup #114;MilkiCow;Classic;0;2;3;B;0
2025-12-07;Week. (B);Sparkling Tuna Cup #114;MilkiCow;GgMaChine;2;1;3;B;1
