date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-03-08;B-Tier;Ukrainian Cup - Group C;Minatoeh;Lochka;2;0;3;B;1
2023-03-07;B-Tier;Ukrainian Cup - Group C;Minatoeh;Temperance;0;1;1;B;0
2023-03-07;B-Tier;Ukrainian Cup - Group C;Minatoeh;no_tsche;0;1;1;B;0
2023-03-07;B-Tier;Ukrainian Cup - Group C;Minatoeh;Kas;0;1;1;B;0
2023-03-07;B-Tier;Ukrainian Cup - Group C;Minatoeh;Rostok;0;2;3;B;0
2023-03-06;B-Tier;Ukrainian Cup - Group C;Minatoeh;papastreck;2;0;3;B;1
2023-03-06;B-Tier;Ukrainian Cup - Group C;Minatoeh;Hunblee;2;0;3;B;1
2022-02-05;B-Tier;Winter Cup - Group B;Minatoeh;SunSet;0;2;3;B;0
2022-02-05;B-Tier;Winter Cup - Group B;Minatoeh;KingCobra;0;2;3;B;0
2022-02-05;B-Tier;Winter Cup - Group B;Minatoeh;DIMAGA;0;2;3;B;0
2021-11-18;B-Tier;Moscow Cybersport Season 4: Supreme Series S3;Minatoeh;YoungStar;2;3;5;B;0
2021-11-16;B-Tier;Moscow Cybersport Season 4: Supreme Series S3;Minatoeh;Rail;0;3;5;B;0
2021-11-15;B-Tier;Best CIS Players - Group A;Minatoeh;Creed;1;2;3;B;0
2021-11-15;B-Tier;Best CIS Players - Group A;Minatoeh;Hellraiser;1;2;3;B;0
2021-11-04;B-Tier;Moscow Cybersport Season 4: Supreme Series S3;Minatoeh;BratOK;3;0;5;B;1
2021-10-31;Mon. (B);King of CIS: October 2021;Minatoeh;Moja;0;1;1;B;0
2021-10-28;B-Tier;Moscow Cybersport Season 4: Supreme Series S3 - Play-In - Group B;Minatoeh;Shameless;2;0;3;B;1
2021-10-28;B-Tier;Moscow Cybersport Season 4: Supreme Series S3 - Play-In - Group B;Minatoeh;Strannik;2;1;3;B;1
2021-09-26;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Minatoeh;BattleB;1;2;3;S;0
2021-09-26;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Minatoeh;GunGFuBanDa;0;2;3;S;0
2021-09-26;Mon. (B);King of CIS: September 2021;Minatoeh;Bly;1;0;1;B;1
2021-09-26;Mon. (B);King of CIS: September 2021;Minatoeh;DefMars;1;0;1;B;1
2021-09-26;Mon. (B);King of CIS: September 2021;Minatoeh;DIMAGA;0;1;1;B;0
2021-09-24;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Minatoeh;SpaceMarine;3;2;5;S;1
2021-09-24;Qual. (S);DHM Winter: EU Qualifiers - Bracket;Minatoeh;PAPI;2;0;3;S;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;Minatoeh;Brat_OK;0;2;3;A;0
2021-08-29;Mon. (B);King of CIS: August 2021;Minatoeh;MindelVK;1;0;1;B;1
2021-08-29;Mon. (B);King of CIS: August 2021;Minatoeh;ART;1;0;1;B;1
2021-08-29;Mon. (B);King of CIS: August 2021;Minatoeh;MilkiCow;1;0;1;B;1
2021-08-29;Mon. (B);King of CIS: August 2021;Minatoeh;Rail;0;1;1;B;0
2021-07-21;Qual. (S);DHM Fall: EU Qualifiers - Bracket;Minatoeh;Indy;0;2;3;S;0
2021-06-27;Mon. (B);King of CIS: June 2021;Minatoeh;SKillous;0;1;1;B;0
2021-06-20;B-Tier;PSISTORM StarCraft League - KotH #2;Minatoeh;MaxPax;0;1;1;B;0
2021-06-20;B-Tier;Free TON Legend cup - Playoffs;Minatoeh;Creed;1;2;3;B;0
2021-06-18;B-Tier;Free TON Legend cup - Group A;Minatoeh;MilkiCow;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Minatoeh;Unix;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Minatoeh;Alex007;0;2;3;B;0
2021-05-12;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Minatoeh;Spatz;0;2;3;S;0
2020-11-20;B-Tier;Free TON League;Minatoeh;Arctur;0;2;3;B;0
2020-11-12;Week. (C);Asgard Cup #35;Minatoeh;Marsman;0;3;5;C;0
2020-11-12;Week. (C);Asgard Cup #35;Minatoeh;Antlko;2;0;3;C;1
2020-11-12;Week. (C);Asgard Cup #35;Minatoeh;DefMars;2;0;3;C;1
2020-11-07;C-Tier;GachiCup;Minatoeh;MasterVasya;0;1;1;C;0
2020-11-07;C-Tier;GachiCup;Minatoeh;Nicoract;1;0;1;C;1
2020-11-07;C-Tier;GachiCup;Minatoeh;ART;0;2;3;C;0
2020-10-16;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Minatoeh;Denver;1;2;3;S;0
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Minatoeh;goblin;1;2;3;S;0
2020-09-06;Week. (C);SCR Cup #2;Minatoeh;Nerazim;3;0;5;C;1
2020-09-06;Week. (C);SCR Cup #2;Minatoeh;YoungYakov;2;0;3;C;1
2020-09-06;Week. (C);SCR Cup #2;Minatoeh;papastreck;2;1;3;C;1
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;Minatoeh;YoungYakov;0;2;3;C;0
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;Minatoeh;Bee;2;1;3;C;1
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;Minatoeh;ZipperTheFly;2;1;3;C;1
2020-08-29;Week. (C);REGENERATE Open Weekly Cup #88;Minatoeh;SpellSinger;2;0;3;C;1
2020-08-27;Week. (C);Asgard Cup #28;Minatoeh;Exterminar;3;0;5;C;1
2020-08-27;Week. (C);Asgard Cup #28;Minatoeh;Ashbringer;2;1;3;C;1
2020-08-27;Week. (C);Asgard Cup #28;Minatoeh;aelliot;2;0;3;C;1
2020-08-22;Week. (C);REGENERATE Open Weekly Cup #87;Minatoeh;Minik;0;1;1;C;0
2020-08-21;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Minatoeh;SouLeer;0;2;3;S;0
2020-08-19;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Minatoeh;Kas;0;2;3;S;0
2020-08-18;Showm. (C);Minatoeh vs ZipperTheFly Bo69;Minatoeh;ZipperTheFly;35;24;37;C;1
2020-07-18;B-Tier;Reyden-X Cup 1 - Group A;Minatoeh;Kas;0;2;3;B;0
2020-07-18;B-Tier;Reyden-X Cup 1 - Group A;Minatoeh;Vanya;1;2;3;B;0
2020-07-13;Week. (B);ESL Open Cup #27 Europe;Minatoeh;AqueroN;0;2;3;B;0
2020-07-12;Qual. (B);Reyden-X Cup 1: Qualifiers - Bracket;Minatoeh;YoungYakov;2;1;3;B;1
2020-07-12;Qual. (B);Reyden-X Cup 1: Qualifiers - Bracket;Minatoeh;Wintersd;2;0;3;B;1
2020-06-27;B-Tier;Ukrainian Stars - Playoffs;Minatoeh;Awers;0;1;1;B;0
2020-06-21;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;Minatoeh;Krystianer;1;2;3;S;0
2020-06-20;B-Tier;Ukrainian Stars - Group B;Minatoeh;LandGuardian;2;0;3;B;1
2020-06-20;B-Tier;Ukrainian Stars - Group B;Minatoeh;Bly;0;2;3;B;0
2020-06-20;B-Tier;Ukrainian Stars - Group B;Minatoeh;JEROS;1;0;1;B;1
2020-06-17;Qual. (S);DH SC2 Masters 2020 Summer: Europe Qualifiers - Bracket;Minatoeh;Vanya;0;2;3;S;0
2020-06-15;Week. (C);Asgard Cup #22;Minatoeh;Friend;3;2;5;C;1
2020-06-15;Week. (C);Asgard Cup #22;Minatoeh;Nicoract;2;1;3;C;1
2020-06-15;Week. (C);Asgard Cup #22;Minatoeh;DeeDan;2;1;3;C;1
2020-06-13;Week. (C);REGENERATE Open Weekly Cup #79;Minatoeh;Mixu;0;1;1;C;0
2020-06-04;Week. (C);Asgard Cup #21;Minatoeh;EnigmA;3;2;5;C;1
2020-06-04;Week. (C);Asgard Cup #21;Minatoeh;KingCobra;2;1;3;C;1
2020-06-04;Week. (C);Asgard Cup #21;Minatoeh;Nicoract;2;0;3;C;1
