date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-07;A-Tier;OSC Championship Season 13 - Championship Bracket;MindelVK;ART;0;3;5;A;0
2026-01-03;Qual. (A);OSC Champ S13 Challenger B;MindelVK;MiniZergUA;3;0;5;A;1
2026-01-03;Qual. (A);OSC Champ S13 Challenger B;MindelVK;Cham;0;3;5;A;0
2026-01-03;Qual. (A);OSC Champ S13 Challenger B;MindelVK;INexorable;2;0;3;A;1
2026-01-03;Qual. (A);OSC Champ S13 Challenger B;MindelVK;Hatsu;2;0;3;A;1
2025-12-28;Qual. (A);DT Open Challenger #1;MindelVK;GgMaChine;1;3;5;A;0
2025-12-28;Qual. (A);DT Open Challenger #1;MindelVK;ArT;2;3;5;A;0
2025-12-28;Qual. (A);DT Open Challenger #1;MindelVK;INexorable;2;0;3;A;1
2025-12-28;Qual. (A);DT Open Challenger #1;MindelVK;prome;2;1;3;A;1
2025-12-25;B-Tier;3D! New Year Challenge;MindelVK;YoungYakov;0;2;3;B;0
2025-12-19;Week. (B);OSC KotH Weekly #234;MindelVK;Gerald;0;1;1;B;0
2025-12-10;C-Tier;Null Cup - Playoffs;MindelVK;Shameless;1;2;3;C;0
2025-12-10;C-Tier;Null Cup - Group Stage;MindelVK;SunRise;0;1;1;C;0
2025-12-10;C-Tier;Null Cup - Group Stage;MindelVK;Sting1983;1;0;1;C;1
2025-12-10;C-Tier;Null Cup - Group Stage;MindelVK;ART;0;1;1;C;0
2025-12-10;C-Tier;Null Cup - Group Stage;MindelVK;Shameless;0;1;1;C;0
2025-12-10;C-Tier;Null Cup - Group Stage;MindelVK;iosup;1;0;1;C;1
2025-12-07;Week. (B);OSC KotH Weekly #233;MindelVK;MaxPax;0;1;1;B;0
2025-12-06;Biw. (B);StarCraft Evolution League #17;MindelVK;TaeJa;0;2;3;B;0
2025-12-06;Biw. (B);StarCraft Evolution League #17;MindelVK;Shaxing;2;0;3;B;1
2025-12-01;Week. (B);Monday Night Weeklies #32;MindelVK;Shameless;0;1;1;B;0
2025-12-01;Week. (B);Monday Night Weeklies #32;MindelVK;Fouspi;1;0;1;B;1
2025-11-29;B-Tier;PORT 2025 Pro League #10;MindelVK;UltraMarine;1;2;3;B;0
2025-11-29;Mon. (B);PSC2L November;MindelVK;Krystianer;0;2;3;B;0
2025-11-22;Biw. (B);StarCraft Evolution League #16;MindelVK;iosup;0;2;3;B;0
2025-11-22;Biw. (B);StarCraft Evolution League #16;MindelVK;QuanTa;2;1;3;B;1
2025-11-10;Week. (B);WardiTV Mondays #60;MindelVK;MaNa;0;2;3;B;0
2025-11-08;C-Tier;Hatchery Cup #16;MindelVK;ART;0;2;3;C;0
2025-11-03;Week. (B);Monday Night Weeklies #29;MindelVK;Fjant;0;1;1;B;0
2025-11-02;B-Tier;Monkey Anonymous Cup #1;MindelVK;YoungYakov;0;1;1;B;0
2025-11-02;B-Tier;Monkey Anonymous Cup #1;MindelVK;Wayne;1;0;1;B;1
2025-11-02;B-Tier;Monkey Anonymous Cup #1;MindelVK;MilkiCow;0;2;3;B;0
2025-10-27;Week. (B);Monday Night Weeklies #28;MindelVK;Shameless;0;1;1;B;0
2025-10-27;Week. (B);Monday Night Weeklies #28;MindelVK;MJG;1;0;1;B;1
2025-10-27;Week. (B);Monday Night Weeklies #28;MindelVK;herO;1;2;3;B;0
2025-10-25;B-Tier;King of Olympus #4;MindelVK;Wayne;0;1;1;B;0
2025-10-25;B-Tier;King of Olympus #4;MindelVK;Replicant;1;0;1;B;1
2025-10-25;B-Tier;King of Olympus #4;MindelVK;vaxxxooro;1;0;1;B;1
2025-10-25;B-Tier;BlizzTour Last Dance - SC2;MindelVK;iosup;0;2;3;B;0
2025-10-25;B-Tier;BlizzTour Last Dance - SC2;MindelVK;ART;0;2;3;B;0
2025-10-25;B-Tier;BlizzTour Last Dance - SC2;MindelVK;FishOnFire;2;0;3;B;1
2025-10-20;Week. (B);Monday Night Weeklies #27;MindelVK;Percival;0;1;1;B;0
2025-10-20;Week. (B);Monday Night Weeklies #27;MindelVK;Dephy;1;0;1;B;1
2025-10-20;Week. (B);Monday Night Weeklies #27;MindelVK;herO;1;2;3;B;0
2025-10-17;B-Tier;Kyuubi's Challenge #2;MindelVK;Nicoract;1;2;3;B;0
2025-10-17;B-Tier;Kyuubi's Challenge #2;MindelVK;Strange;0;3;5;B;0
2025-10-13;B-Tier;OSC Elite Rising Star #17;MindelVK;Jumy;0;2;3;B;0
