date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-07-20;Qual. (A);DHM Fall: TW/HK Qualifiers - Bracket;MoRiArTy;ExpecT;0;3;5;A;0
2021-07-20;Qual. (A);DHM Fall: TW/HK Qualifiers - Bracket;MoRiArTy;Eternity;2;1;3;A;1
2021-05-13;Qual. (A);DHM Summer: Asia Qualifiers - Bracket;MoRiArTy;MysteryMan;0;2;3;A;0
2020-10-17;Qual. (A);DH SC2 Master 2020: Winter TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;Eternity;1;2;3;A;0
2020-10-17;Qual. (A);DH SC2 Master 2020: Winter TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;PSiArc;2;0;3;A;1
2020-10-13;Qual. (A);DH SC2 Master 2020: Winter TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;Rex;0;3;5;A;0
2020-10-13;Qual. (A);DH SC2 Master 2020: Winter TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;KevinLiu;2;1;3;A;1
2020-08-22;Qual. (A);DH SC2 Master 2020: Fall TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;Cell;0;2;3;A;0
2020-06-29;Week. (B);ESL Open Cup #25 Korea;MoRiArTy;Solar;0;2;3;B;0
2020-06-20;Qual. (A);DH SC2 Masters 2020: Summer TW / HK / MO / JP Qualifiers - Bracket;MoRiArTy;LittleWolf;1;2;3;A;0
2020-06-08;Qual. (B);BlazingSeries:Reality S3 Qualifier #2 - Bracket;MoRiArTy;Drima;1;2;3;B;0
2020-06-08;Qual. (B);BlazingSeries:Reality S3 Qualifier #2 - Bracket;MoRiArTy;tommy;2;0;3;B;1
2020-06-08;Qual. (B);BlazingSeries:Reality S3 Qualifier #2 - Bracket;MoRiArTy;Lemon;1;2;3;B;0
2020-06-01;Mon. (B);Blazing Series: Reality June 2020;MoRiArTy;GogojOey;1;2;3;B;0
2020-06-01;Mon. (B);Blazing Series: Reality June 2020;MoRiArTy;YoGer;0;2;3;B;0
2020-06-01;Mon. (B);Blazing Series: Reality June 2020;MoRiArTy;Cell;2;0;3;B;1
2020-04-27;Mon. (B);Blazing Series: Reality May 2020;MoRiArTy;Nice;0;2;3;B;0
2020-04-27;Mon. (B);Blazing Series: Reality May 2020;MoRiArTy;GogojOey;1;2;3;B;0
2020-04-27;Mon. (B);Blazing Series: Reality May 2020;MoRiArTy;Lemon;2;0;3;B;1
