date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;GeNieS;3;1;5;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;Vanya;1;0;1;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;SlavaZA;2;0;3;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;vodinoi;1;0;1;C;1
2020-12-16;B-Tier;MC Season 2 Amateur Finals;MysticMuse;ShiFu;1;2;3;B;0
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;MysticMuse;Bly;0;3;5;C;0
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;MysticMuse;EnigmA;2;1;3;C;1
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;MysticMuse;kiyj;2;0;3;C;1
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;MysticMuse;niklbd;2;0;3;C;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;MysticMuse;Kas;0;2;3;B;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;MysticMuse;Chelser;2;0;3;B;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;MysticMuse;Kas;0;2;3;B;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;MysticMuse;SKillous;0;2;3;B;0
2020-11-22;Qual. (A);ASUS ROG Online 2020: America Server Qualifier;MysticMuse;Elazer;0;2;3;A;0
2020-11-21;Week. (C);REGENERATE Open Weekly Cup #99;MysticMuse;Krystianer;0;1;1;C;0
2020-11-20;B-Tier;Free TON League;MysticMuse;Vanya;0;2;3;B;0
2020-11-19;Week. (C);Cock of the Walk #37;MysticMuse;Spatz;0;2;3;C;0
2020-11-16;Week. (B);ESL Open Cup #45 Korea;MysticMuse;MacSed;0;2;3;B;0
2020-11-16;Week. (B);ESL Open Cup #45 Europe;MysticMuse;Harstem;0;2;3;B;0
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;MysticMuse;BlueCheese;1;2;3;C;0
2020-10-22;Week. (C);Cock of the Walk #33;MysticMuse;Bee;1;2;3;C;0
2020-10-19;Week. (B);ESL Open Cup #41 Europe;MysticMuse;Rail;0;2;3;B;0
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;MysticMuse;Denver;0;2;3;S;0
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;MysticMuse;Rodzyn;2;0;3;S;1
2020-10-17;Week. (C);REGENERATE Open Weekly Cup #94;MysticMuse;Kas;1;2;3;C;0
2020-10-16;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;MysticMuse;Rail;1;2;3;S;0
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;MysticMuse;Bly;0;2;3;S;0
2020-10-10;Week. (C);REGENERATE Open Weekly Cup #93;MysticMuse;Bee;0;2;3;C;0
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;MysticMuse;MaxPax;0;2;3;C;0
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;MysticMuse;Ziomek;2;0;3;C;1
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;MysticMuse;Vanya;2;1;3;C;1
2020-08-28;Week. (C);IndyK Crew Weekly Cup #28;MysticMuse;Krystianer;0;1;1;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;GeNieS;MysticMuse;1;3;5;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Vanya;MysticMuse;0;1;1;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;SlavaZA;MysticMuse;0;2;3;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;vodinoi;MysticMuse;0;1;1;C;0
2020-12-16;B-Tier;MC Season 2 Amateur Finals;ShiFu;MysticMuse;2;1;3;B;1
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;Bly;MysticMuse;3;0;5;C;1
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;EnigmA;MysticMuse;1;2;3;C;0
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;kiyj;MysticMuse;0;2;3;C;0
2020-12-12;Week. (C);REGENERATE Open Weekly Cup #102;niklbd;MysticMuse;0;2;3;C;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;Kas;MysticMuse;2;0;3;B;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;Chelser;MysticMuse;0;2;3;B;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;Kas;MysticMuse;2;0;3;B;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;SKillous;MysticMuse;2;0;3;B;1
2020-11-22;Qual. (A);ASUS ROG Online 2020: America Server Qualifier;Elazer;MysticMuse;2;0;3;A;1
2020-11-21;Week. (C);REGENERATE Open Weekly Cup #99;Krystianer;MysticMuse;1;0;1;C;1
2020-11-20;B-Tier;Free TON League;Vanya;MysticMuse;2;0;3;B;1
2020-11-19;Week. (C);Cock of the Walk #37;Spatz;MysticMuse;2;0;3;C;1
2020-11-16;Week. (B);ESL Open Cup #45 Korea;MacSed;MysticMuse;2;0;3;B;1
2020-11-16;Week. (B);ESL Open Cup #45 Europe;Harstem;MysticMuse;2;0;3;B;1
2020-10-24;Week. (C);REGENERATE Open Weekly Cup #95;BlueCheese;MysticMuse;2;1;3;C;1
2020-10-22;Week. (C);Cock of the Walk #33;Bee;MysticMuse;2;1;3;C;1
2020-10-19;Week. (B);ESL Open Cup #41 Europe;Rail;MysticMuse;2;0;3;B;1
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Denver;MysticMuse;2;0;3;S;1
2020-10-18;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Rodzyn;MysticMuse;0;2;3;S;0
2020-10-17;Week. (C);REGENERATE Open Weekly Cup #94;Kas;MysticMuse;2;1;3;C;1
2020-10-16;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Rail;MysticMuse;2;1;3;S;1
2020-10-14;Qual. (S);DH SC2 Masters 2020 Fall: Europe Qualifiers - Bracket;Bly;MysticMuse;2;0;3;S;1
2020-10-10;Week. (C);REGENERATE Open Weekly Cup #93;Bee;MysticMuse;2;0;3;C;1
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;MaxPax;MysticMuse;2;0;3;C;1
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;Ziomek;MysticMuse;0;2;3;C;0
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;Vanya;MysticMuse;1;2;3;C;0
2020-08-28;Week. (C);IndyK Crew Weekly Cup #28;Krystianer;MysticMuse;1;0;1;C;1
