date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;NXZ;Probe;0;2;3;B;0
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;NXZ;Satu;2;0;3;B;1
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;NXZ;Oreo;2;0;3;B;1
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;NXZ;Probe;0;2;3;B;0
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;NXZ;Satu;2;1;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;NXZ;Oreo;1;2;3;B;0
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;NXZ;Azure;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;NXZ;Karleb;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;NXZ;TheWoK;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;NXZ;Barwu;2;0;3;B;1
2024-08-19;Week. (B);ESL Open Cup #241 Korea;NXZ;Creator;0;2;3;B;0
2024-08-12;Week. (B);ESL Open Cup #240 Korea;NXZ;Rogue;0;2;3;B;0
2024-08-12;Week. (B);ESL Open Cup #240 Korea;NXZ;Rex;2;1;3;B;1
2100-01-01;A-Tier;DHM Atlanta: OC - Group B;NXZ;TeebuL;1;2;3;A;0
2100-01-01;A-Tier;DHM Atlanta: OC - Group B;NXZ;Raza;2;1;3;A;1
2100-01-01;A-Tier;DHM Atlanta: OC - Group B;NXZ;Ranger;0;2;3;A;0
2022-09-18;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;NXZ;RiSky;3;2;5;A;1
2022-09-18;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;NXZ;piglet;2;1;3;A;1
2022-09-17;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;NXZ;Oreo;3;2;5;A;1
2022-09-17;Qual. (A);DHM Atlanta: OC Qualifiers - Bracket;NXZ;Lamduy;2;0;3;A;1
