date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;Nice;Gerald;1;2;3;S;0
2026-01-12;Week. (B);Monday Night Weeklies #36;Nice;Bunny;0;1;1;B;0
2026-01-12;Week. (B);Monday Night Weeklies #36;Nice;Nicoract;1;0;1;B;1
2026-01-12;Week. (B);Monday Night Weeklies #36;Nice;Reynor;0;2;3;B;0
2026-01-12;Week. (B);WardiTV Mondays #69;Nice;Classic;0;2;3;B;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;Nice;Creator;1;2;3;S;0
2026-01-06;Week. (B);PiGosaur Cup #63;Nice;Cure;0;2;3;B;0
2026-01-05;Week. (B);WardiTV Mondays #68;Nice;trigger;0;2;3;B;0
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Nice;Mixu;1;3;5;A;0
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Nice;ART;2;3;5;A;0
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Nice;NightPhoenix;2;0;3;A;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Nice;UedSoldier;2;1;3;A;1
2026-01-03;Mon. (B);Korean Starcraft League #84;Nice;herO;1;2;3;B;0
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Nice;Creator;0;3;5;A;0
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Nice;YoungYakov;3;1;5;A;1
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Nice;Rogue;0;3;5;A;0
2025-12-16;Week. (B);Sparkling Tuna Cup #115;Nice;Ryung;0;2;3;B;0
2025-12-16;Week. (B);Sparkling Tuna Cup #115;Nice;LetaleX;2;0;3;B;1
2025-12-16;Week. (B);PiGosaur Cup #62;Nice;Cure;0;2;3;B;0
2025-12-16;Week. (B);PiGosaur Cup #62;Nice;ByuN;2;1;3;B;1
2025-12-15;Week. (B);WardiTV Mondays #65;Nice;ByuN;0;2;3;B;0
2025-12-11;A-Tier;WardiTV 2025 - Group Stage;Nice;Elazer;2;0;3;A;1
