date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-06-07;B-Tier;Fire Grow Cup #10 - R 5;Nikich;ART;0;2;3;B;0
2025-06-07;B-Tier;Fire Grow Cup #10 - R 4;Nikich;Replicant;2;0;3;B;1
2025-06-07;B-Tier;Fire Grow Cup #10 - R 3;Nikich;MiniZergUA;2;0;3;B;1
2025-06-07;B-Tier;Fire Grow Cup #10 - R 2;Nikich;iosup;0;2;3;B;0
2025-06-07;B-Tier;Fire Grow Cup #10 - R 1;Nikich;Basset;0;2;3;B;0
2025-06-01;Mon. (B);PSC2L May;Nikich;Gerald;0;3;5;B;0
2025-06-01;Mon. (B);PSC2L May;Nikich;INexorable;2;0;3;B;1
2025-05-31;Mon. (B);3D!King of the Hill #13;Nikich;YoungYakov;0;1;1;B;0
2025-05-31;Mon. (B);3D!King of the Hill #13;Nikich;MindelVK;1;0;1;B;1
2025-05-17;B-Tier;Anonymous KotH;Nikich;YoungYakov;0;1;1;B;0
2025-04-12;B-Tier;Fire Grow Cup #9 - R 5;Nikich;UedSoldier;0;2;3;B;0
2025-04-12;B-Tier;Fire Grow Cup #9 - R 4;Nikich;ProtoZZavr;2;1;3;B;1
2025-04-12;B-Tier;Fire Grow Cup #9 - R 3;Nikich;Nicoract;0;2;3;B;0
2025-04-12;B-Tier;Fire Grow Cup #9 - R 2;Nikich;Fallenger;2;0;3;B;1
2025-04-12;B-Tier;Fire Grow Cup #9 - R 1;Nikich;Strange;1;2;3;B;0
2025-04-10;Week. (B);Tenacious Turtle Tussle #31;Nikich;Nicoract;1;0;1;B;1
2025-04-06;B-Tier;3D! Super Cup #4;Nikich;GgMaChine;0;1;1;B;0
2025-04-06;B-Tier;3D! Super Cup #4;Nikich;ART;0;2;3;B;0
2025-04-05;B-Tier;Hatchery Cup #14;Nikich;ByuN;0;2;3;B;0
2025-04-05;B-Tier;Hatchery Cup #14;Nikich;INexorable;2;0;3;B;1
2025-04-05;B-Tier;Hatchery Cup #14;Nikich;Nicoract;2;0;3;B;1
2025-04-05;B-Tier;Hatchery Cup #14;Nikich;Well;2;0;3;B;1
2025-03-30;B-Tier;King of Olympus #2;Nikich;Shameless;0;1;1;B;0
2025-03-30;B-Tier;King of Olympus #2;Nikich;Strange;1;0;1;B;1
2025-03-22;B-Tier;Fire Grow Cup #8 - R 4;Nikich;MilkiCow;0;2;3;B;0
2025-03-22;B-Tier;Fire Grow Cup #8 - R 3;Nikich;ProtoZZavr;2;1;3;B;1
2025-03-22;B-Tier;Fire Grow Cup #8 - R 2;Nikich;EastToss;0;2;3;B;0
2025-03-22;B-Tier;Fire Grow Cup #8 - R 1;Nikich;ART;1;2;3;B;0
2025-03-21;Showm. (B);Basilisk Big Brain Bouts #90 - Bouts;Nikich;SpeCial;0;3;5;B;0
2025-03-14;Showm. (B);Basilisk Big Brain Bouts #89 - Bouts;Nikich;MilkiCow;3;1;5;B;1
2025-03-10;Week. (B);Monday Night Weeklies #8;Nikich;Gerald;0;1;1;B;0
2025-03-10;Week. (B);Monday Night Weeklies #8;Nikich;Clem;0;2;3;B;0
2025-02-27;Week. (B);Tenacious Turtle Tussle #28;Nikich;ByuN;0;2;3;B;0
2025-02-27;Week. (B);Tenacious Turtle Tussle #28;Nikich;ReBellioN;2;0;3;B;1
2025-02-17;Week. (B);Monday Night Weeklies #5;Nikich;Shameless;0;1;1;B;0
2025-02-17;Week. (B);Monday Night Weeklies #5;Nikich;Ryung;1;0;1;B;1
2025-02-17;Week. (B);Monday Night Weeklies #5;Nikich;SKillous;1;0;1;B;1
2025-02-17;Week. (B);Monday Night Weeklies #5;Nikich;herO;0;2;3;B;0
2025-02-16;Week. (C);Sparkling Tuna Cup #80;Nikich;Creator;0;2;3;C;0
2025-02-16;Week. (C);Sparkling Tuna Cup #80;Nikich;LetaleX;2;0;3;C;1
2025-02-16;Biw. (B);HupCup #6;Nikich;Nicoract;0;1;1;B;0
2025-02-15;B-Tier;Fire Grow Cup #7 - R 4;Nikich;MilkiCow;0;2;3;B;0
2025-02-15;B-Tier;Fire Grow Cup #7 - R 3;Nikich;PPower;0;2;3;B;0
2025-02-15;B-Tier;Fire Grow Cup #7 - R 2;Nikich;Replicant;2;1;3;B;1
2025-02-15;B-Tier;Fire Grow Cup #7 - R 1;Nikich;ART;1;2;3;B;0
2025-02-10;Week. (B);Monday Night Weeklies #4;Nikich;Cure;0;2;3;B;0
