date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-09-09;Week. (B);PiGosaur Cup #48;Nina;Epic;0;2;3;B;0
2025-08-23;Biw. (B);Korean Starcraft League #79;Nina;Classic;0;2;3;B;0
2025-08-23;Biw. (B);Korean Starcraft League #79;Nina;triple;2;1;3;B;1
2025-08-20;B-Tier;The 5.4k Patch Clash #2;Nina;Mixu;1;2;3;B;0
2025-08-20;B-Tier;The 5.4k Patch Clash #2;Nina;INexorable;0;2;3;B;0
2025-08-20;B-Tier;The 5.4k Patch Clash #2;Nina;iosup;2;0;3;B;1
2025-08-20;B-Tier;The 5.4k Patch Clash #2;Nina;BerryCruncH;2;1;3;B;1
2025-08-19;Week. (B);PiGosaur Cup #45;Nina;Creator;1;2;3;B;0
2025-08-19;Week. (B);PiGosaur Cup #45;Nina;BerryCruncH;2;0;3;B;1
2025-08-06;B-Tier;Kirktown Co-op 1v1 Bash #7;Nina;Greenert;0;2;3;B;0
2024-05-03;A-Tier;ESL Spring: Americas - Playoffs;Nina;Astrea;1;3;5;A;0
2024-05-02;A-Tier;ESL Spring: Americas - Playoffs;Nina;Scarlett;0;3;5;A;0
2024-04-21;A-Tier;ESL Spring: Americas - R 5;Nina;SpeCial;2;1;3;A;1
2024-04-20;A-Tier;ESL Spring: Americas - R 4;Nina;Epic;2;1;3;A;1
2024-04-19;A-Tier;ESL Spring: Americas - R 3;Nina;Future;0;2;3;A;0
2024-04-14;A-Tier;ESL Spring: Americas - R 2;Nina;Astrea;0;2;3;A;0
2024-04-13;A-Tier;ESL Spring: Americas - R 1;Nina;eGGz;2;0;3;A;1
2024-04-08;Qual. (A);ESL Spring: Americas Qualifiers - Bracket;Nina;FoxeR;3;0;5;A;1
2024-04-07;Qual. (A);ESL Spring: Americas Qualifiers - Bracket;Nina;PiLiPiLi;2;0;3;A;1
2024-03-03;Showm. (C);Kashim Friendly Showmatches #4;Nina;Future;2;3;5;C;0
