date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Playoffs;Nistic;Prototype;0;3;5;B;0
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;Nistic;MogarFNSMASH;0;2;3;B;0
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;Nistic;starkiller;1;2;3;B;0
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;Nistic;eXiled;2;0;3;B;1
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;Nistic;Vipor;2;0;3;B;1
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Playoffs;Prototype;Nistic;3;0;5;B;1
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;MogarFNSMASH;Nistic;2;0;3;B;1
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;starkiller;Nistic;2;1;3;B;1
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;eXiled;Nistic;0;2;3;B;0
2021-03-08;B-Tier;2021 NA Apprentice Season 2: Code A - Group B;Vipor;Nistic;0;2;3;B;0
