date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-12-25;Week. (B);ESL Open Cup #155 Korea;Nuks;soO;0;2;3;B;0
2022-06-21;Qual. (S);HSC XXI: Oceania / RoA Qualifier;Nuks;Quantel;0;2;3;S;0
2022-06-21;Qual. (S);HSC XXI: Oceania / RoA Qualifier;Nuks;Raza;0;2;3;S;0
2022-05-07;Qual. (A);DHM Valencia: OC Qualifiers - Bracket;Nuks;StarDuck;1;3;5;A;0
2022-05-07;Qual. (A);DHM Valencia: OC Qualifiers - Bracket;Nuks;Oreo;2;0;3;A;1
2022-05-07;Qual. (A);DHM Valencia: OC Qualifiers - Bracket;Nuks;Darkvoid;2;1;3;A;1
2022-05-06;Qual. (A);DHM Valencia: OC Qualifiers - Bracket;Nuks;piglet;0;2;3;A;0
2022-05-06;Qual. (A);DHM Valencia: OC Qualifiers - Bracket;Nuks;cheoklate;2;0;3;A;1
2022-02-22;Week. (B);Sparkling Tuna Cup #4;Nuks;ArT;1;2;3;B;0
2021-08-14;B-Tier;SCPH Quarantined #7 - Bracket;Nuks;eXoDash;0;2;3;B;0
2021-07-25;Week. (B);ESL Open Cup #81 Korea;Nuks;Creator;0;2;3;B;0
2021-07-24;Qual. (A);DHM Fall: OC Qualifiers - Bracket;Nuks;Peppy;0;2;3;A;0
2021-07-24;Qual. (A);DHM Fall: OC Qualifiers - Bracket;Nuks;XFilez;2;0;3;A;1
2021-07-18;C-Tier;SC2 Cannabis Cup;Nuks;Scdragon1;1;0;1;C;1
2021-07-18;C-Tier;SC2 Cannabis Cup;Nuks;XionS;1;2;3;C;0
2021-07-18;Mon. (C);GdA Night Tournament #2;Nuks;Kas;0;2;3;C;0
2021-07-18;C-Tier;SC2 Cannabis Cup;Nuks;SabeRLighT;2;0;3;C;1
2021-07-10;C-Tier;The Demi Australian Open #1;Nuks;Pezz;0;2;3;C;0
2021-07-10;C-Tier;The Demi Australian Open #1;Nuks;Chappy;2;0;3;C;1
2021-07-10;C-Tier;The Demi Australian Open #1;Nuks;EnDerr;1;2;3;C;0
2021-07-08;Week. (C);Grand Platypus Open #71;Nuks;GogojOey;0;2;3;C;0
2021-07-08;Week. (C);Grand Platypus Open #71;Nuks;Vivid;2;0;3;C;1
2021-06-02;Week. (C);Grand Platypus Open #66;Nuks;Demi;0;2;3;C;0
2021-05-15;Qual. (A);DHM Summer: OC Qualifiers - Bracket;Nuks;Saiko;0;3;5;A;0
2021-05-15;Qual. (A);DHM Summer: OC Qualifiers - Bracket;Nuks;Azure;2;1;3;A;1
2021-05-15;Qual. (A);DHM Summer: OC Qualifiers - Bracket;Nuks;Aires;2;0;3;A;1
2021-05-14;Qual. (A);DHM Summer: OC Qualifiers - Bracket;Nuks;Chappy;0;2;3;A;0
2021-05-09;Week. (C);Demi SEA Weekly #22;Nuks;GogojOey;0;1;1;C;0
2021-05-09;Week. (C);Demi SEA Weekly #22;Nuks;StarDuck;1;0;1;C;1
2021-05-09;Week. (C);Demi SEA Weekly #22;Nuks;Bistork;0;2;3;C;0
2021-05-01;Week. (C);Grand Platypus Open #65;Nuks;MeomaikA;0;2;3;C;0
