date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;Oreo;NXZ;0;2;3;B;0
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;Oreo;Seiko;2;0;3;B;1
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;Oreo;Rize;0;2;3;B;0
2025-06-29;B-Tier;AusCraft Winter 2025 - Playoffs;Oreo;Karleb;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;Oreo;NXZ;2;1;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;Oreo;Barwu;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;Oreo;TheWoK;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;Oreo;Azure;2;0;3;B;1
2025-06-28;B-Tier;AusCraft Winter 2025 - Group B;Oreo;Karleb;2;0;3;B;1
2025-04-13;Week. (B);Sparkling Tuna Cup #88;Oreo;Krystianer;0;2;3;B;0
2024-04-06;Qual. (A);ESL Spring: Asia Qualifiers - Bracket;Oreo;Lemon;0;2;3;A;0
2024-03-31;Week. (C);Sparkling Tuna Cup #45;Oreo;Nicoract;0;2;3;C;0
2023-09-30;Biw. (C);Grand Platypus Open #96;Oreo;GogojOey;0;1;1;C;0
2023-09-30;Biw. (C);Grand Platypus Open #96;Oreo;Demi;1;2;3;C;0
2023-09-16;Biw. (C);Grand Platypus Open #95;Oreo;EnDerr;0;1;1;C;0
2023-09-16;Biw. (C);Grand Platypus Open #95;Oreo;Demi;1;0;1;C;1
2023-09-16;Biw. (C);Grand Platypus Open #95;Oreo;DaSh;1;2;3;C;0
2023-08-05;Biw. (C);Grand Platypus Open #92;Oreo;GogojOey;0;1;1;C;0
2023-08-05;Biw. (C);Grand Platypus Open #92;Oreo;Nice;0;2;3;C;0
2023-07-22;Biw. (C);Grand Platypus Open #91;Oreo;MeomaikA;2;3;5;C;0
2023-07-22;Biw. (C);Grand Platypus Open #91;Oreo;MeomaikA;2;0;3;C;1
2023-07-22;Biw. (C);Grand Platypus Open #91;Oreo;Demi;2;1;3;C;1
2023-07-22;Biw. (C);Grand Platypus Open #91;Oreo;HonMonO;2;1;3;C;1
