date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-09-08;S-Tier;2022 GSL S3: Code S - GS 1 Group E;Prince;Solar;0;2;3;S;0
2022-09-08;S-Tier;2022 GSL S3: Code S - GS 1 Group E;Prince;Dark;1;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;Solar;0;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;acaiigirl;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;KeeN;1;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;Nice;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;Scarlett;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;Percival;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;ReBellioN;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Prince;Classic;0;2;3;S;0
2022-08-04;A-Tier;WardiTV Summer 2022 - GS 1 Group C;Prince;Krystianer;0;3;5;A;0
2022-08-04;A-Tier;WardiTV Summer 2022 - GS 1 Group C;Prince;Rex;2;0;3;A;1
2022-08-04;A-Tier;WardiTV Summer 2022 - GS 1 Group C;Prince;Krystianer;0;2;3;A;0
2022-07-12;Qual. (S);TSL 9: South Korea Q3;Prince;ByuN;1;3;5;S;0
2022-07-12;Qual. (S);TSL 9: South Korea Q3;Prince;Jinioh;2;0;3;S;1
2022-07-07;Qual. (S);TSL 9: South Korea Q2;Prince;Creator;1;3;5;S;0
2022-07-07;Qual. (S);TSL 9: South Korea Q2;Prince;Chance;2;1;3;S;1
2022-07-06;Qual. (S);TSL 9: South Korea Q1;Prince;Ryung;1;2;3;S;0
2022-06-29;Showm. (B);Douyu Cup Invitational - Detailed Results;Prince;Coffee;2;4;5;B;0
2022-06-21;B-Tier;Spring Champ 2022: KR - Playoffs;Prince;NightMare;0;3;5;B;0
2022-06-17;Qual. (S);HSC XXI: South Korea Q3;Prince;GuMiho;0;2;3;S;0
