date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-06-22;A-Tier;HSC XXV - Group D;PtitDrogo;trigger;1;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;PtitDrogo;Mixu;1;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;PtitDrogo;HolyHit;2;1;3;A;1
2024-06-22;A-Tier;HSC XXV - Group D;PtitDrogo;HeRoMaRinE;0;2;3;A;0
2024-06-22;A-Tier;HSC XXV - Group D;PtitDrogo;Elazer;2;1;3;A;1
2024-04-19;S-Tier;ESL Spring: Europe - Gr B R 4;PtitDrogo;YoungYakov;1;2;3;S;0
2024-04-17;S-Tier;ESL Spring: Europe - Gr B R 3;PtitDrogo;Aristori;2;1;3;S;1
2024-04-13;S-Tier;ESL Spring: Europe - Gr B R 2;PtitDrogo;uThermal;1;2;3;S;0
2024-04-11;S-Tier;ESL Spring: Europe - Gr B R 1;PtitDrogo;Lambo;1;2;3;S;0
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;PtitDrogo;HateMe;3;0;5;S;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;PtitDrogo;uThermal;1;3;5;S;0
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;PtitDrogo;Déca;2;0;3;S;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;PtitDrogo;ShaDoWn;3;4;5;B;0
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;PtitDrogo;DnS;3;2;5;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;PtitDrogo;ShaDoWn;2;0;3;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;PtitDrogo;GuGus;2;0;3;B;1
2023-12-01;A-Tier;HSC XXIV - Group B;PtitDrogo;CuKu;2;1;3;A;1
2023-12-01;A-Tier;HSC XXIV - Group B;PtitDrogo;Astrea;0;2;3;A;0
2023-12-01;A-Tier;HSC XXIV - Group B;PtitDrogo;Clem;0;2;3;A;0
2023-12-01;A-Tier;HSC XXIV - Group B;PtitDrogo;ShaDoWn;2;1;3;A;1
2023-12-01;A-Tier;HSC XXIV - Group B;PtitDrogo;Lambo;1;2;3;A;0
2023-11-04;S-Tier;ESL Winter: Europe - Gr A R 4;PtitDrogo;goblin;0;2;3;S;0
2023-11-02;S-Tier;ESL Winter: Europe - Gr A R 3;PtitDrogo;Krystianer;1;2;3;S;0
2023-10-29;S-Tier;ESL Winter: Europe - Gr A R 2;PtitDrogo;BattleB;2;0;3;S;1
2023-10-26;S-Tier;ESL Winter: Europe - Gr A R 1;PtitDrogo;Spirit;0;2;3;S;0
2023-10-15;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;PtitDrogo;Mixu;3;1;5;S;1
2023-10-15;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;PtitDrogo;BattleB;1;3;5;S;0
2023-10-15;Qual. (S);ESL Winter: Europe Qualifiers - Bracket;PtitDrogo;FightingFrog;2;1;3;S;1
2023-07-01;A-Tier;HSC XXIII - Group C;PtitDrogo;RiSky;2;0;3;A;1
2023-07-01;A-Tier;HSC XXIII - Group C;PtitDrogo;Clem;0;2;3;A;0
2023-07-01;A-Tier;HSC XXIII - Group C;PtitDrogo;Elazer;0;2;3;A;0
2023-07-01;A-Tier;HSC XXIII - Group C;PtitDrogo;GuMiho;0;2;3;A;0
2023-07-01;A-Tier;HSC XXIII - Group C;PtitDrogo;DnS;1;2;3;A;0
2023-06-16;S-Tier;ESL Summer - Bracket D;PtitDrogo;Creator;0;2;3;S;0
2023-06-16;S-Tier;ESL Summer - Bracket D;PtitDrogo;trigger;2;1;3;S;1
2023-06-16;S-Tier;ESL Summer - Bracket D;PtitDrogo;Molten;2;0;3;S;1
