date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2023-04-08;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Radko;HiGhDrA;1;2;3;S;0
2023-04-07;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Radko;Nicoract;0;2;3;S;0
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Radko;Hellraiser;1;3;5;S;0
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Radko;Rail;2;1;3;S;1
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Radko;Harstem;0;2;3;S;0
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Radko;NightPhoenix;3;2;5;S;1
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Radko;Napolcochon;2;0;3;S;1
2022-03-26;Week. (C);Apprentice Cup #8;Radko;Dolan;1;2;3;C;0
2022-03-26;Week. (C);Apprentice Cup #8;Radko;LazyTaldarim;2;0;3;C;1
2022-01-28;B-Tier;Jumy Championship - Group A;Radko;Elazer;0;2;3;B;0
2022-01-28;B-Tier;Jumy Championship - Group A;Radko;Gerald;1;2;3;B;0
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Radko;Hopt;3;1;5;B;1
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Radko;Hopt;2;0;3;B;1
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Radko;NoLimit;2;0;3;B;1
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Radko;Luke;2;0;3;B;1
2021-01-17;C-Tier;maraleCup #9 - Playoffs;Radko;Chabby;0;4;5;C;0
2021-01-17;C-Tier;maraleCup #9 - Playoffs;Radko;Soon;3;0;5;C;1
2021-01-16;C-Tier;maraleCup #9 - Playoffs;Radko;Aelith;2;0;3;C;1
2021-01-14;C-Tier;maraleCup #9 - Group C;Radko;PappiJoe;2;0;3;C;1
2021-01-14;C-Tier;maraleCup #9 - Group C;Radko;LeComplete;2;0;3;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;Hopt;2;1;3;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;Hopt;3;0;5;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;nExt;2;0;3;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;Hopt;1;2;3;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;Argon;2;0;3;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Radko;noname;2;0;3;C;1
2023-04-08;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;HiGhDrA;Radko;2;1;3;S;1
2023-04-07;Qual. (S);ESL Summer: Europe Qualifiers - Bracket;Nicoract;Radko;2;0;3;S;1
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Hellraiser;Radko;3;1;5;S;1
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Rail;Radko;1;2;3;S;0
2022-05-08;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Harstem;Radko;2;0;3;S;1
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;NightPhoenix;Radko;2;3;5;S;0
2022-05-06;Qual. (S);DHM Valencia: EU Qualifiers - Bracket;Napolcochon;Radko;0;2;3;S;0
2022-03-26;Week. (C);Apprentice Cup #8;Dolan;Radko;2;1;3;C;1
2022-03-26;Week. (C);Apprentice Cup #8;LazyTaldarim;Radko;0;2;3;C;0
2022-01-28;B-Tier;Jumy Championship - Group A;Elazer;Radko;2;0;3;B;1
2022-01-28;B-Tier;Jumy Championship - Group A;Gerald;Radko;2;1;3;B;1
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Hopt;Radko;1;3;5;B;0
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Hopt;Radko;0;2;3;B;0
2021-05-04;B-Tier;Pariahs Easter Cup 2021;NoLimit;Radko;0;2;3;B;0
2021-05-04;B-Tier;Pariahs Easter Cup 2021;Luke;Radko;0;2;3;B;0
2021-01-17;C-Tier;maraleCup #9 - Playoffs;Chabby;Radko;4;0;5;C;1
2021-01-17;C-Tier;maraleCup #9 - Playoffs;Soon;Radko;0;3;5;C;0
2021-01-16;C-Tier;maraleCup #9 - Playoffs;Aelith;Radko;0;2;3;C;0
2021-01-14;C-Tier;maraleCup #9 - Group C;PappiJoe;Radko;0;2;3;C;0
2021-01-14;C-Tier;maraleCup #9 - Group C;LeComplete;Radko;0;2;3;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Hopt;Radko;1;2;3;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Hopt;Radko;0;3;5;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;nExt;Radko;0;2;3;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Hopt;Radko;2;1;3;C;1
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;Argon;Radko;0;2;3;C;0
2020-12-26;C-Tier;Pariahs Christmas Cup 2020;noname;Radko;0;2;3;C;0
