date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Clem;0;2;3;A;0
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Clem;3;2;5;A;1
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Lambo;2;0;3;A;1
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Clem;1;3;5;A;0
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Krystianer;2;1;3;A;1
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Harstem;2;0;3;A;1
2026-01-10;A-Tier;Big Gabe Cup #3 - Main Bracket;Reynor;Timo;2;0;3;A;1
2025-12-26;Showm. (B);Basilisk Big Brain Bouts #103 - The Basilisk One;Reynor;Scarlett;3;1;5;B;1
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;Reynor;MaxPax;1;3;5;B;0
2025-12-21;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;Clem;2;3;5;A;0
2025-12-21;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;Solar;3;2;5;A;1
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;Cure;3;1;5;A;1
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;MaxPax;0;3;5;A;0
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;Clem;3;2;5;A;1
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Reynor;Scarlett;3;1;5;A;1
2025-12-14;A-Tier;RSL Offline Finals - Grand Final Bracket;Reynor;Zoun;4;3;5;A;1
2025-12-14;A-Tier;RSL Offline Finals - Grand Final Bracket;Reynor;Classic;1;4;5;A;0
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Reynor;Maru;4;2;5;A;1
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Reynor;Solar;3;2;5;A;1
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Reynor;Percival;3;0;5;A;1
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Reynor;Jumy;3;1;5;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Reynor;Nicoract;2;0;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Reynor;Gerald;2;0;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Reynor;sOs;2;1;3;A;1
2025-12-09;A-Tier;WardiTV 2025 - Group Stage;Reynor;Spirit;2;1;3;A;1
2025-12-08;Week. (B);WardiTV Mondays #64;Reynor;Clem;0;2;3;B;0
2025-12-08;Week. (B);WardiTV Mondays #64;Reynor;Creator;2;1;3;B;1
2025-12-08;Week. (B);WardiTV Mondays #64;Reynor;Harstem;2;0;3;B;1
2025-12-03;Qual. (A);WardiTV 2025 Q4;Reynor;Bunny;2;0;3;A;1
2025-12-03;Qual. (A);WardiTV 2025 Q4;Reynor;Gerald;2;0;3;A;1
2025-12-03;Qual. (A);WardiTV 2025 Q4;Reynor;LetaleX;2;0;3;A;1
