date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-12-30;B-Tier;2022 Final Amateur Tournament;Rookie;HHs;1;2;3;B;0
2022-12-30;B-Tier;2022 Final Amateur Tournament;Rookie;Valhalla;2;1;3;B;1
2020-09-26;B-Tier;BlazingSeries: May Season 5 - Playoffs;Rookie;Has;1;2;3;B;0
2020-09-25;B-Tier;BlazingSeries: May Season 5 - Playoffs;Rookie;Namshar;0;2;3;B;0
2020-09-11;B-Tier;BlazingSeries: May Season 5 - Group A;Rookie;Nice;2;0;3;B;1
2020-09-11;B-Tier;BlazingSeries: May Season 5 - Group A;Rookie;MacSed;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;Percival;2;3;5;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;CoCa;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;Percival;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;LunaSea;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;Rookie;CoCa;2;0;3;B;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Rookie;NightMare;1;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Rookie;Curious;2;1;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Rookie;Bunny;0;2;3;S;0
2020-08-04;Week. (B);OlimoLeague Week #199;Rookie;Creator;0;2;3;B;0
2020-07-26;B-Tier;Alpha X Series Special #3;Rookie;BreakingGG;2;1;3;B;1
2020-07-26;B-Tier;Alpha X Series Special #3;Rookie;RagnaroK;1;3;5;B;0
2020-07-22;B-Tier;Alpha X Series Special #2 - Group A;Rookie;Prince;1;2;3;B;0
2020-07-22;B-Tier;Alpha X Series Special #2 - Group A;Rookie;Armani;1;2;3;B;0
2020-07-07;Week. (B);OlimoLeague Week #196;Rookie;Creator;1;2;3;B;0
2020-07-07;Week. (B);OlimoLeague Week #196;Rookie;SpeCial;2;1;3;B;1
2020-06-28;Showm. (B);Alpha Pro Series: 2020 Show Matches - Standard;Rookie;Firefly;4;5;7;B;0
2020-06-16;Week. (B);OlimoLeague Week #194;Rookie;TIME;0;2;3;B;0
2020-06-16;Week. (B);OlimoLeague Week #194;Rookie;Terra;1;0;1;B;1
2020-06-09;Week. (B);OlimoLeague Week #193;Rookie;Patience;0;2;3;B;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Rookie;SuperNova;0;2;3;S;0
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Rookie;Super;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Rookie;TaeJa;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Rookie;Billowy;2;1;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Rookie;ShiningStars;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Rookie;DongRaeGu;0;2;3;S;0
2020-05-28;Week. (B);Kung Fu Cup 2020 Weekly #19;Rookie;Bunny;0;2;3;B;0
2020-05-26;Week. (B);OlimoLeague Week #192;Rookie;DongRaeGu;0;2;3;B;0
2020-05-21;Showm. (C);Alpha X Series #15;Rookie;Chance;2;5;7;C;0
2020-05-19;Week. (B);OlimoLeague Week #191;Rookie;Nice;0;2;3;B;0
2020-05-14;Week. (B);Kung Fu Cup 2020 Weekly #17;Rookie;TRUE;0;2;3;B;0
2020-05-12;Week. (B);OlimoLeague Week #190;Rookie;Armani;0;2;3;B;0
2020-05-08;Showm. (B);Alpha Pro Series: 2020 Show Matches - Standard;Rookie;Cyan;5;4;7;B;1
2020-05-07;Week. (B);Kung Fu Cup 2020 Weekly #16;Rookie;Bunny;1;2;3;B;0
2020-05-07;Week. (B);Kung Fu Cup 2020 Weekly #16;Rookie;GogojOey;2;1;3;B;1
2020-05-02;Mon. (C);Alpha Scrims 14;Rookie;BreakingGG;0;2;3;C;0
2020-05-02;Mon. (C);Alpha Scrims 14;Rookie;Astrea;2;3;5;C;0
2020-04-30;Week. (B);Kung Fu Cup 2020 Weekly #15;Rookie;Zoun;1;2;3;B;0
2020-04-25;Showm. (C);Alpha X Series #13;Rookie;BreakingGG;5;2;7;C;1
2022-12-30;B-Tier;2022 Final Amateur Tournament;HHs;Rookie;2;1;3;B;1
2022-12-30;B-Tier;2022 Final Amateur Tournament;Valhalla;Rookie;1;2;3;B;0
2020-09-26;B-Tier;BlazingSeries: May Season 5 - Playoffs;Has;Rookie;2;1;3;B;1
2020-09-25;B-Tier;BlazingSeries: May Season 5 - Playoffs;Namshar;Rookie;2;0;3;B;1
2020-09-11;B-Tier;BlazingSeries: May Season 5 - Group A;Nice;Rookie;0;2;3;B;0
2020-09-11;B-Tier;BlazingSeries: May Season 5 - Group A;MacSed;Rookie;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Percival;Rookie;3;2;5;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;Rookie;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;Percival;Rookie;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;LunaSea;Rookie;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;Rookie;0;2;3;B;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;NightMare;Rookie;2;1;3;S;1
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Curious;Rookie;1;2;3;S;0
2020-08-18;Qual. (S);2020 Global StarCraft II League Season 3: Qualifier - Notable Participants;Bunny;Rookie;2;0;3;S;1
2020-08-04;Week. (B);OlimoLeague Week #199;Creator;Rookie;2;0;3;B;1
2020-07-26;B-Tier;Alpha X Series Special #3;BreakingGG;Rookie;1;2;3;B;0
2020-07-26;B-Tier;Alpha X Series Special #3;RagnaroK;Rookie;3;1;5;B;1
2020-07-22;B-Tier;Alpha X Series Special #2 - Group A;Prince;Rookie;2;1;3;B;1
2020-07-22;B-Tier;Alpha X Series Special #2 - Group A;Armani;Rookie;2;1;3;B;1
2020-07-07;Week. (B);OlimoLeague Week #196;Creator;Rookie;2;1;3;B;1
2020-07-07;Week. (B);OlimoLeague Week #196;SpeCial;Rookie;1;2;3;B;0
2020-06-28;Showm. (B);Alpha Pro Series: 2020 Show Matches - Standard;Firefly;Rookie;5;4;7;B;1
2020-06-16;Week. (B);OlimoLeague Week #194;TIME;Rookie;2;0;3;B;1
2020-06-16;Week. (B);OlimoLeague Week #194;Terra;Rookie;0;1;1;B;0
2020-06-09;Week. (B);OlimoLeague Week #193;Patience;Rookie;2;0;3;B;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;SuperNova;Rookie;2;0;3;S;1
2020-06-05;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier - Round 1;Super;Rookie;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;TaeJa;Rookie;2;0;3;S;1
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;Billowy;Rookie;1;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;ShiningStars;Rookie;0;2;3;S;0
2020-06-04;Qual. (S);2020 Global StarCraft II League Season 2: Qualifier;DongRaeGu;Rookie;2;0;3;S;1
2020-05-28;Week. (B);Kung Fu Cup 2020 Weekly #19;Bunny;Rookie;2;0;3;B;1
2020-05-26;Week. (B);OlimoLeague Week #192;DongRaeGu;Rookie;2;0;3;B;1
2020-05-21;Showm. (C);Alpha X Series #15;Chance;Rookie;5;2;7;C;1
2020-05-19;Week. (B);OlimoLeague Week #191;Nice;Rookie;2;0;3;B;1
2020-05-14;Week. (B);Kung Fu Cup 2020 Weekly #17;TRUE;Rookie;2;0;3;B;1
2020-05-12;Week. (B);OlimoLeague Week #190;Armani;Rookie;2;0;3;B;1
2020-05-08;Showm. (B);Alpha Pro Series: 2020 Show Matches - Standard;Cyan;Rookie;4;5;7;B;0
2020-05-07;Week. (B);Kung Fu Cup 2020 Weekly #16;Bunny;Rookie;2;1;3;B;1
2020-05-07;Week. (B);Kung Fu Cup 2020 Weekly #16;GogojOey;Rookie;1;2;3;B;0
2020-05-02;Mon. (C);Alpha Scrims 14;BreakingGG;Rookie;2;0;3;C;1
2020-05-02;Mon. (C);Alpha Scrims 14;Astrea;Rookie;3;2;5;C;1
2020-04-30;Week. (B);Kung Fu Cup 2020 Weekly #15;Zoun;Rookie;2;1;3;B;1
2020-04-25;Showm. (C);Alpha X Series #13;BreakingGG;Rookie;2;5;7;C;0
