date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-08-05;Week. (B);ESL Open Cup #239 Europe;Seracis;Iba;0;2;3;B;0
2024-08-01;B-Tier;Werksliga StarCraft 2 Community Cup #3;Seracis;MariK;0;2;3;B;0
2024-05-11;B-Tier;maralekos Replay Liga #10: Liga 1 - Playoffs;Seracis;Winckel;1;3;5;B;0
2024-04-26;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;ForJumy;0;2;3;B;0
2024-04-15;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Winckel;1;2;3;B;0
2024-04-06;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Mantaza;1;2;3;B;0
2024-04-06;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Soon;2;0;3;B;1
2024-04-06;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Aelith;2;0;3;B;1
2024-04-02;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Dronehard;2;1;3;B;1
2024-03-15;B-Tier;maralekos Replay Liga #10: Liga 1 - Group Stage;Seracis;Zargrash;2;1;3;B;1
2023-03-18;B-Tier;FLXPWR Cup #1;Seracis;Eiger;0;2;3;B;0
2023-03-18;B-Tier;FLXPWR Cup #1;Seracis;Winckel;2;0;3;B;1
2023-03-01;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;Winckel;0;2;3;B;0
2023-02-22;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;Chabby;1;2;3;B;0
2023-02-15;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;Soon;0;2;3;B;0
2023-02-07;B-Tier;ebattle Champions Series - Playoffs;Seracis;Dronehard;3;2;5;B;1
2023-02-07;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;FrisK;2;0;3;B;1
2023-02-01;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;HateMe;1;2;3;B;0
2023-01-31;B-Tier;ebattle Champions Series - Playoffs;Seracis;HateMe;2;3;5;B;0
2023-01-25;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;Zargrash;1;2;3;B;0
2023-01-17;B-Tier;ebattle Champions Series - Group Stage;Seracis;NoMercy;2;0;3;B;1
2023-01-15;B-Tier;maralekos Replay Liga #7: Liga 1 - Group Stage;Seracis;VeNTuRe;2;0;3;B;1
2023-01-10;B-Tier;ebattle Champions Series - Group Stage;Seracis;HateMe;0;2;3;B;0
2022-12-20;B-Tier;ebattle Champions Series - Group Stage;Seracis;ForJumy;0;2;3;B;0
2022-12-13;B-Tier;ebattle Champions Series - Group Stage;Seracis;FrisK;2;0;3;B;1
2022-12-06;B-Tier;ebattle Champions Series - Group Stage;Seracis;Dronehard;2;1;3;B;1
2022-11-29;B-Tier;ebattle Champions Series - Group Stage;Seracis;Soon;2;1;3;B;1
