date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-06-16;Week. (B);Monday Night Weeklies #18;ShaDoWn;HeRoMaRinE;0;2;3;B;0
2025-04-20;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;Arrogfire;4;3;5;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;DnS;3;1;5;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;Ricus;2;1;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;LeFaucheur;2;0;3;B;1
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;Arrogfire;0;2;3;B;0
2025-04-19;B-Tier;Gamers Assembly 2025 - Playoffs;ShaDoWn;GuGus;2;0;3;B;1
2025-04-07;Week. (B);Monday Night Weeklies #12;ShaDoWn;MaxPax;0;2;3;B;0
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;Mixu;4;2;5;B;1
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;Dolan;2;0;3;B;1
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;FoxeR;2;0;3;B;1
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;Jotak;1;0;1;B;1
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;Mixu;0;2;3;B;0
2024-06-01;B-Tier;DH Dallas 2024 BYOC;ShaDoWn;Darkhorse;2;0;3;B;1
2024-05-31;S-Tier;ESL Spring - Bracket B;ShaDoWn;Solar;1;2;3;S;0
2024-05-31;S-Tier;ESL Spring - Bracket B;ShaDoWn;Mixu;2;0;3;S;1
2024-05-31;S-Tier;ESL Spring - Bracket B;ShaDoWn;Rogue;1;2;3;S;0
2024-05-31;S-Tier;ESL Spring - Bracket B;ShaDoWn;MaNa;2;0;3;S;1
2024-05-27;Week. (B);ESL Open Cup #229 Americas;ShaDoWn;MaxPax;0;2;3;B;0
2024-05-27;Week. (B);ESL Open Cup #229 Americas;ShaDoWn;INexorable;2;0;3;B;1
2024-04-21;S-Tier;ESL Spring: Europe - Gr A R 5;ShaDoWn;MaNa;0;2;3;S;0
2024-04-18;S-Tier;ESL Spring: Europe - Gr A R 4;ShaDoWn;HeRoMaRinE;0;2;3;S;0
2024-04-16;S-Tier;ESL Spring: Europe - Gr A R 3;ShaDoWn;Wayne;2;1;3;S;1
2024-04-15;Week. (B);ESL Open Cup #223 Europe;ShaDoWn;GunGFuBanDa;0;2;3;B;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;ShaDoWn;HiGhDrA;2;0;3;B;1
2024-04-12;S-Tier;ESL Spring: Europe - Gr A R 2;ShaDoWn;Spirit;0;2;3;S;0
2024-04-10;S-Tier;ESL Spring: Europe - Gr A R 1;ShaDoWn;DnS;2;1;3;S;1
2024-04-08;Week. (B);ESL Open Cup #222 Europe;ShaDoWn;Clem;0;2;3;B;0
2024-04-08;Week. (B);ESL Open Cup #222 Europe;ShaDoWn;Arrogfire;2;0;3;B;1
2024-04-08;Week. (B);ESL Open Cup #222 Europe;ShaDoWn;Matrixx;2;0;3;B;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;ShaDoWn;PAPI;3;1;5;S;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;ShaDoWn;Shameless;2;0;3;S;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;PtitDrogo;4;3;5;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;DnS;3;0;5;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;Ricus;3;0;5;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;Déca;2;0;3;B;1
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;PtitDrogo;0;2;3;B;0
2024-03-30;B-Tier;Gamers Assembly 2024 - Playoffs;ShaDoWn;NoCti;2;0;3;B;1
2024-01-08;Week. (B);ESL Open Cup #209 Europe;ShaDoWn;ShoWTimE;1;2;3;B;0
2024-01-08;Week. (B);ESL Open Cup #209 Europe;ShaDoWn;Aristori;2;0;3;B;1
2024-01-01;Week. (B);ESL Open Cup #208 Europe;ShaDoWn;MaxPax;0;2;3;B;0
2024-01-01;Week. (B);ESL Open Cup #208 Europe;ShaDoWn;Firefly;2;0;3;B;1
2024-01-01;Week. (B);ESL Open Cup #208 Europe;ShaDoWn;napolcochon;2;0;3;B;1
2023-12-29;Showm. (B);Basilisk Big Brain Bouts #44 - Main Event;ShaDoWn;Wayne;0;3;5;B;0
2023-12-25;Week. (B);ESL Open Cup #207 Americas;ShaDoWn;Gerald;0;2;3;B;0
2023-12-25;Week. (B);ESL Open Cup #207 Americas;ShaDoWn;tecomatador;2;0;3;B;1
2023-12-16;B-Tier;DH Atlanta 2023 BYOC;ShaDoWn;Dolan;4;1;5;B;1
2023-12-16;B-Tier;DH Atlanta 2023 BYOC;ShaDoWn;UpATree;2;0;3;B;1
