date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-08-21;Week. (C);Battle of the Americas #66;Shalko;Reaper;0;1;1;C;0
2020-09-26;Week. (C);Battle of the Americas #31;Shalko;PattyMac;1;2;3;C;0
2020-08-29;Week. (C);Battle of the Americas #27;Shalko;Skyler;0;1;1;C;0
2020-08-29;Week. (C);Battle of the Americas #27;Shalko;chorocarlo;1;0;1;C;1
2020-07-25;Week. (C);Battle of the Americas #24;Shalko;Pacomike;0;1;1;C;0
2020-07-25;Week. (C);Battle of the Americas #24;Shalko;Cham;0;1;1;C;0
2020-07-25;Week. (C);Battle of the Americas #24;Shalko;Ciceron;2;0;3;C;1
2020-07-11;Week. (C);Battle of the Americas #22;Shalko;RoRrO;1;2;3;C;0
2020-07-03;Biw. (C);Sentimiento Latino #88;Shalko;Universe;0;1;1;C;0
2020-06-27;Week. (C);Battle of the Americas #20;Shalko;starkiller;0;2;3;C;0
2020-06-19;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;Shalko;JimRising;0;2;3;A;0
2020-06-06;Week. (C);Battle of the Americas #18;Shalko;Cham;0;2;3;C;0
2020-06-05;Biw. (C);Sentimiento Latino #86;Shalko;Shellbee;0;1;1;C;0
2020-05-23;Week. (C);Battle of the Americas #16;Shalko;Cham;0;1;1;C;0
2020-05-23;Week. (C);Battle of the Americas #16;Shalko;Maplez;1;0;1;C;1
2020-04-24;Biw. (C);Sentimiento Latino #83;Shalko;Ryu;0;2;3;C;0
2020-04-24;Biw. (C);Sentimiento Latino #83;Shalko;NeosShaggy;2;1;3;C;1
2020-02-16;Week. (C);SC2 ONLINE Community Open #131;Shalko;starkiller;0;1;1;C;0
2020-02-15;Week. (C);Battle of the Americas #4;Shalko;Antis;0;1;1;C;0
2020-02-15;Week. (C);Battle of the Americas #4;Shalko;boreau;2;0;3;C;1
2020-02-08;Week. (C);Battle of the Americas #3;Shalko;fullheart;0;2;3;C;0
2020-02-01;Week. (C);Battle of the Americas #2;Shalko;Pacomike;1;2;3;C;0
2020-01-25;Week. (C);Battle of the Americas #1;Shalko;Jason;0;2;3;C;0
2021-08-21;Week. (C);Battle of the Americas #66;Reaper;Shalko;1;0;1;C;1
2020-09-26;Week. (C);Battle of the Americas #31;PattyMac;Shalko;2;1;3;C;1
2020-08-29;Week. (C);Battle of the Americas #27;Skyler;Shalko;1;0;1;C;1
2020-08-29;Week. (C);Battle of the Americas #27;chorocarlo;Shalko;0;1;1;C;0
2020-07-25;Week. (C);Battle of the Americas #24;Pacomike;Shalko;1;0;1;C;1
2020-07-25;Week. (C);Battle of the Americas #24;Cham;Shalko;1;0;1;C;1
2020-07-25;Week. (C);Battle of the Americas #24;Ciceron;Shalko;0;2;3;C;0
2020-07-11;Week. (C);Battle of the Americas #22;RoRrO;Shalko;2;1;3;C;1
2020-07-03;Biw. (C);Sentimiento Latino #88;Universe;Shalko;1;0;1;C;1
2020-06-27;Week. (C);Battle of the Americas #20;starkiller;Shalko;2;0;3;C;1
2020-06-19;Qual. (A);DH SC2 Masters 2020 Summer: Latin America Qualifiers - Bracket;JimRising;Shalko;2;0;3;A;1
2020-06-06;Week. (C);Battle of the Americas #18;Cham;Shalko;2;0;3;C;1
2020-06-05;Biw. (C);Sentimiento Latino #86;Shellbee;Shalko;1;0;1;C;1
2020-05-23;Week. (C);Battle of the Americas #16;Cham;Shalko;1;0;1;C;1
2020-05-23;Week. (C);Battle of the Americas #16;Maplez;Shalko;0;1;1;C;0
2020-04-24;Biw. (C);Sentimiento Latino #83;Ryu;Shalko;2;0;3;C;1
2020-04-24;Biw. (C);Sentimiento Latino #83;NeosShaggy;Shalko;1;2;3;C;0
2020-02-16;Week. (C);SC2 ONLINE Community Open #131;starkiller;Shalko;1;0;1;C;1
2020-02-15;Week. (C);Battle of the Americas #4;Antis;Shalko;1;0;1;C;1
2020-02-15;Week. (C);Battle of the Americas #4;boreau;Shalko;0;2;3;C;0
2020-02-08;Week. (C);Battle of the Americas #3;fullheart;Shalko;2;0;3;C;1
2020-02-01;Week. (C);Battle of the Americas #2;Pacomike;Shalko;2;1;3;C;1
2020-01-25;Week. (C);Battle of the Americas #1;Jason;Shalko;2;0;3;C;1
