date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-14;B-Tier;WardiTV Cup - Group C;Shameless;YoungYakov;1;2;3;B;0
2026-01-14;B-Tier;WardiTV Cup - Group C;Shameless;GuMiho;2;1;3;B;1
2026-01-14;B-Tier;WardiTV Cup - Group C;Shameless;Creator;0;2;3;B;0
2026-01-12;Week. (B);Monday Night Weeklies #36;Shameless;Bunny;1;2;3;B;0
2026-01-12;Qual. (S);Rongyi Cup S3: Qualifier #2;Shameless;GuMiho;1;2;3;S;0
2026-01-12;Qual. (S);Rongyi Cup S3: Qualifier #2;Shameless;Ryung;2;1;3;S;1
2026-01-12;Week. (B);WardiTV Mondays #69;Shameless;Elazer;1;2;3;B;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;Shameless;Cyan;1;2;3;S;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;Shameless;Cure;2;1;3;S;1
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;Shameless;Creator;0;2;3;B;0
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;Shameless;Cure;2;0;3;B;1
2026-01-07;A-Tier;OSC Championship Season 13 - Championship Bracket;Shameless;Krystianer;2;3;5;A;0
2026-01-07;A-Tier;OSC Championship Season 13 - Championship Bracket;Shameless;Jumy;3;0;5;A;1
2026-01-06;Week. (B);PiGosaur Cup #63;Shameless;Clem;0;2;3;B;0
2026-01-06;Week. (B);PiGosaur Cup #63;Shameless;Percival;2;0;3;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;Shameless;YoungYakov;0;1;1;B;0
2026-01-05;B-Tier;Mini Rotti Monday #2;Shameless;sebesdes;1;0;1;B;1
2026-01-05;B-Tier;Mini Rotti Monday #2;Shameless;Krystianer;0;2;3;B;0
2026-01-05;B-Tier;Mini Rotti Monday #2;Shameless;ART;2;1;3;B;1
2026-01-03;B-Tier;PSC2L Finals;Shameless;Creator;2;3;5;B;0
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Shameless;INexorable;0;1;1;B;0
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Shameless;HonMonO;1;0;1;B;1
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Shameless;Mixu;1;2;3;B;0
2026-01-02;B-Tier;PSC2L Finals;Shameless;Gerald;1;3;5;B;0
2026-01-01;B-Tier;PSC2L Finals;Shameless;NightMare;2;1;3;B;1
2025-12-29;Week. (B);WardiTV Mondays #67;Shameless;Clem;0;2;3;B;0
2025-12-25;B-Tier;3D! New Year Challenge;Shameless;DefMars;1;2;3;B;0
2025-12-25;B-Tier;3D! New Year Challenge;Shameless;UltraMarine;2;0;3;B;1
2025-12-22;Week. (B);Monday Night Weeklies #35;Shameless;Percival;0;1;1;B;0
2025-12-22;Week. (B);Monday Night Weeklies #35;Shameless;INexorable;1;0;1;B;1
2025-12-22;Week. (B);Monday Night Weeklies #35;Shameless;Nicoract;0;2;3;B;0
2025-12-22;Week. (B);WardiTV Mondays #66;Shameless;ByuN;0;2;3;B;0
2025-12-21;C-Tier;Winter Warp Gate Masters #1;Shameless;Krystianer;2;0;3;C;1
2025-12-21;C-Tier;Winter Warp Gate Masters #1;Shameless;ByuN;0;3;5;C;0
2025-12-21;C-Tier;Winter Warp Gate Masters #1;Shameless;Percival;2;0;3;C;1
2025-12-21;C-Tier;Winter Warp Gate Masters #1;Shameless;printf;2;0;3;C;1
2025-12-19;Week. (B);OSC KotH Weekly #234;Shameless;Gerald;0;1;1;B;0
2025-12-19;Week. (B);OSC KotH Weekly #234;Shameless;Cham;1;0;1;B;1
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Shameless;Rogue;1;3;5;A;0
2025-12-17;B-Tier;OSC Elite Rising Star #17;Shameless;YoungYakov;1;3;5;B;0
2025-12-17;A-Tier;WardiTV 2025 - Championship Bracket;Shameless;MaxPax;1;3;5;A;0
2025-12-17;A-Tier;WardiTV 2025 - Championship Bracket;Shameless;MaNa;3;0;5;A;1
2025-12-16;A-Tier;WardiTV 2025 - Championship Bracket;Shameless;uThermal;3;1;5;A;1
2025-12-16;Week. (B);PiGosaur Cup #62;Shameless;MaxPax;0;2;3;B;0
2025-12-16;Week. (B);PiGosaur Cup #62;Shameless;Creator;2;1;3;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;Shameless;Percival;0;1;1;B;0
