date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2022-07-01;S-Tier;DH Masters Valencia -;SlavaZA;Killermonjas;1;2;3;S;0
2022-07-01;S-Tier;DH Masters Valencia - Group A;SlavaZA;PappiJoe;0;2;3;S;0
2022-07-01;S-Tier;DH Masters Valencia - Group A;SlavaZA;BabyMarine;1;2;3;S;0
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;SlavaZA;Kinpach;0;2;3;C;0
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;SlavaZA;ZaRDieNT;1;2;3;C;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;SlavaZA;Shameless;1;2;3;B;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;SlavaZA;Garitos;0;2;3;B;0
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;SlavaZA;Trifax;1;0;1;B;1
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;SlavaZA;Déca;0;3;5;B;0
2022-01-29;Week. (C);CSO Cup #38;SlavaZA;Ziomek;0;2;3;C;0
2021-11-14;B-Tier;OSC 24 Hour Marathon King of the Hill;SlavaZA;Bly;0;1;1;B;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;SlavaZA;MarineLorD;0;2;3;A;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;SlavaZA;PartinG;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;TriGGeR;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;Elazer;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;SortOf;2;0;3;A;1
2021-07-18;Week. (C);PassionCraft Sunday Showdown #54;SlavaZA;Luolis;0;2;3;C;0
2021-06-27;Week. (C);PassionCraft Sunday Showdown #51;SlavaZA;Ziomek;1;2;3;C;0
2021-06-18;Week. (C);Asgard Cup #51;SlavaZA;Shameless;0;2;3;C;0
2021-06-17;Week. (C);Cock of the Walk #62;SlavaZA;Krystianer;0;2;3;C;0
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;SlavaZA;Marsman;0;2;3;S;0
2021-05-13;Week. (C);Cock of the Walk #57;SlavaZA;GFG;1;2;3;C;0
2021-03-05;Biw. (C);Team GP Cup #2;SlavaZA;NightMare;0;2;3;C;0
2021-02-25;Week. (C);Cock of the Walk #47;SlavaZA;Hopt;0;2;3;C;0
2021-02-01;Week. (B);ESL Open Cup #56 Korea;SlavaZA;Solar;0;2;3;B;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;SlavaZA;MysticMuse;0;2;3;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;SlavaZA;Zphir;1;0;1;C;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;SlavaZA;Ashbringer;0;2;3;B;0
2022-07-01;S-Tier;DH Masters Valencia -;SlavaZA;Killermonjas;1;2;3;S;0
2022-07-01;S-Tier;DH Masters Valencia - Group A;SlavaZA;PappiJoe;0;2;3;S;0
2022-07-01;S-Tier;DH Masters Valencia - Group A;SlavaZA;BabyMarine;1;2;3;S;0
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;SlavaZA;Kinpach;0;2;3;C;0
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;SlavaZA;ZaRDieNT;1;2;3;C;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;SlavaZA;Shameless;1;2;3;B;0
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;SlavaZA;Garitos;0;2;3;B;0
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;SlavaZA;Trifax;1;0;1;B;1
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;SlavaZA;Déca;0;3;5;B;0
2022-01-29;Week. (C);CSO Cup #38;SlavaZA;Ziomek;0;2;3;C;0
2021-11-14;B-Tier;OSC 24 Hour Marathon King of the Hill;SlavaZA;Bly;0;1;1;B;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;SlavaZA;MarineLorD;0;2;3;A;0
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;SlavaZA;PartinG;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;TriGGeR;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;Elazer;0;2;3;A;0
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SlavaZA;SortOf;2;0;3;A;1
2021-07-18;Week. (C);PassionCraft Sunday Showdown #54;SlavaZA;Luolis;0;2;3;C;0
2021-06-27;Week. (C);PassionCraft Sunday Showdown #51;SlavaZA;Ziomek;1;2;3;C;0
2021-06-18;Week. (C);Asgard Cup #51;SlavaZA;Shameless;0;2;3;C;0
2021-06-17;Week. (C);Cock of the Walk #62;SlavaZA;Krystianer;0;2;3;C;0
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;SlavaZA;Marsman;0;2;3;S;0
2021-05-13;Week. (C);Cock of the Walk #57;SlavaZA;GFG;1;2;3;C;0
2021-03-05;Biw. (C);Team GP Cup #2;SlavaZA;NightMare;0;2;3;C;0
2021-02-25;Week. (C);Cock of the Walk #47;SlavaZA;Hopt;0;2;3;C;0
2021-02-01;Week. (B);ESL Open Cup #56 Korea;SlavaZA;Solar;0;2;3;B;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;SlavaZA;MysticMuse;0;2;3;C;0
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;SlavaZA;Zphir;1;0;1;C;1
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;SlavaZA;Ashbringer;0;2;3;B;0
2022-07-01;S-Tier;DH Masters Valencia -;Killermonjas;SlavaZA;2;1;3;S;1
2022-07-01;S-Tier;DH Masters Valencia - Group A;PappiJoe;SlavaZA;2;0;3;S;1
2022-07-01;S-Tier;DH Masters Valencia - Group A;BabyMarine;SlavaZA;2;1;3;S;1
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;Kinpach;SlavaZA;2;0;3;C;1
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;ZaRDieNT;SlavaZA;2;1;3;C;1
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Shameless;SlavaZA;2;1;3;B;1
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Garitos;SlavaZA;2;0;3;B;1
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;Trifax;SlavaZA;0;1;1;B;0
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;Déca;SlavaZA;3;0;5;B;1
2022-01-29;Week. (C);CSO Cup #38;Ziomek;SlavaZA;2;0;3;C;1
2021-11-14;B-Tier;OSC 24 Hour Marathon King of the Hill;Bly;SlavaZA;1;0;1;B;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;SlavaZA;2;0;3;A;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;PartinG;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;TriGGeR;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;Elazer;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SortOf;SlavaZA;0;2;3;A;0
2021-07-18;Week. (C);PassionCraft Sunday Showdown #54;Luolis;SlavaZA;2;0;3;C;1
2021-06-27;Week. (C);PassionCraft Sunday Showdown #51;Ziomek;SlavaZA;2;1;3;C;1
2021-06-18;Week. (C);Asgard Cup #51;Shameless;SlavaZA;2;0;3;C;1
2021-06-17;Week. (C);Cock of the Walk #62;Krystianer;SlavaZA;2;0;3;C;1
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Marsman;SlavaZA;2;0;3;S;1
2021-05-13;Week. (C);Cock of the Walk #57;GFG;SlavaZA;2;1;3;C;1
2021-03-05;Biw. (C);Team GP Cup #2;NightMare;SlavaZA;2;0;3;C;1
2021-02-25;Week. (C);Cock of the Walk #47;Hopt;SlavaZA;2;0;3;C;1
2021-02-01;Week. (B);ESL Open Cup #56 Korea;Solar;SlavaZA;2;0;3;B;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;SlavaZA;2;0;3;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Zphir;SlavaZA;0;1;1;C;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;Ashbringer;SlavaZA;2;0;3;B;1
2022-07-01;S-Tier;DH Masters Valencia -;Killermonjas;SlavaZA;2;1;3;S;1
2022-07-01;S-Tier;DH Masters Valencia - Group A;PappiJoe;SlavaZA;2;0;3;S;1
2022-07-01;S-Tier;DH Masters Valencia - Group A;BabyMarine;SlavaZA;2;1;3;S;1
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;Kinpach;SlavaZA;2;0;3;C;1
2022-05-28;C-Tier;CIS Semi-Pro Tournament - Group C;ZaRDieNT;SlavaZA;2;1;3;C;1
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Shameless;SlavaZA;2;1;3;B;1
2022-04-07;B-Tier;Alpha X EU Ascension League: Code A - Group A;Garitos;SlavaZA;2;0;3;B;1
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;Trifax;SlavaZA;0;1;1;B;0
2022-03-26;Qual. (B);Alpha X EU Ascension League: Qualifiers - Bracket;Déca;SlavaZA;3;0;5;B;1
2022-01-29;Week. (C);CSO Cup #38;Ziomek;SlavaZA;2;0;3;C;1
2021-11-14;B-Tier;OSC 24 Hour Marathon King of the Hill;Bly;SlavaZA;1;0;1;B;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;MarineLorD;SlavaZA;2;0;3;A;1
2021-09-02;Qual. (A);ASUS ROG Fall 2021: American Server Qualifier;PartinG;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;TriGGeR;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;Elazer;SlavaZA;2;0;3;A;1
2021-09-01;Qual. (A);ASUS ROG Fall 2021: Europe Server Qualifier;SortOf;SlavaZA;0;2;3;A;0
2021-07-18;Week. (C);PassionCraft Sunday Showdown #54;Luolis;SlavaZA;2;0;3;C;1
2021-06-27;Week. (C);PassionCraft Sunday Showdown #51;Ziomek;SlavaZA;2;1;3;C;1
2021-06-18;Week. (C);Asgard Cup #51;Shameless;SlavaZA;2;0;3;C;1
2021-06-17;Week. (C);Cock of the Walk #62;Krystianer;SlavaZA;2;0;3;C;1
2021-05-14;Qual. (S);DHM Summer: EU Qualifiers - Bracket;Marsman;SlavaZA;2;0;3;S;1
2021-05-13;Week. (C);Cock of the Walk #57;GFG;SlavaZA;2;1;3;C;1
2021-03-05;Biw. (C);Team GP Cup #2;NightMare;SlavaZA;2;0;3;C;1
2021-02-25;Week. (C);Cock of the Walk #47;Hopt;SlavaZA;2;0;3;C;1
2021-02-01;Week. (B);ESL Open Cup #56 Korea;Solar;SlavaZA;2;0;3;B;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;MysticMuse;SlavaZA;2;0;3;C;1
2020-12-19;Week. (C);REGENERATE Open Weekly Cup #103;Zphir;SlavaZA;0;1;1;C;0
2020-12-06;Qual. (B);GG of the Year 2020: Qualifiers;Ashbringer;SlavaZA;2;0;3;B;1
