date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-13;Week. (B);PiGosaur Cup #64;Solar;MaxPax;3;2;5;B;1
2026-01-13;Week. (B);PiGosaur Cup #64;Solar;ByuN;3;1;5;B;1
2026-01-13;B-Tier;WardiTV Cup - Group B;Solar;Cure;1;2;3;B;0
2026-01-13;B-Tier;WardiTV Cup - Group B;Solar;herO;0;2;3;B;0
2026-01-13;B-Tier;WardiTV Cup - Group B;Solar;Gerald;2;1;3;B;1
2026-01-13;Week. (B);PiGosaur Cup #64;Solar;Mucous;2;0;3;B;1
2026-01-13;Week. (B);PiGosaur Cup #64;Solar;Defiance;2;0;3;B;1
2026-01-12;Week. (B);WardiTV Mondays #69;Solar;Clem;0;2;3;B;0
2026-01-12;Week. (B);WardiTV Mondays #69;Solar;Nicoract;2;0;3;B;1
2026-01-08;A-Tier;OSC Championship Season 13 - Championship Bracket;Solar;Classic;1;3;5;A;0
2026-01-06;Week. (B);PiGosaur Cup #63;Solar;Clem;1;3;5;B;0
2026-01-06;Week. (B);PiGosaur Cup #63;Solar;ByuN;2;1;3;B;1
2026-01-06;Week. (B);PiGosaur Cup #63;Solar;Hardwell;2;0;3;B;1
2026-01-05;Week. (B);WardiTV Mondays #68;Solar;Clem;1;2;3;B;0
2026-01-05;Week. (B);WardiTV Mondays #68;Solar;Ryung;2;0;3;B;1
2025-12-30;B-Tier;OSC 2025 MSP #2;Solar;MaxPax;3;4;5;B;0
2025-12-30;B-Tier;OSC 2025 MSP #2;Solar;MaxPax;3;1;5;B;1
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;Solar;herO;1;4;5;B;0
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;Solar;Classic;4;2;5;B;1
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;Solar;ByuN;3;2;5;B;1
2025-12-21;A-Tier;WardiTV 2025 - Championship Bracket;Solar;Reynor;2;3;5;A;0
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Solar;Classic;1;3;5;A;0
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Solar;herO;3;2;5;A;1
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Solar;Cure;3;0;5;A;1
2025-12-16;Week. (B);PiGosaur Cup #62;Solar;MaxPax;2;3;5;B;0
2025-12-16;Week. (B);PiGosaur Cup #62;Solar;YoungYakov;2;1;3;B;1
2025-12-16;Week. (B);PiGosaur Cup #62;Solar;Hupsaiya;2;0;3;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;Solar;Percival;0;1;1;B;0
2025-12-15;Week. (B);Monday Night Weeklies #34;Solar;MaxPax;0;2;3;B;0
2025-12-15;Week. (B);Monday Night Weeklies #34;Solar;MilkiCow;2;0;3;B;1
2025-12-15;Week. (B);Monday Night Weeklies #34;Solar;Fjant;2;0;3;B;1
