date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-05-28;Qual. (S);EWC 2025 Europe Quali - Bracket;Spatz;goblin;0;2;3;S;0
2025-01-02;Qual. (A);LLC2024: Eu&Am Qualifier;Spatz;Nicoract;0;2;3;A;0
2024-12-27;B-Tier;Basilisk BBB End of the Year Open;Spatz;MaNa;0;2;3;B;0
2024-11-14;B-Tier;OSC 2024 MSP #2;Spatz;Cham;2;3;5;B;0
2024-10-23;B-Tier;OSC 2024 MSP #2;Spatz;MindelVK;3;2;5;B;1
2024-10-09;B-Tier;OSC 2024 MSP #2;Spatz;ForJumy;3;1;5;B;1
2024-09-02;Week. (B);KSR #1;Spatz;Gerald;0;2;3;B;0
2024-08-26;Week. (B);ESL Open Cup #242 Europe;Spatz;MaxPax;0;2;3;B;0
2024-08-26;Week. (B);ESL Open Cup #242 Europe;Spatz;BattleB;2;1;3;B;1
2024-08-26;Week. (B);ESL Open Cup #242 Europe;Spatz;Dephy;2;0;3;B;1
2024-07-29;Week. (B);ESL Open Cup #238 Europe;Spatz;Harstem;1;2;3;B;0
2024-07-29;Week. (B);ESL Open Cup #238 Europe;Spatz;Dephy;2;1;3;B;1
2024-07-28;B-Tier;Kebab Cup #1;Spatz;ForJumy;2;3;5;B;0
2024-07-28;B-Tier;Kebab Cup #1;Spatz;saVer;2;0;3;B;1
2024-07-28;B-Tier;Kebab Cup #1;Spatz;Rakinitschu;2;0;3;B;1
2024-07-27;B-Tier;Masters Cup 149 - Group B;Spatz;NightPhoenix;0;2;3;B;0
2024-07-27;B-Tier;Masters Cup 149 - Group B;Spatz;Gerald;1;1;3;B;0
2024-07-27;B-Tier;Masters Cup 149 - Group B;Spatz;DRG;0;2;3;B;0
2024-07-27;B-Tier;Masters Cup 149 - Group B;Spatz;HonMonO;2;0;3;B;1
2024-07-22;Week. (B);ESL Open Cup #237 Europe;Spatz;Wayne;1;2;3;B;0
2024-07-22;Week. (B);ESL Open Cup #237 Europe;Spatz;Greenert;2;0;3;B;1
2024-07-22;B-Tier;OSC Elite Rising Star #12;Spatz;UedSoldier;1;2;3;B;0
2024-07-22;B-Tier;OSC Elite Rising Star #12;Spatz;Demi;2;0;3;B;1
2024-07-22;B-Tier;OSC Elite Rising Star #12;Spatz;ART;0;2;3;B;0
2024-07-17;Week. (B);KFC 2024 S1 #9;Spatz;Lambo;0;2;3;B;0
2024-07-04;Qual. (S);EWC 2024 EU Qualifier;Spatz;PsiOniC;0;2;3;S;0
2024-06-30;B-Tier;CommJumity League Main Event - Playoffs;Spatz;Gerald;3;2;5;B;1
2024-06-30;B-Tier;CommJumity League Main Event - Playoffs;Spatz;BattleB;2;1;3;B;1
2024-06-30;B-Tier;CommJumity League Main Event - Playoffs;Spatz;Fjant;2;0;3;B;1
2024-06-29;B-Tier;CommJumity League Main Event - Group D;Spatz;GgMaChine;2;1;3;B;1
2024-06-29;B-Tier;CommJumity League Main Event - Group D;Spatz;ArT;2;0;3;B;1
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Spatz;Spirit;0;2;3;B;0
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Spatz;Harstem;2;1;3;B;1
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Spatz;Cyan;2;1;3;B;1
2024-06-24;Week. (B);ESL Open Cup #233 Europe;Spatz;Fairespiter;2;0;3;B;1
2024-06-17;Week. (B);ESL Open Cup #232 Europe;Spatz;Shameless;0;2;3;B;0
2024-06-10;Week. (B);ESL Open Cup #231 Europe;Spatz;SKillous;0;2;3;B;0
2024-06-10;Week. (B);ESL Open Cup #231 Europe;Spatz;Trifax;2;0;3;B;1
2024-05-20;Week. (B);ESL Open Cup #228 Europe;Spatz;Solar;0;2;3;B;0
2024-05-20;Week. (B);ESL Open Cup #228 Europe;Spatz;BattleB;2;1;3;B;1
2024-05-20;Week. (B);ESL Open Cup #228 Europe;Spatz;Cellsidus;2;0;3;B;1
2024-05-17;Week. (B);OSC KotH Weekly #170;Spatz;Shameless;0;1;1;B;0
2024-05-13;Week. (B);ESL Open Cup #227 Europe;Spatz;PsiOniC;1;2;3;B;0
2024-05-12;C-Tier;CommJumity League #7;Spatz;NightPhoenix;1;2;3;C;0
2024-05-12;C-Tier;CommJumity League #7;Spatz;MindelVK;2;0;3;C;1
2024-04-29;Week. (B);ESL Open Cup #225 Europe;Spatz;Silky;1;2;3;B;0
2024-04-22;B-Tier;OSC Elite Rising Star #11;Spatz;ForJumy;0;2;3;B;0
2024-04-19;S-Tier;ESL Spring: Europe - Gr A R 4;Spatz;Wayne;0;2;3;S;0
2024-04-16;S-Tier;ESL Spring: Europe - Gr A R 3;Spatz;HeRoMaRinE;0;2;3;S;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;Spatz;Krystianer;0;2;3;B;0
2024-04-15;Week. (B);ESL Open Cup #223 Europe;Spatz;Fjant;2;1;3;B;1
2024-04-12;S-Tier;ESL Spring: Europe - Gr A R 2;Spatz;Gerald;2;1;3;S;1
2024-04-11;S-Tier;ESL Spring: Europe - Gr A R 1;Spatz;SKillous;1;2;3;S;0
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;Spatz;BabyMarine;3;2;5;S;1
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;Spatz;BattleB;0;3;5;S;0
2024-04-07;Qual. (S);ESL Spring: Europe Qualifiers - Bracket;Spatz;Rom;2;0;3;S;1
2024-04-01;Week. (B);ESL Open Cup #221 Europe;Spatz;MaxPax;1;2;3;B;0
2024-04-01;Week. (B);ESL Open Cup #221 Europe;Spatz;Gerald;2;0;3;B;1
2024-04-01;Week. (B);ESL Open Cup #221 Europe;Spatz;Maya;2;0;3;B;1
